Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,Transaction number,Amount in Sterling,Grant?,
Communities & Local Government,DCLG,07/06/2011,Electricity,Finance & Corporate Services,EDF ENERGY 1 LIMITED,,5106163854,"39,250.54",,
Communities & Local Government,DCLG,07/06/2011,HR Consultancy,Localism,FIRE SERVICE COLLEGE,,5106160440,646.53,,
Communities & Local Government,DCLG,07/06/2011,IT - Service Contracts,Localism,INFORMED SOLUTIONS LTD,,5106163977,"74,976.00",,
Communities & Local Government,DCLG,07/06/2011,IT - Service Contracts,Localism,INFORMED SOLUTIONS LTD,,5106163979,"-74,976.00",,
Communities & Local Government,DCLG,07/06/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,5106163915,"5,793.60",,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,236.16,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,236.15,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,236.16,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,108.10,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,214.03,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,,5106163574,181.10,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,,5106163574,75.56,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,,5106163574,181.10,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,,5106163574,181.10,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,,5106163574,181.10,,
Communities & Local Government,DCLG,07/06/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,,5106163574,181.10,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,4.62,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,0.84,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,2.38,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,0.84,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,3.46,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,113.42,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,81.79,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,94.25,,
Communities & Local Government,DCLG,07/06/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,,5106163509,0.78,,
Communities & Local Government,DCLG,07/06/2011,Printing,Finance & Corporate Services,TAURUS PRINT & DESIGN LTD,,5106163745,908.00,,
Communities & Local Government,DCLG,07/06/2011,Publications,Finance & Corporate Services,LEXIS-NEXIS UK,,5106163953,863.45,,
Communities & Local Government,DCLG,07/06/2011,Services provided by other Govt Orgs,Finance & Corporate Services,RAILWAYS PENSION TRUSTEE CO LTD,,5106163914,"2,838.00",Yes,
Communities & Local Government,DCLG,07/06/2011,Telecoms equipment (non-capitalised),Finance & Corporate Services,BT GLOBAL,,5106163949,"7,111.16",,
Communities & Local Government,DCLG,07/06/2011,Telephone call costs,Finance & Corporate Services,DAMOVO UK LTD,,5106163967,"66,480.00",,
Communities & Local Government,DCLG,07/06/2011,Telephone call costs,Finance & Corporate Services,DAMOVO UK LTD,,5106163971,"5,120.28",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100204432,561.91,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100204432,"1,653.92",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100204433,"2,648.87",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100204436,696.16,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100204436,"1,505.72",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100204436,"3,166.51",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100204432,643.87,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100204432,"3,350.37",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100204432,574.41,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100204432,920.14,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100204432,"1,683.80",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100204432,586.89,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100204432,658.61,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204432,685.59,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204432,713.59,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204432,993.80,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204432,624.96,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204434,724.66,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204434,809.55,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204434,"1,342.98",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204434,597.88,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204437,"1,303.78",,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100204438,737.14,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Treasury,REDFERN TRAVEL LIMITED,,2100204439,763.45,,
Communities & Local Government,DCLG,07/06/2011,Travel and Subsistence Account,Treasury,REDFERN TRAVEL LIMITED,,2100204439,"1,076.34",,
Communities & Local Government,DCLG,07/06/2011,Web Services,Treasury,WTG TECHNOLOGIES LTD,,5106163940,"1,785.00",,
Communities & Local Government,DCLG,08/06/2011,Accommodation Service Charges,Finance & Corporate Services,E C HARRIS LLP,,5106163991,"3,960.00",,
Communities & Local Government,DCLG,08/06/2011,Agency Staff,Finance & Corporate Services,REED SPECIALIST RECRUITMENT LTD,,5106163994,450.06,,
Communities & Local Government,DCLG,08/06/2011,Current Grants to Non Profit Bodies,Localism,*NOVAS SCARMAN GROUP LTD,Yes,2100204480,"50,000.00",Yes,
Communities & Local Government,DCLG,08/06/2011,Current Grants to Non Profit Bodies,Localism,OXFAM,Yes,2100204479,"50,000.00",Yes,
Communities & Local Government,DCLG,08/06/2011,Electricity,Finance & Corporate Services,EDF ENERGY CUSTOMER FIELD SERVICES,,5106164052,576.00,,
Communities & Local Government,DCLG,08/06/2011,Fixed Maintenance,Treasury,MITIE MANAGED SERVICES (SOUTHERN) L,,5106164017,"1,783.10",,
Communities & Local Government,DCLG,08/06/2011,Fixed Maintenance,Treasury,MITIE MANAGED SERVICES (SOUTHERN) L,,5106164020,"20,393.19",,
Communities & Local Government,DCLG,08/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,2100204491,"8,501,031.00",Yes,
Communities & Local Government,DCLG,08/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,TENANT SERVICES AUTHORIT Y,,2100204475,"1,000,000.00",Yes,
Communities & Local Government,DCLG,08/06/2011,IT Consultancy,Finance & Corporate Services,HONESTLYREAL LTD,,5106163928,"3,600.00",,
Communities & Local Government,DCLG,08/06/2011,LA General GLA  Grant Payable,Strategic Performance Team,GREATER LONDON AUTHORITY,,2100204478,"2,642,000.00",Yes,
Communities & Local Government,DCLG,08/06/2011,Legal Fees,Localism,DENTON WILDE SAPTE LLP,,5106163761,"7,417.12",,
Communities & Local Government,DCLG,08/06/2011,Management Consultancy,Neighbourhoods,CEL GROUP,,5106164050,"96,265.72",,
Communities & Local Government,DCLG,08/06/2011,Medals,Localism,ROYAL MINT,,5106164005,564.30,,
Communities & Local Government,DCLG,08/06/2011,Office machinery consumables,Strategic Performance Team,COMPUTACENTER (UK) LTD,,5106163779,522.29,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,1.92,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,92.81,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,6.17,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,40.69,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,7.85,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,0.84,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,1.98,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,2.16,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,3.00,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,3.36,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,6.06,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,131.18,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,2.30,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,0.71,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,27.89,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,3.67,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,0.84,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,0.84,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,1.68,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,1.18,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,2.18,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,235.62,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,47.89,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,28.73,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,9.58,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,9.58,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,9.58,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,10.56,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,0.29,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,0.55,,
Communities & Local Government,DCLG,08/06/2011,Office Supplies,Treasury,BANNER BUSINESS SUPPLIES LTD,,5106163980,1.56,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,315.16,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,74.00,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,2.86,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,"1,642.83",,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,31.32,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,23.63,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,423.36,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,60.65,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,290.58,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,"1,371.14",,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,0.22,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,20.45,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,2.41,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,53.44,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,427.68,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Finance & Corporate Services,MITIE BUSINESS SERVICES LTD,,2100204493,63.36,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,4.44,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,2.53,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,52.13,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,157.58,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,18.25,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,92.27,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,381.43,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,53.22,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,210.82,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Localism,MITIE BUSINESS SERVICES LTD,,2100204493,150.84,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,3.17,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,69.39,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,66.56,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,104.06,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,19.42,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,7.24,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,0.65,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,34.56,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,157.60,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,42.56,,
Communities & Local Government,DCLG,08/06/2011,Photocopying,Neighbourhoods,MITIE BUSINESS SERVICES LTD,,2100204493,6.65,,
Communities & Local Government,DCLG,08/06/2011,Publicity,Finance & Corporate Services,PRESS ASSOCIATION,,5106164009,"1,145.46",,
Communities & Local Government,DCLG,08/06/2011,Research,Finance & Corporate Services,EXPERIAN LTD,,5106163927,"12,566.51",,
Communities & Local Government,DCLG,08/06/2011,Software Licences,Localism,S A S SOFTWARE LTD,,5106164044,"3,132.00",,
Communities & Local Government,DCLG,08/06/2011,Steady State Service Provision,Finance & Corporate Services,PENNA PLC,,5106163934,"47,376.00",,
Communities & Local Government,DCLG,08/06/2011,Training,Finance & Corporate Services,LEARNING TREE INTERNATIONAL LTD,,5106163769,"1,865.00",,
Communities & Local Government,DCLG,08/06/2011,Training,Finance & Corporate Services,LMD LEARNING SOLUTIONS,,5106163648,"2,140.00",,
Communities & Local Government,DCLG,08/06/2011,Travel and Subsistence Account,Treasury,REDFERN TRAVEL LIMITED,,2100204492,971.11,,
Communities & Local Government,DCLG,09/06/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,5106164025,"2,352.00",,
Communities & Local Government,DCLG,09/06/2011,Agency Staff,Localism,AMQIS CONSORTIUM,,5106163840,"5,373.52",,
Communities & Local Government,DCLG,09/06/2011,Courier Services,Treasury,ROYAL MAIL GROUP PLC,,5106164120,650.00,,
Communities & Local Government,DCLG,09/06/2011,Electricity,Localism,EDF ENERGY 1 LIMITED,,5106164153,"5,178.26",,
Communities & Local Government,DCLG,09/06/2011,Insurance,Treasury,DENTONS PENSION MANAGEMENT,,5106164087,"1,250.79",,
Communities & Local Government,DCLG,09/06/2011,IT - Software Maintenance,Finance & Corporate Services,METHODS CONSULTING LTD,,5106163926,"24,000.00",,
Communities & Local Government,DCLG,09/06/2011,Publications,Finance & Corporate Services,LEXIS-NEXIS UK,,5106163945,"1,052.45",,
Communities & Local Government,DCLG,09/06/2011,Software Licences,Neighbourhoods,VERIZON UK LTD,,5106163255,"2,620.38",,
Communities & Local Government,DCLG,09/06/2011,Storage,Treasury,IRON MOUNTAIN (UK) LIMITED,,5106164115,"1,075.09",,
Communities & Local Government,DCLG,09/06/2011,Subscriptions,Treasury,PAYMASTER (1836) LTD,,5106164088,857.10,,
Communities & Local Government,DCLG,09/06/2011,Training,Treasury,HIGHGATE HOUSE,,5106164110,"7,350.00",,
Communities & Local Government,DCLG,09/06/2011,Training,Treasury,HIGHGATE HOUSE,,5106164110,270.00,,
Communities & Local Government,DCLG,09/06/2011,Water,Localism,YORKSHIRE WATER,,5106164127,"2,856.69",,
Communities & Local Government,DCLG,09/06/2011,Water,Localism,YORKSHIRE WATER,,5106164127,296.34,,
Communities & Local Government,DCLG,10/06/2011,Building Renovations,Finance & Corporate Services,COMO INTERIORS LTD,,5106164090,"69,757.22",,
Communities & Local Government,DCLG,10/06/2011,Building Renovations,Finance & Corporate Services,COMO INTERIORS LTD,,5106164295,"-69,757.22",,
Communities & Local Government,DCLG,10/06/2011,Building Renovations,Finance & Corporate Services,COMO INTERIORS LTD,,5106164296,"83,708.66",,
Communities & Local Government,DCLG,10/06/2011,Capital Grant from EC to Local Authority DEL,Neighbourhoods,RDA - LONDON DEVELOPMENT AGENCY,,2100204489,"381,982.35",Yes,
Communities & Local Government,DCLG,10/06/2011,EC Current Grants to Local Authorities,Neighbourhoods,RDA - LONDON DEVELOPMENT AGENCY,,2100204489,"1,877,168.20",Yes,
Communities & Local Government,DCLG,10/06/2011,Electricity,Treasury,DCLG GOVERNMENT PROCUREMENT CARD,,1000003264,877.01,,
Communities & Local Government,DCLG,10/06/2011,Grant in Aid to NDPBs (non budget),Localism,COMMISSION LOCAL ADMINISTRATION,,2100204378,"1,219,483.00",Yes,
Communities & Local Government,DCLG,10/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,RDA -  YORKSHIRE FORWARD,,2100204129,"12,408,091.67",Yes,
Communities & Local Government,DCLG,10/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,RDA - ADVANTAGE WEST MIDLANDS,,2100204328,"6,958,331.78",Yes,
Communities & Local Government,DCLG,10/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,RDA - NORTHWEST DEVELOPMENT AGY,,2100204330,"28,670,630.15",Yes,
Communities & Local Government,DCLG,10/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,RDA - ONE NORTHEAST,,2100204482,"14,337,681.60",Yes,
Communities & Local Government,DCLG,10/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,RDA - SOUTHEAST DEVELOP AGENCY (SEE,,2100204228,"1,088,850.55",Yes,
Communities & Local Government,DCLG,10/06/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,RDA - SOUTHWEST DEVELOP AGENCY(SWRD,,2100204130,"4,022,529.22",Yes,
Communities & Local Government,DCLG,10/06/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,5106164215,"52,443.21",,
Communities & Local Government,DCLG,10/06/2011,IT SUPPORT,Finance & Corporate Services,VERIZON UK LTD,,5106164168,"9,003.52",,
Communities & Local Government,DCLG,10/06/2011,IT SUPPORT,Finance & Corporate Services,VERIZON UK LTD,,5106164168,"10,652.35",,
Communities & Local Government,DCLG,10/06/2011,IT SUPPORT,Finance & Corporate Services,VERIZON UK LTD,,5106164213,"2,176.80",,
Communities & Local Government,DCLG,10/06/2011,IT SUPPORT,Finance & Corporate Services,VERIZON UK LTD,,5106164217,"2,176.80",,
Communities & Local Government,DCLG,10/06/2011,IT SUPPORT,Finance & Corporate Services,VERIZON UK LTD,,5106164168,573.77,,
Communities & Local Government,DCLG,10/06/2011,IT SUPPORT,Localism,VERIZON UK LTD,,5106164168,"8,971.10",,
Communities & Local Government,DCLG,10/06/2011,IT SUPPORT,Neighbourhoods,VERIZON UK LTD,,5106164168,"10,806.59",,
Communities & Local Government,DCLG,10/06/2011,NNDR Billing Authorities Receipts,Treasury,OFFICE OF THE PAYMASTER GENERAL (NN,,2100204562,"1,927,274,356.00",Yes,
Communities & Local Government,DCLG,10/06/2011,NNDR Central List Receipts,Treasury,OFFICE OF THE PAYMASTER GENERAL (NN,,2100204562,"125,016,557.00",Yes,
Communities & Local Government,DCLG,10/06/2011,Office Machinery (<£5000),Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,16.19,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,9.36,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,3.77,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,6.38,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,6.38,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,15.96,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,0.29,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,1.15,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,1.66,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,3.60,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,5.29,,
Communities & Local Government,DCLG,10/06/2011,Office Supplies,Strategic Performance Team,BANNER BUSINESS SUPPLIES LTD,,5106163892,550.56,,
Communities & Local Government,DCLG,10/06/2011,Post,Treasury,DCLG GOVERNMENT PROCUREMENT CARD,,1000003264,"1,956.99",,
Communities & Local Government,DCLG,10/06/2011,Publishing,Finance & Corporate Services,TRANSMEDIA LINK LTD,,5106164194,603.72,,
Communities & Local Government,DCLG,10/06/2011,Publishing,Finance & Corporate Services,TRANSMEDIA LINK LTD,,5106164196,963.53,,
Communities & Local Government,DCLG,10/06/2011,Rates,Localism,FAREHAM BC,,5106164185,"4,330.00",,
Communities & Local Government,DCLG,10/06/2011,Rates,Localism,FAREHAM BC,,5106164186,"4,330.00",,
Communities & Local Government,DCLG,10/06/2011,Rates,Localism,WOLVERHAMPTON CITY COUNCIL,,5106164176,"4,330.00",,
