05-Nov-10

GOVERNMENT TRANSPARENCY AGENDA - HQLF TLB 'DOWN ASPECT' DATA SHEET



























Dept,Org,Unit,Comd,Div,Appt,Reporting SCS post reference,Grade,Payscale Minimum,Payscale Maximum,"Generic 
job title",Number of such posts in FTE
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,2

MOD,MOD,LF TLB,FDT,HQ,D Trg,1605168,OF5,"?81,310.00","?89,408.00",AD,5
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,10
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,32
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,1
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",4
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,52

,,,,,,,BAND B2,"?47,942.00","?57,245.00",,1
,,,,,,,BAND D,"?23,427.00","?27,973.00",,2
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,3
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,2
,,,,,,,Total,,,,8

MOD,MOD,LF TLB,FDT,HQ,D Concepts,1614114,OF5,"?81,310.00","?89,408.00",AD,1
,,,,,,,OF4,"?67,032.00","?77,617.00",,0
,,,,,,,OF3,"?47,760.00","?57,200.00",,0
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,1

MOD,MOD,LF TLB,FDT,HQ LSE,Head Information Superiority,1605127,OF5,"?81,310.00","?89,408.00",AD,4
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,13
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,34
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,11
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",1
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",3
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00","Sergeant, Mil Clerk",3
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,1
,,,,,,,OR3,"?20,582.00","?28,939.00",Mil Clerk,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,71

MOD,MOD,LF TLB,FDT,HQ LSE,D Logistics,1604346,OF5,"?81,310.00","?89,408.00",AD,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,9
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,15
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,1
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",7
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",1
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Sergeant,1
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,35

MOD,MOD,LF TLB,FDT,HQ LSE,D Equipment,1604479,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,6
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,21
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,2
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",7
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",Staff Sergeant,1
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,40

MOD,MOD,LF TLB,FDT,LSE,D Royal Armoured Corps,1296288,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,6
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,16
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,3
,,,,,,,OF1,"?24,615.00","?32,703.00",Staff Officer,1
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",8
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",15
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Sergeant,13
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,7
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,8
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,18
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,98

MOD,MOD,LF TLB,FDT,LSE,D Royal Artillery,1235458,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,7
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,28
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,5
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",10
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",38
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Sergeant,1
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,2
,,,,,,,OR4,"?26,405.00","?33,182.00","Bombadier, Corporal",6
,,,,,,,OR3,"?20,582.00","?28,939.00","Lance Bombadier, Lance Corporal",0
,,,,,,,OR2,"?17,015.00","?26,405.00","Gunner, Private",6
,,,,,,,Total,,,,106

MOD,MOD,LF TLB,FDT,LSE,Engineer in Chief (Army),1201597,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,9
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,5
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,8
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",1
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",17
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Sergeant,5
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,2
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,6
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,6
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,62

MOD,MOD,LF TLB,FDT,LSE,Signals Officer in Chief (Army),1443914,OF5,"?81,310.00","?89,408.00",AD,4
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,15
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,42
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,15
,,,,,,,OF1,"?24,615.00","?32,703.00",,1
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",10
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",11
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Sergeant,7
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,13
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,13
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,13
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,9
,,,,,,,Total,,,,153

MOD,MOD,LF TLB,FDT,LSE,D Infantry,1442314,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,12
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,17
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,5
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer",5
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer",19
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Colour Sergeant",3
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,1
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,3
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,3
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,1
,,,,,,,Total,,,,72

MOD,MOD,LF TLB,FDT,LSE,D Int Corps/Comdt DISC,1143483,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,6
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,9
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,9
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Staff Assistant, Warrant Officer Technical",4
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Staff Assistant, Warrant Officer Technical",9
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Sergeant,8
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,21
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,15
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,11
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,11
,,,,,,,Total,,,,105

MOD,MOD,LF TLB,FDT,LSE,D Royal Logistics Corps,1182808,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,6
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,16
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,10
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",10
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",11
,,,,,,,OR7,"?33,223.00","?42,044.00",Staff Sergeant,2
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,2
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,4
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,7
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,71

MOD,MOD,LF TLB,FDT,LSE,D Electrical & Mechanical Engineering,1180453,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,7
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,22
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,9
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",7
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",11
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,1
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,1
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,61

MOD,MOD,LF TLB,FDT,HQ ARTD,D Recruiting and Training (Operations),1167722,OF5,"?81,310.00","?89,408.00",AD,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,10
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,43
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,44
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",13
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",86
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",102
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,277
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,24
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,6
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,4
,,,,,,,Total,,,,610

MOD,MOD,LF TLB,FDT,ARTD,Comd Defence College of Logistics & Personnel Administration,1212786,OF5,"?81,310.00","?89,408.00",,5
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",15
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",45
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",48
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,9
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",24
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",68
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",76
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,98
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,135
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,22
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,8
,,,,,,,Total,,,,553

MOD,MOD,LF TLB,FDT,ARTD,Comd ITG,1261026,OF5,"?81,310.00","?89,408.00",,1
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",8
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",42
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",61
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,124
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",14
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",58
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",37
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,163
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,598
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,41
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,6
,,,,,,,Total,,,,1153

MOD,MOD,LF TLB,FDT,ARTD,Comdt RSME,1538780,OF5,"?81,310.00","?89,408.00",,1
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",8
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",26
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",37
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,9
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",16
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",38
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",46
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,36
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,160
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,47
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,59
,,,,,,,Total,,,,483

MOD,MOD,LF TLB,FDT,ARTD,Commandant School of Infantry,1448299,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",9
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",35
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",62
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,58
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",16
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",57
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",105
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,119
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,367
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,39
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,87
,,,,,,,Total,,,,954

MOD,MOD,LF TLB,FDT,DGLW,Comd Collective Training Group,1226744,OF5,"?81,310.00","?89,408.00",AD,5
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",19
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",98
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",71
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,15
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",21
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",90
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",104
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,131
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,215
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,209
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,428
,,,,,,,Total,,,,1406

,,,,LEC,,,LEC,,,,476

MOD,MOD,LF TLB,FDT,DGLW,Comd Land Warfare Development Group,1002473,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,10
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,23
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,5
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",6
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",19
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant, Mil Clerk",11
,,,,,,,OR6,"?30,013.00","?36,929.00","Sergeant, Mil Clerk",7
,,,,,,,OR4,"?26,405.00","?33,182.00","Corporal, Mil Clerk",8
,,,,,,,OR3,"?20,582.00","?28,939.00","Lance Corporal, Mil Clerk",6
,,,,,,,OR2,"?17,015.00","?26,405.00",Private,1
,,,,,,,Total,,,,98

MOD,MOD,LF TLB,FDT,DGLW,Brigadier Operational Law,1228936,OF5,"?81,310.00","?89,408.00",AD,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,2
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,7
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,1
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,11

MOD,MOD,LF TLB,FDT,RMAS,President Army Officer Selection Board,1149947,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,7
,,,,,,,OF3,"?47,760.00","?57,200.00",,0
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,6
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Sergeant, Mil Clerk",2
,,,,,,,OR6,"?30,013.00","?36,929.00","Sergeant, Mil Clerk",2
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,20

MOD,MOD,LF TLB,PSC,HQ,Chief of Staff Personnel and Support Command,1186684,OF5,"?81,310.00","?89,408.00",AD,3
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,5
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,7
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,15

MOD,MOD,LF TLB,PSC,HQ,D Infra,1603638,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,2
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,4
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,8

,,,,,,,BAND B2,"?47,942.00","?57,245.00",,3
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,6
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,3
,,,,,,,BAND D,"?23,427.00","?27,973.00",,5
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,5
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,1
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,2
,,,,,,,SCS PAY BAND 1,"?58,200.00","?117,750.00",,1
,,,,,,,Total,,,,26

MOD,MOD,LF TLB,PSC,HQ,DOSC(A),1603797,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",,0
,,,,,,,OF3,"?47,760.00","?57,200.00",,0
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,0

MOD,MOD,LF TLB,PSC,DGAMS,D Med Plans,1606414,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,10
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,7
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Assistant, Warrant Officer Technical",1
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,20

MOD,MOD,LF TLB,PSC,DGAMS,D Army Veterinary and Remount Services,1606413,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,1
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Assistant, Warrant Officer Technical",1
,,,,,,,OR6,"?30,013.00","?36,929.00",,0
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,3

MOD,MOD,LF TLB,PSC,DGAMS,D Army Primary Health Care Service,1213000,OF5,"?81,310.00","?89,408.00",AD,15
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,40
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,43
,,,,,,,OF2,"?37,916.00","?45,090.00",SO3,54
,,,,,,,OF1,"?24,615.00","?32,703.00",Practise Administrator,8
,,,,,,,OR9,"?38,600.00","?46,753.00","Staff Assistant, Warrant Officer Technical",3
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",14
,,,,,,,OR7,"?33,223.00","?42,044.00","Staff Assistant, Warrant Officer Technical",24
,,,,,,,OR6,"?30,013.00","?36,929.00","Mil Clerk, Sergeant",73
,,,,,,,OR4,"?26,405.00","?33,182.00","Mil Clerk, Corporal",39
,,,,,,,OR3,"?20,582.00","?28,939.00","Mil Clerk, Lance Corporal",9
,,,,,,,OR2,"?17,015.00","?26,405.00",Private,2
,,,,,,,Total,,,,324

MOD,MOD,LF TLB,PSC,DALS,D Legal Advisory,1603664,OF5,"?81,310.00","?89,408.00",AD,2
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,3
,,,,,,,OF3,"?47,760.00","?57,200.00",SO2,5
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
