05-Nov-10

GOVERNMENT TRANSPARENCY AGENDA - HQLF TLB 'DOWN ASPECT' DATA SHEET



























Dept,Org,Unit,Comd,Div,Appt,Reporting SCS post reference,Grade,Payscale Minimum,Payscale Maximum,"Generic 
job title",Number of such posts in FTE
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,2
,,,,,,,NHS BAND 6,"?25,472.00","?34,189.00",,1.5
,,,,,,,NHS BAND 7,"?30,460.00","?40,157.00",,1
,,,,,,,PROFESSIONALLY QUALIFIED WORKERS LEVEL3A,"?30,219.00","?32,847.00",,2
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,145.5
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,81
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,56
,,,,,,,SKILL ZONE 4,"?22,150.00","?24,930.00",,1
,,,,,,,Total,,,,582.5

MOD,MOD,LF TLB,FDT,,Comd FDT,1591926,OF5,"?81,310.00","?89,408.00",,0
,,,,,,,OF4,"?67,032.00","?77,617.00",MA to Comd FDT,1
,,,,,,,OF3,"?47,760.00","?57,200.00",,0
,,,,,,,OF2,"?37,916.00","?45,090.00",ADC to Comd FDT,1
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00",,0
,,,,,,,OR7,"?33,223.00","?42,044.00",,0
,,,,,,,OR6,"?30,013.00","?36,929.00",PA to Comd FDT,1
,,,,,,,OR4,"?26,405.00","?33,182.00",Driver,1
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,4

MOD,MOD,LF TLB,FDT,,DG LS&E,1603839,OF5,"?81,310.00","?89,408.00",AD,1
,,,,,,,OF4,"?67,032.00","?77,617.00",SO1,1
,,,,,,,OF3,"?47,760.00","?57,200.00","MA, SO2",2
,,,,,,,OF2,"?37,916.00","?45,090.00",,0
,,,,,,,OF1,"?24,615.00","?32,703.00",,0
,,,,,,,OR9,"?38,600.00","?46,753.00",,0
,,,,,,,OR8,"?36,049.00","?43,252.00","Staff Assistant, Warrant Officer Technical",3
,,,,,,,OR7,"?33,223.00","?42,044.00",Mil Clerk,4
,,,,,,,OR6,"?30,013.00","?36,929.00",Mil Clerk,5
,,,,,,,OR4,"?26,405.00","?33,182.00",,0
,,,,,,,OR3,"?20,582.00","?28,939.00",,0
,,,,,,,OR2,"?17,015.00","?26,405.00",,0
,,,,,,,Total,,,,16

,,,,,,,BAND C1,"?35,648.00","?42,565.00",,12
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,68.5
,,,,,,,BAND D,"?23,427.00","?27,973.00",,65
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,219
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,71
,,,,,,,COMMAND YOUTH AND COMMUNITY OFFICE,"?39,120.00","?47,731.00",,1
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,20
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,131
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,20
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,15
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,13
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,8
,,,,,,,SKILL ZONE 4,"?22,150.00","?24,930.00",,4
,,,,,,,Total,,,,647.5

MOD,MOD,LF TLB,FDT,,DGLW,1232962,OF5,"?81,310.00","?89,408.00","AD, Deputy Comd",4
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",22
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",13
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",10
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,0
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",12
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",12
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",12
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,33
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,21
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,26
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,59
,,,,,,,Total,,,,224

,,,,,,,BAND B1,"?56,436.00","?69,409.00",,1
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,1
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,8
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,11.5
,,,,,,,BAND D,"?23,427.00","?27,973.00",,18
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,63.5
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,15.5
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,3
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C2),"?29,258.00","?34,936.00",,15
,,,,,,,MILITARY SUPPORT FUNCTION (BAND D),"?23,427.00","?27,937.00",,2
,,,,,,,SKILL ZONE 1,"?14,644.00","?16,482.00",,3
,,,,,,,SKILL ZONE 2,"?16,002.00","?18,010.00",,17
,,,,,,,SKILL ZONE 3,"?17,486.00","?18,551.00",,17
,,,,,,,SKILL ZONE 4,"?22,150.00","?24,930.00",,1
,,,,,,,Total,,,,176.5

MOD,MOD,LF TLB,FDT,,DG ART,1272850,OF5,"?81,310.00","?89,408.00","AD, Deputy Comd",9
,,,,,,,OF4,"?67,032.00","?77,617.00","Unit CO, SO1",30
,,,,,,,OF3,"?47,760.00","?57,200.00","Sub-unit OC, SO2",69
,,,,,,,OF2,"?37,916.00","?45,090.00","Tp/Pl Comd, SO3",69
,,,,,,,OF1,"?24,615.00","?32,703.00",Tp/Pl Comd,19
,,,,,,,OR9,"?38,600.00","?46,753.00","RSM, Warrant Officer Technical",21
,,,,,,,OR8,"?36,049.00","?43,252.00","Sub-unit Sergeant Major, Warrant Officer Technical",121
,,,,,,,OR7,"?33,223.00","?42,044.00","Colour Sergeant, Staff Sergeant",117
,,,,,,,OR6,"?30,013.00","?36,929.00",Sergeant,180
,,,,,,,OR4,"?26,405.00","?33,182.00",Corporal,169
,,,,,,,OR3,"?20,582.00","?28,939.00",Lance Corporal,53
,,,,,,,OR2,"?17,015.00","?26,405.00",Private Soldier,93
,,,,,,,Total,,,,950

,,,,,,,APPRENTICE,"?13,375.00","?17,196.00",,2
,,,,,,,BAND B1,"?56,436.00","?69,409.00",,3
,,,,,,,BAND B2,"?47,942.00","?57,245.00",,5
,,,,,,,BAND C1,"?35,648.00","?42,565.00",,48.5
,,,,,,,BAND C2,"?29,258.00","?34,936.00",,213
,,,,,,,BAND D,"?23,427.00","?27,973.00",,906.5
,,,,,,,BAND E1,"?17,835.00","?20,676.00",,869.5
,,,,,,,BAND E2,"?15,168.00","?17,584.00",,269
,,,,,,,CIVILIAN MEDICAL PRACTITIONER (GMC),"?65,071.00","?77,303.00",,1
,,,,,,,DIRECTOR OF STUDIES (RMAS/BRNC),"?69,409.00","?69,409.00",,1
,,,,,,,LECTURER (PCSPS) NEW,"?29,258.00","?34,936.00",,4
,,,,,,,MILITARY SUPPORT FUNCTION (BAND C1),"?35,648.00","?42,565.00",,26
