Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 16,065.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 7,350.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 10,320.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 18,920.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 14,620.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 16,065.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 13,005.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 12,240.00 ",
FCO,FCO,27-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 1,912.50 ",
FCO,FCO,27-Sep-11,Overseas Duty Travel,DG CENTRAL GROUP,KPMG LLP,1026796, 795.00 ,
FCO,FCO,27-Sep-11,Overseas Duty Travel,DG CENTRAL GROUP,KPMG LLP,1026796, 92.00 ,
FCO,FCO,27-Sep-11,IT/IS Consultancy,DG CENTRAL GROUP,KPMG LLP,1026796," 9,180.00 ",
FCO,FCO,27-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,KPMG LLP,1026796," 39,865.90 ",
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368," 39,000.00 ",
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368," 1,600.00 ",
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368," 1,500.00 ",
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368, 300.00 ,
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368, 90.00 ,
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368, 160.00 ,
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368, 240.00 ,
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368, 320.00 ,
FCO,FCO,06-Sep-11,Training Courses,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1025368," 2,114.00 ",
FCO,FCO,06-Sep-11,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1025368," 9,064.80 ",
FCO,FCO,14-Sep-11,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,BRIGHT HORIZONS FAMILY SOLUTION LTD,1025904," 41,246.00 ",
FCO,FCO,05-Sep-11,Fuel Oil Non-Residential,DG CHANGE & DELIVERY,PACE FUELCARE LIMITED,1025349," 23,716.00 ",
FCO,FCO,05-Sep-11,Fuel Oil Non-Residential,DG CHANGE & DELIVERY,PACE FUELCARE LIMITED,1025349," 4,743.20 ",
FCO,FCO,26-Sep-11,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008870," 43,687.84 ",
FCO,FCO,12-Sep-11,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,BRITISH COUNCIL,1025704," 617,518.00 ",
FCO,FCO,20-Sep-11,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,BRITISH COUNCIL,1026183," 47,492.10 ",
FCO,FCO,12-Sep-11,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1025724," 112,184.44 ",
FCO,FCO,12-Sep-11,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1025724," 22,436.89 ",
FCO,FCO,28-Sep-11,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1026921," 600,547.20 ",
