ALB,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Home & Communities Agency,CATERING,ECGD,"4,328.84"
Home & Communities Agency,CATERING,Friends House Hospitality,"4,468.84"
Home & Communities Agency,CATERING,HEATHCOTES (OUTSIDE),"3,416.26"
Home & Communities Agency,CATERING,HUMDINGERS CATERING,"4,148.00"
Home & Communities Agency,CATERING,KUDOS HOSPITALITY LTD,"19,737.81"
Home & Communities Agency,CATERING,LEITH'S AT THE THE CENTRE,743.8
Home & Communities Agency,CATERING,Lunch Company,"14,034.30"
Home & Communities Agency,CATERING,Malmaison - Manchester,619.48
Home & Communities Agency,CATERING,MEMSAAB RESTAURANT,"1,069.86"
Home & Communities Agency,CATERING,MILTON KEYNES CHRISTIAN FOUNDATION,"2,055.77"
Home & Communities Agency,CATERING,MUCH A DO CATERING,"9,507.20"
Home & Communities Agency,CATERING,OUT TO LUNCH,946
Home & Communities Agency,CATERING,PARIS HOUSE RESTAURANT,"1,065.60"
Home & Communities Agency,CATERING,POMEGRANATE CATERING,837
Home & Communities Agency,CATERING,PUMBLECHOOKSCAFE,"4,369.35"
Home & Communities Agency,CATERING,REDCLIFFE CATERING LTD,"6,388.24"
Home & Communities Agency,CATERING,THE BLUE LION,"2,216.50"
Home & Communities Agency,CATERING,THE GRANARY,"6,316.20"
Home & Communities Agency,CATERING,TUCKERS,572.8
Home & Communities Agency,CATERING,UPPERCRUST CATERING,903.5
Home & Communities Agency,CLEANING,ACE CLEANING COMPANY,"10,354.92"
Home & Communities Agency,CLEANING,APPARELMASTER UK LTD,607.1
Home & Communities Agency,CLEANING,ASHFORD CLEANING CONTRACTORS LTD,"8,050.50"
Home & Communities Agency,CLEANING,BTE SERVICES LTD,"1,558.38"
Home & Communities Agency,CLEANING,COMMERCIAL CLEANING SERVICES,"2,923.70"
Home & Communities Agency,CLEANING,COMPREHENSIVE CLEANING SERVICES LTD,"87,737.35"
Home & Communities Agency,CLEANING,DUBLCHECK CLEANING SERVICES LTD,"28,833.83"
Home & Communities Agency,CLEANING,EXCELLENT CHOICE LTD,"3,500.00"
Home & Communities Agency,CLEANING,INDEPTH MANAGED SERVICES,"213,418.27"
Home & Communities Agency,CLEANING,INITIAL WASHROOM SOLUTIONS,"2,075.40"
Home & Communities Agency,CLEANING,J & K COMMERCIAL CLEANING SERVICES LTD,"2,209.40"
Home & Communities Agency,CLEANING,NEWTOWN CLEANING SERVICES,"1,740.00"
Home & Communities Agency,CLEANING,Ocean Contract Cleaning Ltd,"29,667.39"
Home & Communities Agency,CLEANING,OLIVERS MILL CLEANING & MAINTENANCE LTD,"1,328.12"
Home & Communities Agency,CLEANING,SOUTHSIDE CLEANING SERVICES,"6,804.00"
Home & Communities Agency,CLEANING,SWIFT FACILITIES MANGEMENT UK LTD,"1,777.20"
Home & Communities Agency,CLEANING,SYMBIOTIC PROJECTS LIMITED,"1,412.75"
Home & Communities Agency,CLEANING,TECHCLEAN SERVICES LTD,"16,665.60"
Home & Communities Agency,CLOTHING,Greenham Trading Ltd   A/C F378003,"1,872.42"
Home & Communities Agency,CLOTHING,KIT U OUT (UK) LTD,"1,835.70"
Home & Communities Agency,CLOTHING,WESTBURY INDUSTRIAL SUPPLIES,"18,355.81"
Home & Communities Agency,COACH,ASHALLS COACHES,695
Home & Communities Agency,COACH,MOMENTUM TRANSPORT,590
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,A. D. PHILP,"6,076.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,Alan Baxter & Associates LLP,"184,142.09"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,ARUP,"502,303.80"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,Broadway Malyan Limited,"198,474.18"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,Building Design Partnership,"309,079.53"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,CLARKE BOND,"105,205.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,DB SURVEYS LTD,"14,395.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,DERRICK WADE WATERS,"190,285.40"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,EDAW PLC,"264,347.73"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,GVA Grimley LLP,"1,475,184.33"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,Halcrow Group Limited,"981,558.58"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,HICKTON,"150,288.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,Jacobs Engineering UK Ltd,"358,720.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,MBE CONSULTANTS LIMITED,"111,599.90"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,NICK TART ESTATE AGENTS,"1,475.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,PELL FRISCHMANN MILTON KEYNES LTD,"768,318.69"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,PETER BRETT ASSOCIATES LLP,"104,815.56"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,QUARTET DESIGN,"158,065.44"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,RIDER LEVELL BUCKNALL,"173,284.14"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,RPS Planning & Development Ltd,"1,083,970.60"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,SANDERSON WEATHERALL,"10,350.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,SAUNDERS ARCHITECTS,"164,900.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,TEP-THE ENVIRONMENT PARTNERSHIP,"1,037,970.98"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,TGMS LIMITED,"1,800.00"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,THOMAS LISTER LIMITED,"224,678.25"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,TIBBALDS,"13,766.48"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,VAN HEYNINGEN AND HAWARD ARCHITECTS,"156,513.34"
Home & Communities Agency,CONSTRUCTION SERVICE PROVIDERS,WSP Environment & Energy,"105,473.04"
Home & Communities Agency,ELECTRICITY,BARRIER ENERGY,"2,000.00"
Home & Communities Agency,ELECTRICITY,BRITISH ENERGY GENERATION LTD,"30,177.08"
Home & Communities Agency,ELECTRICITY,CONNECT UTILITIES LIMITED,"1,015.92"
Home & Communities Agency,ELECTRICITY,E.ON,"336,132.89"
Home & Communities Agency,ELECTRICITY,EDF Energy Limited,"176,497.27"
Home & Communities Agency,ELECTRICITY,NELSON BAKEWELL LTD (B/A),"10,080.58"
Home & Communities Agency,ELECTRICITY,NORTH LANCASHIRE PRIMARY CARE TRUST,"6,759.67"
Home & Communities Agency,ELECTRICITY,npower,"53,128.42"
Home & Communities Agency,ELECTRICITY,Scottish Power plc,"18,688.35"
Home & Communities Agency,ELECTRICITY,SOUTHERN ELECTRIC PLC,"100,097.37"
Home & Communities Agency,ELECTRICITY,United Utilities,"1,432.00"
Home & Communities Agency,ELECTRICITY,UTILITY RECOVERIES SPECIALISTS LTD,"4,880.46"
Home & Communities Agency,EVENTS ORGANISATION,ABBEY BUSINESS CENTRES LTD,"5,497.00"
Home & Communities Agency,EVENTS ORGANISATION,ARMADA HOUSE CONFERENCE & EVENTS,"1,928.50"
Home & Communities Agency,EVENTS ORGANISATION,ARORA INTERNATIONAL HOTEL,552.61
Home & Communities Agency,EVENTS ORGANISATION,BAWA HEALTHCARE & LEISURE,681.74
Home & Communities Agency,EVENTS ORGANISATION,CITY INN (MANCHESTER),"8,938.65"
Home & Communities Agency,EVENTS ORGANISATION,CORNERSTONE TRADING (MK) LTD,"2,768.68"
Home & Communities Agency,EVENTS ORGANISATION,DeVere Venues,"20,861.97"
Home & Communities Agency,EVENTS ORGANISATION,Hilton,"4,783.90"
Home & Communities Agency,EVENTS ORGANISATION,INSTITUTE FOR GOVERNMENT,"1,197.50"
Home & Communities Agency,EVENTS ORGANISATION,JERWOOD SPACE,"6,729.33"
Home & Communities Agency,EVENTS ORGANISATION,LAKES CHALLENGE,"22,800.00"
Home & Communities Agency,EVENTS ORGANISATION,LANGDALE LEISURE LTD,"28,969.66"
Home & Communities Agency,EVENTS ORGANISATION,LEICESTER CREATIVE BUSINESS DEPOT,751.15
Home & Communities Agency,EVENTS ORGANISATION,LEICESTER THEATRE,899.05
Home & Communities Agency,EVENTS ORGANISATION,LEITH'S AT THE THE CENTRE,"15,975.48"
Home & Communities Agency,EVENTS ORGANISATION,Malmaison,"3,879.52"
Home & Communities Agency,EVENTS ORGANISATION,MANCHESTER CENTRAL CONVENTION COMPLEX LTD,"25,887.00"
Home & Communities Agency,EVENTS ORGANISATION,Marriott Hotel,"6,790.36"
Home & Communities Agency,EVENTS ORGANISATION,MIDDLE ASTON LEADERSHIP CENTRE,"4,262.40"
Home & Communities Agency,EVENTS ORGANISATION,MILTON KEYNES THEATRE LTD,"16,915.44"
Home & Communities Agency,EVENTS ORGANISATION,MK COMMUNITY PROPERTIES LTD,"3,613.40"
Home & Communities Agency,EVENTS ORGANISATION,NEC GROUP BIRMINGHAM,"48,822.50"
Home & Communities Agency,EVENTS ORGANISATION,PARK PLAZA,14765.52
Home & Communities Agency,EVENTS ORGANISATION,Radisson Edwardian,"28,324.75"
Home & Communities Agency,EVENTS ORGANISATION,Ramada ENCORE,"3,486.09"
Home & Communities Agency,EVENTS ORGANISATION,RBG KEW ENTERPRISES LIMITED,750
Home & Communities Agency,EVENTS ORGANISATION,RED SNAPPER EVENTS LTD,"46,654.93"
Home & Communities Agency,EVENTS ORGANISATION,REED MIDEM ORGANISATION S.A.,"3,751.31"
Home & Communities Agency,EVENTS ORGANISATION,ROUNDHOUSE,"29,675.00"
Home & Communities Agency,EVENTS ORGANISATION,ROYAL BERKSHIRE CONFERENCE CENTRE,"6,201.00"
Home & Communities Agency,EVENTS ORGANISATION,SADLERS WELLS LTD,"3,505.00"
Home & Communities Agency,EVENTS ORGANISATION,Sodexho Ltd,815
Home & Communities Agency,EVENTS ORGANISATION,SOMERSET COUNTY CRICKET CLUB LIMITED,"1,354.56"
Home & Communities Agency,EVENTS ORGANISATION,SOUTH FARM,"2,000.00"
Home & Communities Agency,EVENTS ORGANISATION,THE BUILDING CENTRE GROUP LTD,"8,271.73"
Home & Communities Agency,EVENTS ORGANISATION,The Danwood Group Limited,550
Home & Communities Agency,EVENTS ORGANISATION,THE GLASGOWS GROUP,"33,096.10"
Home & Communities Agency,EVENTS ORGANISATION,THE GROSVENOR,"7,860.43"
Home & Communities Agency,EVENTS ORGANISATION,THE ICKWORTH HOTEL & RESTAURANT,"4,076.85"
Home & Communities Agency,EVENTS ORGANISATION,THE NATIONAL EXHIBITION CENTRE,1333.5
Home & Communities Agency,EVENTS ORGANISATION,THE PENVENTON PARK HOTEL,"3,672.01"
Home & Communities Agency,EVENTS ORGANISATION,THE QUEEN ELIZABETH II CONFERENCE CENTRE,"6,812.20"
Home & Communities Agency,EVENTS ORGANISATION,THE ROYAL YORK HOTEL,"9,548.05"
Home & Communities Agency,EVENTS ORGANISATION,THE SHEENE MILL HOTEL & RESTAURANT,"1,057.39"
Home & Communities Agency,EVENTS ORGANISATION,THE ST JOHNS HOTEL,"8,989.20"
Home & Communities Agency,EVENTS ORGANISATION,THE STUDIO VENUE COMPANY,"1,205.00"
Home & Communities Agency,EVENTS ORGANISATION,THE TRAINING ROOM HIRE CO,915.6
Home & Communities Agency,EVENTS ORGANISATION,Thistle Hotel,"3,355.54"
Home & Communities Agency,EVENTS ORGANISATION,THORPE PARK HOTEL & SPA,"1,835.09"
Home & Communities Agency,EVENTS ORGANISATION,UNITED BUSINESS CENTRES PLC,"2,175.00"
Home & Communities Agency,EVENTS ORGANISATION,URBIS TRADING LTD,"2,203.65"
Home & Communities Agency,EVENTS ORGANISATION,WARWICK CONFERENCES,"1,116.00"
Home & Communities Agency,EVENTS ORGANISATION,Warwick University Training,"1,313.30"
Home & Communities Agency,FINANCIAL CONSULTANCY,BAKER TILLY TAX AND ADVISORY SERVICES LLP,"10,975.00"
Home & Communities Agency,FINANCIAL CONSULTANCY,Deloitte & Touche LLP,"683,258.21"
Home & Communities Agency,FINANCIAL CONSULTANCY,ERNST & YOUNG LLP,"197,441.06"
Home & Communities Agency,FINANCIAL CONSULTANCY,Grant Thornton,"9,788.64"
Home & Communities Agency,FINANCIAL CONSULTANCY,Kpmg Llp Fees Account,"720,725.38"
Home & Communities Agency,FINANCIAL CONSULTANCY,LETT ASSOCIATES LIMITED,"30,337.30"
Home & Communities Agency,FINANCIAL CONSULTANCY,Mercer Human Resources Consulting Limited,"227,081.89"
Home & Communities Agency,FINANCIAL CONSULTANCY,MR W N HUGILL,"75,800.00"
Home & Communities Agency,FINANCIAL CONSULTANCY,PKF (UK) LLP,"258,977.02"
Home & Communities Agency,FINANCIAL CONSULTANCY,Pricewaterhousecoopers Llp,"548,146.50"
Home & Communities Agency,FINANCIAL SERVICES,AFFINITY HOMES GROUP LIMITED,"1,666.67"
Home & Communities Agency,FINANCIAL SERVICES,ALDWYCK HOUSING ASSOCIATION LIMITED,"151,142.40"
Home & Communities Agency,FINANCIAL SERVICES,BEDFORDSHIRE PILGRIMS HOUSING ASSOCIATION,"15,000.00"
Home & Communities Agency,FINANCIAL SERVICES,C B Richard Ellis,"598,400.85"
Home & Communities Agency,FINANCIAL SERVICES,CAROLINE WILKES ASSOCIATES LTD,"6,050.10"
Home & Communities Agency,FINANCIAL SERVICES,CATALYST HOUSING GROUP LIMITED,"315,137.22"
Home & Communities Agency,FINANCIAL SERVICES,EAST MIDLANDS HOUSING ASSOCIATION,"372,033.06"
Home & Communities Agency,FINANCIAL SERVICES,EDEN HOUSING ASSOCIATION LTD,"23,960.00"
Home & Communities Agency,FINANCIAL SERVICES,FABRICK HOUSING GROUP LTD,"77,015.88"
Home & Communities Agency,FINANCIAL SERVICES,GLOUCESTERSHIRE HOUSING ASSOCIATION LTD,"56,900.83"
Home & Communities Agency,FINANCIAL SERVICES,GREAT PLACES HOUSING ASSOCIATION,"16,500.00"
Home & Communities Agency,FINANCIAL SERVICES,Ikon Consultancy,"88,164.40"
Home & Communities Agency,FINANCIAL SERVICES,INVESTMENT PROPERTY DATABANK,"23,421.00"
Home & Communities Agency,FINANCIAL SERVICES,JAMES GERARD,"19,301.20"
Home & Communities Agency,FINANCIAL SERVICES,KNIGHTSTONE HOUSING ASSOCIATION LIMITED,"10,434.80"
Home & Communities Agency,FINANCIAL SERVICES,LEVITT BERNSTEIN ASSOCIATES LTD,"5,000.00"
Home & Communities Agency,FINANCIAL SERVICES,LONDON & QUADRANT HOUSING TRUST,"529,702.15"
Home & Communities Agency,FINANCIAL SERVICES,MERCIAN HOUSING ASSOCIATION,"54,000.00"
Home & Communities Agency,FINANCIAL SERVICES,METROPOLITAN HOUSING TRUST,"2,054,850.85"
Home & Communities Agency,FINANCIAL SERVICES,MOAT HOMES LIMITED,"1,410,422.77"
Home & Communities Agency,FINANCIAL SERVICES,NOMAD HOUSING ASSOCIATION (ISOS HOUSING LTD),"88,086.95"
Home & Communities Agency,FINANCIAL SERVICES,ORBIT HOUSING GROUP LIMITED,"1,192,644.36"
Home & Communities Agency,FINANCIAL SERVICES,PETRA VERGUNST,"6,032.05"
Home & Communities Agency,FINANCIAL SERVICES,PLUMLIFE,"288,259.68"
Home & Communities Agency,FINANCIAL SERVICES,PLUS HOUSING GROUP LIMITED,"117,801.27"
Home & Communities Agency,FINANCIAL SERVICES,RIVERSIDE HOME OWNERSHIP,"70,126.95"
Home & Communities Agency,FINANCIAL SERVICES,RIVERSIDE HOUSING GROUP,"9,298.00"
Home & Communities Agency,FINANCIAL SERVICES,Seacourt,"111,634.85"
Home & Communities Agency,FINANCIAL SERVICES,SOIL AND GROUNDWATER TECHNOLOGY ASSOCIATION,"8,900.00"
Home & Communities Agency,FINANCIAL SERVICES,Swaythling Housing Society,"137,062.78"
Home & Communities Agency,FINANCIAL SERVICES,THAMES VALLEY HOUSING ASSOCIATION,"41,600.00"
Home & Communities Agency,FINANCIAL SERVICES,THE UNIVERSITY OF SALFORD,"31,007.22"
Home & Communities Agency,FINANCIAL SERVICES,WARDLAW CONSULTING LIMITED,"49,113.54"
Home & Communities Agency,FINANCIAL SERVICES,WATERLOO HOUSING GROUP,"35,166.00"
Home & Communities Agency,FINANCIAL SERVICES,West Mercia Housing Group,"11,186.00"
Home & Communities Agency,FINANCIAL SERVICES,WESTCOUNTRY HOUSING ASSOCIATION LIMITED,"747,104.29"
Home & Communities Agency,FINANCIAL SERVICES,Willis UK Limited,"1,089,079.40"
Home & Communities Agency,FINANCIAL SERVICES,WYATT-JONES ASSOCIATES LTD,"1,500.00"
Home & Communities Agency,FINANCIAL SERVICES,YORKSHIRE HOUSING,"204,084.71"
Home & Communities Agency,FOOD,3663,742.78
Home & Communities Agency,FOOD,Dairy Crest Limited,"2,996.25"
Home & Communities Agency,FOOD,HARTNELL FRESH FOODS,724.75
Home & Communities Agency,FOOD,KAFEVEND GROUP LIMITED,514.8
Home & Communities Agency,FOOD,MARS DRINKS,"57,131.90"
Home & Communities Agency,FOOD,NEWSTIME LTD,"3,031.21"
Home & Communities Agency,FOOD,POSINI'S RESTAURANT,"1,159.10"
Home & Communities Agency,FOOD,PRISTINE FOOD SERVICES LTD,"1,240.76"
Home & Communities Agency,FOOD,THIRSTY WORK WATER COOLERS,"1,080.00"
Home & Communities Agency,FOOD,VALLEY NEWSAGENTS,"2,774.56"
Home & Communities Agency,FUELS,MAXIMEYES SECURITY LTD,"19,242.74"
Home & Communities Agency,GAS,BRITISH GAS,"289,280.27"
Home & Communities Agency,GAS,Corona Energy,"37,307.90"
Home & Communities Agency,GAS,GAZPROM MARKETING & TRADING RETAIL LTD,897.28
Home & Communities Agency,GAS,GDF SUEZ SALES LIMITED,"1,872.48"
Home & Communities Agency,GAS,TOTAL GAS & POWER LIMITED,"40,741.25"
Home & Communities Agency,GAS,WALES & WEST UTILITIES,698
Home & Communities Agency,HARDWARE,BUSINESS IT,"7,497.00"
Home & Communities Agency,HARDWARE,CRESCENT IT,"1,687.60"
Home & Communities Agency,HARDWARE,DIRECT VISUAL,"21,636.00"
Home & Communities Agency,HARDWARE,FUJITSU TECHNOLOGY SOLUTIONS DIVISION UK,"47,688.88"
Home & Communities Agency,HARDWARE,INFORMATION TECHNOLOGY RENTALS LIMITED,784
Home & Communities Agency,HARDWARE,KEYSTONE COMPUTER SOLUTIONS,"2,600.00"
Home & Communities Agency,HARDWARE,PROBRAND LIMITED,"15,460.68"
Home & Communities Agency,HARDWARE,SAPPHIRE TECHNOLOGIES,"21,244.00"
Home & Communities Agency,HARDWARE,Softcat Ltd,"399,815.59"
Home & Communities Agency,HOTEL,HACKETT PROPERTY SERVICED APARTMENTS,942
Home & Communities Agency,HOTELS,BEST WESTERN MANCHESTER,"1,580.00"
Home & Communities Agency,HOTELS,BRITANNIA HOTELS,"1,992.22"
Home & Communities Agency,HOTELS,COLWICK HALL HOTEL,"2,826.09"
Home & Communities Agency,HOTELS,DOLPHIN HOUSE,"49,238.72"
Home & Communities Agency,HOTELS,DOUBLETREE BY HILTON MILTON KEYNES,"9,269.04"
Home & Communities Agency,HOTELS,ESLINGTON VILLA,632.56
Home & Communities Agency,HOTELS,Expotel Hotel Reservations,"110,419.62"
Home & Communities Agency,HOTELS,HESPERIA LONDON VICTORIA,"1,533.43"
Home & Communities Agency,HOTELS,Holiday Inn,"8,660.62"
Home & Communities Agency,HOTELS,HOTEL DU VIN,"4,475.02"
Home & Communities Agency,HOTELS,Jurys Inn,"2,863.02"
Home & Communities Agency,HOTELS,Macdonald Manchester Hotel,"1,866.94"
Home & Communities Agency,HOTELS,Malmaison,"4,552.87"
Home & Communities Agency,HOTELS,Marriott Hotel,"1,024.07"
Home & Communities Agency,HOTELS,MECURE HOTEL,"2,820.27"
Home & Communities Agency,HOTELS,Ramada Encore,843.15
Home & Communities Agency,HOTELS,ROYAL HORTICULTURAL HALLS AND CONFERENCE CENT,"1,320.00"
Home & Communities Agency,HOTELS,RSA Adelphi Enterprises Ltd,"2,021.15"
Home & Communities Agency,HOTELS,SHIRE HOTELS LTD,"5,003.29"
Home & Communities Agency,HOTELS,THE OLD QUAY HOUSE HOTEL,963.53
Home & Communities Agency,HOTELS,THE QUEENS HOTEL LIMITED,800.28
Home & Communities Agency,HOTELS,THE RESERVATION HIGHWAY LIMITED,948
Home & Communities Agency,HOTELS,THE ROUGEMONT,"1,782.61"
Home & Communities Agency,HOTELS,VILLAGE HOTEL & LEISURE CLUB,"3,800.87"
Home & Communities Agency,HR CONSULTANCY,CAPITA RESOURCING,"34,509.94"
Home & Communities Agency,HR CONSULTANCY,COMPLETE PEOPLE MANAGEMENT LTD,"12,822.88"
Home & Communities Agency,HR CONSULTANCY,HUMAN CONCEPTS,"3,690.00"
Home & Communities Agency,HR CONSULTANCY,JANE KETTLE,"4,600.00"
Home & Communities Agency,HR CONSULTANCY,MARKETING SCOUT LIMITED,"2,500.00"
Home & Communities Agency,HR CONSULTANCY,MOLONEY SEARCH LIMITED,"1,013.20"
Home & Communities Agency,HR CONSULTANCY,MORGAN MCKINLEY GROUP LTD,"22,000.00"
Home & Communities Agency,HR CONSULTANCY,TALENT & POTENTIAL LTD,"49,769.92"
Home & Communities Agency,INTERIM MANAGER,PINNACLE REGENERATION GROUP PLC,"56,793.26"
Home & Communities Agency,IT CONSULTANCY,FAELIX LTD,"28,395.16"
Home & Communities Agency,IT CONSULTANCY,SYBERSOLVE SOLUTIONS LTD,"43,416.00"
Home & Communities Agency,LEARNING ,LUCY GLENDINNING,500
Home & Communities Agency,LEARNING AND DEVELOPMENT MATERIALS,BRANDED3 LTD,"56,518.42"
Home & Communities Agency,LEARNING AND DEVELOPMENT MATERIALS,Royal Institution of Chartered Surveyors,"4,617.33"
Home & Communities Agency,LEARNING AND DEVELOPMENT MATERIALS,TAYLORFITCH LIMITED,600
Home & Communities Agency,LEARNING AND DEVELOPMENT MATERIALS,THE ASSOC. FOR GEOGRAPHIC INFORMATION LIMITED,595
Home & Communities Agency,LEARNING AND DEVELOPMENT MATERIALS,THE INSTITUTE OF HIGHWAYS & TRANSPORTATION,"20,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT MATERIALS,Thomas Telford Ltd,"37,055.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,ANDRIANA NAIDOO CONSULTING SERVICES,"5,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,AQUENT RECRUIT MEDIA,900
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,AUTOTRAIN,"2,759.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,BIRMINGHAM CITY UNIVERSITY,"20,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,BIZTECH TECHNOLOGY FORUM LTD,"2,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Blueprint Management Systems Ltd,"11,544.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,BPP PROFESSIONAL EDUCATION,"3,101.70"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,BRITISH PROPERTY FEDERATION,"1,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,BRITISH RED CROSS,800
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,CARDINUS LTD,"9,785.57"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,CAROL COOMBES,"2,280.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,CAVENDISH CONFERENCE CENTRE,"1,852.50"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,CCC EVENTS,"3,360.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Chartered Institute of Housing,"107,468.49"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,COGS,"3,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Coin Street Community Builders,"4,483.85"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,CONGRESS CENTRE,679.42
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Council of Mortgage Lenders,"2,360.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,COVENTRY UNIVERSITY,"19,512.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,CPCR LIMITED,"37,050.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Cranfield Management,850
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,CROSBY TRAINING,"1,170.10"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,DAVID WARDLE HOUSING SERVICES,"9,200.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,De Montfort University,"3,097.50"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,DERBY UNIVERSITY ENTERPRISES LTD,"82,885.62"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,DESIGN FOR HOMES,"128,482.30"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,DEVELOPMENT TRAINING SOLUTIONS,"2,142.68"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Dotted Eyes Limited,"2,500.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Electric Airwaves Ltd,"27,500.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,EMAP Glenigan Ltd,"17,765.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,EMBIZ LTD,"4,080.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Excitech Limited,"3,040.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,FUTURA INTERACTIVE LTD,"18,687.50"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,GBS CORPORATE TRAINING PLC,"8,927.80"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,GILL NEWTON CBE,"1,200.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,GLASLYN TRAINING & DEVELOPMENT,"9,277.91"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,GOOD HOMES ALLIANCE,"1,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,HANDS-ON-HELP FOR COMMUNITIES,606
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,HOLLY OAK TREE SERVICES,"2,200.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,HR SOCIETY,908.2
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,HUDSON GLOBAL RESOURCES LTD,"10,716.67"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,IBP ACADEMY,"88,223.50"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,IBP STRATEGY & RESEARCH LTD.,"11,097.50"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,IRIS CONSULTING (UK) LTD,"1,315.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,JOHN LANGFORD CONSULTING LTD,"25,195.10"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Julia Lucas,"8,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,KINEO UK,"123,714.23"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Lichfield Associates,"3,709.75"
