Minister,Date,Name of External Organisation,Purpose of meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2011",Communication Workers Union ,Regular meeting
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2011",British Union for the Abolition of Vivisection,To discuss consumer affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2011",Royal Mail,To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2011","Globis, Total Conflict Management, Centre for Effective Dispute Resolution, Conflict Management Plus, Paradigm, Steve Hindmarsh Ltd, Prutton Partnership, Gleamed, Chartered Institute of Personnel and Development, ACAS, Swansea University",To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2011",Consumer Focus ,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","July, 2011","Family and Partnership Institute, Ford, CiTi, Trade Union Congress, Centre for Social Justice, Pepsi, Fatherhood Institute, The Fawcett Society, Agony Aunt and Campaigner",To discuss employment relations
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","August, 2011","Unite, Communication Workers Union",To discuss postal affairs
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2011",Fujitsu,To discuss Big Society
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2011",Money Advice Trust,To discuss consumer issues
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2011","Institute of Credit Management, Association of British Insurers, British Property Federation, The Insolvency Exchange, MAX Recovery, Citizens Advice Bureau, Money Advice Trust, Bankruptcy Advisory Service, Consumer Credit Counselling Service, R3, PricewaterhouseCoopers, Insolvency Practitioners Association, Association of Chartered Certified Accountants, Institute of Chartered Accountants of Scotland, KPMG, Royal Bank of Scotland",To discuss insolvency
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2011",Post Office Ltd,To discuss postal services
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2011","Social Enterprise Coalition, Founder and MD, Cool2Care, Sandwell Community Caring Trust, John Lewis, Social Enterprise Microsoft, Prospect-us, P3, Coutts, Social Care in Action Group","To discuss social enterprise, lunch provided"
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP","September, 2011",Mail Competition Forum,To discuss postal services
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2011",Models Union,To discuss welfare and employment issues 
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","July, 2011",International Federation of Intellectual Property Attorneys,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2011",Anti Copying in Design and British Design Innovation,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2011",Phonographic Performance Limited,To discuss Intellectual Property
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2011",Getting on Board,To discuss enterprise and women on boards
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ","September, 2011","Visa, Mastercard, Paypal, International Federations of the Phonographic Industry",To discuss Intellectual Property
