"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-12,London Legacy Development Corporation (LLDC),Olympic stadium
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-12,Asian Fire Services Association (AFSA) -,Progress following the AFSA Annual Conference
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-12,London Legacy Development Corporation (LLDC),London Legacy Development Corporation (LLDC)
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-12,City of London Corporation,"National Planning framework, Business Rates Retention, Thames Gateway, London Settlement."
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-12,Combined Fire Authority Chairs,Fire
"Bob Neill MP, Parliamentary Under-Secretary of State",Jun-12,Tottenham Hotspur Football Club ,Post Riots and Northumberland Development Project
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Apr-12,Royal Institute of Chartered Surveyors ,Subterranean Development Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jun-12,Hampshire County Council,Update on procurement issues

"Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of devolved or foreign governments.",,,
