Minister,Date,Name of External Organisation*,Purpose of meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Kent County Council,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,North Somerset Council,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Ipswich Borough Council,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Corby Borough Council,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Breckland District Council & South Holland District Council,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,South Cambridgeshire District Council,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Meeting with Cllr Paul Bettison & Andrew Smith,Workstream Leads on Place-Based Productivity
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Oxfordshire County Council,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,East of England faiths council,To discuss the work of East of England Faith Council and how it relates to that of Local Authorities
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Derby County Council,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,North Yorkshire CC,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,London Borough of Enfield,Local Government Finance meeting
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,English Heritage,Localism Bill
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Sir Don Curry,Government’s regulatory reform agenda
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Jan-11,Meeting with Cllr Gary Porter & Joanna Killian,Workstream Leads on Place-Based Productivity
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Feb-11,Suffolk County Council,Workstream Leads on Place-Based Productivity
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,Hampshire County Council,Local Productivity programme
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,Cllr Paul Bettison & Dr Andrew Larner,To discuss what areas to cover in the Minister speech
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,Cllr Gerald Vernon-Jackson & David Jenkins,Workstream Leads on Place-Based Productivity
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Mar-11,Strategic Land Partnerships,Solar Panel Installations in the South West
