Department ,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020840,64.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020840,563.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020840,120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020842,369.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020842,5.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,THE LONDON APPRENTICESHIP COMPANY,1020870,673.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020882,720
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020911,734.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1020912,633.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021081,472.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021148,643.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021150,628.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021152,650.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/03/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021223,633.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021382,748.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021386,763.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021390,830.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021424,336
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021425,787.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021598,720
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021599,744
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021600,763.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021602,806.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021662,602.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021663,610.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021664,590.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021664,3.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021692,530.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021697,642
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021702,666.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1021705,637.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021832,787.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021834,313.15
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1021834,478.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022012,638.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022015,221.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022015,503.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022053,598.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/03/2011,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,THE LONDON APPRENTICESHIP COMPANY,1022448,673.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022461,633.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022467,659.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022479,598.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Recruitment Consultancy Costs,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022504,633.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022507,530.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1022507,78.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022559,830.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022560,751.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022560,122.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022565,763.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022578,777.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022585,364.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022586,806.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022587,806.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022588,398.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022589,340.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1022590,758.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1023135,1017.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1023136,739.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1023137,566.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,OFFICE ANGELS LTD,1023349,787.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1023498,760.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1023520,667.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1023521,602.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1023524,637.86
