Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,PLYMOUTH MARINE LABORATORY,1025318,447.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,PLYMOUTH MARINE LABORATORY,1025318,356.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,NUCLEAR DECOMMISSIONING AUTHORITY,1025360,1254.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,NUCLEAR DECOMMISSIONING AUTHORITY,1025360,28.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,NUCLEAR DECOMMISSIONING AUTHORITY,1025360,300.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,NUCLEAR DECOMMISSIONING AUTHORITY,1025360,60.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,1025406,4800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Taxis- Overseas (Programme),Knowledge and Innovation Group - Research Base,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,1025406,400
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,1025406,4800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,UNIVERSITY OF GLASGOW,1025463,6468.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF DURHAM,1025465,622.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF DURHAM,1025465,360.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,THE ROYAL SOCIETY,1025488,2097.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,THE ROYAL SOCIETY,1025488,1669.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF BRISTOL,1025495,1092.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF BRISTOL,1025495,733.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,UNIVERSITY OF LIVERPOOL,1025617,2500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Rail Fares (Programme),Knowledge and Innovation Group - Research Base,MARK LEAVER CONSULTING LTD,1025635,75.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Rail Fares - Overseas (Programme),Knowledge and Innovation Group - Research Base,MARK LEAVER CONSULTING LTD,1025635,19.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,MARK LEAVER CONSULTING LTD,1025635,112.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,MARK LEAVER CONSULTING LTD,1025635,34.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,UNIVERSITY OF LEEDS,1025637,4084.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Taxis (Programme),Knowledge and Innovation Group - Research Base,KINGS COLLEGE LONDON,1025640,16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,KINGS COLLEGE LONDON,1025640,6258.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,KINGS COLLEGE LONDON,1025640,1276.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,KINGS COLLEGE LONDON,1025640,246.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF STRATHCLYDE,1025642,915
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF STRATHCLYDE,1025644,2608
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF STRATHCLYDE,1025644,1656
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF STRATHCLYDE,1025644,633
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF STRATHCLYDE,1025645,1569.14
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF STRATHCLYDE,1025647,315.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,ROYAL BOTANIC GARDENS KEW,1025858,819.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,ROYAL BOTANIC GARDENS KEW,1025858,186.51
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,CHURCH HOUSE CONFERENCE CENTRE LTD,1025862,1035
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277186,900
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277187,456.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277187,622.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277187,450
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277253,591.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277253,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Rail Fares - Overseas (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277255,15
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277255,223.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Other Overseas Travel & Subsistence (Programme),Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277255,21.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/04/2011,Training (Agencies),Knowledge and Innovation Group - Government Office For Science,NATIONAL SCHOOL OF GOVERNMENT,1023970,1590
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1024144,62.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/04/2011,PPM (Project & Programme Management) Training,Knowledge and Innovation Group - Government Office For Science,NATIONAL SCHOOL OF GOVERNMENT,1024476,1760
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Professional Subscriptions,Knowledge and Innovation Group - Government Office For Science,HM REVENUE & CUSTOMS,1025354,793
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Rail Fares,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276870,9.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Taxis,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276870,4.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Taxis Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276917,30
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Hotels Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276917,191.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276917,92.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276917,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Entertaining Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276917,120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Entertaining Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276917,4.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Rail Fares,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276918,32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Taxis,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276918,12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Taxis,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276918,13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Hotels Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276918,26.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276918,40.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276918,60
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Rail Fares,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276919,23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Taxis,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276919,127
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Taxis Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276919,10.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Taxis Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276919,6.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276919,4.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276919,40.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276919,0.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276941,22.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276941,2.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276941,5.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Rail Fares,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277078,43.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277078,23.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Subsistence Payments,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277078,28.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277078,35.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Rail Fares,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277079,30.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277079,98.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Hotels Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277079,152.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277079,82.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277079,26.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Entertaining Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277079,5.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277083,104.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Rail Fares Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277083,37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277083,5.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Rail Fares,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277261,43.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Taxis Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277261,27.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277261,28.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10277261,277.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/04/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Government Office For Science,KULIMA INTEGRATED DEVELOPMENT SOLUTIONS (PTY) LTD,1022421,8722.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,SUSAN MARTIN,1023375,4571.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,KATHERINE NORMAN,1023551,385
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,OLIVER B LINTON T/A LINTON ECONOMETRICS,1023659,8800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,SYRITTA ALGORITHMICS LTD,1023661,5925.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,KAI LORENZEN,1023742,1200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,TRIBAL CONSULTING LTD,1023898,6847.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,LABFIN LTD,1023908,7674.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,CITY INN LTD T/A MINT HOTEL WESTMINSTER,1024105,1191.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,CITY INN LTD T/A MINT HOTEL WESTMINSTER,1024105,105.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,LAURA MCCAFFREY,1024113,5774.14
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,MIKE BOLAND,1024117,1230
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Catering Services (Programme),Knowledge and Innovation Group - Government Office For Science,SPOILT FOR CHOICE LTD,1024126,159.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,QUANTITATIVE SOFTWARE CONSULTING LTD,1024138,8000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ISTOCKPHOTO LP,1024213,573.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ISTOCKPHOTO LP,1024215,896.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,LEI,1024279,11491.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,PROFESSOR DAVID THOMAS,1024664,10328.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ZIAD DAOUD,1024848,250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ABHISEK BANERJEE,1024850,250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,SUJIN PARK,1024851,250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ZZZZRACHEL YANG YAN,1024857,250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,PROMOTIONAL LOGISTICS LTD,1024858,16013.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,JONATHAN BROGAARD,1024860,1188.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ALBERT MENKVELD,1024861,506.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ZZZZBONSOO KOO,1024863,250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ZZZZSVETLANA BRYZGALOVA,1024864,250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,CHRISTOPHE BENE,1024866,800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ONE QUEEN ANNE'S GATE,1024875,1350
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ONE QUEEN ANNE'S GATE,1024875,270
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,THE INSTITUTE OF DEVELOPMENT STUDIES,1024886,1069
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,MIDDLESEX FLOOD RESEARCH ASSOCIATES LTD,1024906,7000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,OECD,1024936,474.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,IMPERIAL COLLEGE LONDON,1024977,177
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,SUE HILL RECRUITMENT & SERVICES LTD,1025028,2425.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,SUE HILL RECRUITMENT & SERVICES LTD,1025028,1758.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ANDREW GEDDES,1025139,1659
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,MIND,1025145,1120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,SAMI CONSULTING LTD,1025398,9272.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,SAMI CONSULTING LTD,1025398,98.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,PROFESSOR TROND BJORNDAL,1025408,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ADELPHI RESEARCH GMBH,1025412,440.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,CHURCH HOUSE CONFERENCE CENTRE LTD,1025459,729.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,OVERSEAS DEVELOPMENT INSTITUTE,1025473,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,OVERSEAS DEVELOPMENT INSTITUTE,1025473,4500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,OVERSEAS DEVELOPMENT INSTITUTE,1025473,250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,PROFESSOR ANTHONY JAMES FIELDING,1025485,6250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,PROFESSOR MARK TEWDWR-JONES,1025491,1200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,BANK OF ENGLAND,1025497,263.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,SYRITTA ALGORITHMICS LTD,1025499,4000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Rail Fares (Programme),Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276871,218.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Others UK Travel & Subsistence (Programme),Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276871,21.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/04/2011,Rail Fares (Programme),Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276937,149.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/04/2011,Mileage Allowances (Programme),Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276937,60
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/04/2011,Hotels (Programme),Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10276937,238
