Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007393,310000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Administration of Grants and Awards,Universities and Skills Group - Learners,INSTITUTE OF MECHANICAL ENGINEERS (IMECHE),1007391,12500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,ADP/Fast Stream Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",COMMUNICAID GROUP LTD,1005867,-223.44
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,BIOINDUSTRY ASSOCIATION,1006645,1400
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1004097,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1005279,1854.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1004105,2500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,NATIONAL INSTITUTE FOR BIOLOGICAL STANDARDS AND CONTROL,1006099,1890.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,NUCLEAR DECOMMISSIONING AUTHORITY,1005779,1155.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272889,659.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272890,659.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272768,880.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272770,1190.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272668,1237.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272888,1239.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272870,1395.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272678,1718.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10272658,2190.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,THE ROYAL SOCIETY,1006817,15000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,THE UNIVERSITY OF EDINBURGH,1006994,1235
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Application Support Service,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005663,2351.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Application Support Service,Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007800,2351.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Audit Fees (Programme),Fair Markets Group Summary - Consumer and Competition Policy,PARFITT & CO,1006245,4000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Audit Fees (Programme),Fair Markets Group Summary - Consumer and Competition Policy,SANDRA VERKUYTEN,1005873,3000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,BIS Tax Deductions,Corporate Payments,HM REVENUE & CUSTOMS,1006905,531.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273107,-54.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273115,-48.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273113,-45.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273105,-38.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273114,-37.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273112,-37.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273108,-37.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273106,-34.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273103,-33.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273109,-31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273104,-30.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273100,-28.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273111,-23.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273101,-19.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273110,-13.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273117,-10.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,BIS Tax Deductions,Corporate Payments,"Personal Expense, Name Witheld",10273116,-7.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Board Members National Insurance Deductions (Suspense Account),Corporate Payments,HM REVENUE & CUSTOMS,1006904,8675
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Board Members Tax Deductions (Suspense Account),Corporate Payments,HM REVENUE & CUSTOMS,1006902,17423.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Buildings Insurance,Finance & Commercial Group - Information and Workplace Strategies,CUSHMAN & WAKEFIELD LLP,1007214,31164.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Buildings Insurance,Finance & Commercial Group - Information and Workplace Strategies,CUSHMAN & WAKEFIELD LLP,1007212,37681.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Buildings Insurance,Finance & Commercial Group - Information and Workplace Strategies,CUSHMAN & WAKEFIELD LLP,1007213,44007.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Buildings Insurance (Programme),Finance & Commercial Group - Information and Workplace Strategies,NRA LTD,1007090,1382
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Buildings Insurance (Programme),Finance & Commercial Group - Information and Workplace Strategies,THE ETHNIC MINORITY FOUNDATION,1007126,1924.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Business Continuity Planning Service,Finance & Commercial Group - Information and Workplace Strategies,TELSPHERE LTD,1006560,8000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",Department of Energy & Climate Change,1006845,647243
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Capital Grants - Other,Business Group - Advanced Manufacturing Industries,ONE NORTH EAST,1007901,418343.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Capital Grants - Other,Business Group - Life Sciences,SCOTTISH ENTERPRISE,1006394,45071.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Capital Grants - Other,Business Group - Life Sciences,SCOTTISH ENTERPRISE,1006394,328187.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Capital Grants - Other,Business Group - Life Sciences,SCOTTISH ENTERPRISE,1006391,1300812.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Capital Grants - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,SCOTTISH HIGHER EDUCATION FUNDING COUNCIL,1005887,5740128
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Capital Grants - Other,Business Group - Life Sciences,STEVENAGE BIOSCIENCE PARK,1007195,288416
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Capital Grants - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,THE BRITISH ACADEMY,1006358,205046.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Capital Grants - Other,Business Group - Economic Development Directorate,THE LONDON DEVELOPMENT AGENCY LTD,1007937,800000
