Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Outsourced Programme Management Services,Universities and Skills Group - Further Education & Skills Investment,STERLING ARCHIVES LTD,1005549,-225.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Outsourced Programme Management Services,Universities and Skills Group - Further Education & Skills Investment,STERLING ARCHIVES LTD,1007315,1248.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Outsourced Programme Management Services,Universities and Skills Group - Further Education & Skills Investment,STERLING ARCHIVES LTD,1007315,2372.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Outsourced Programme Management Services,Universities and Skills Group - Further Education & Skills Investment,SUPER STORAGE LTD,1006641,-93.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,CLAIR PASSELLE,1006840,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,CLAIR PASSELLE,1005879,1500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,CLAIR PASSELLE,1006329,1500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,CLAIR PASSELLE,1007564,1500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,CLAIR PASSELLE,1006839,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,DMCII (DMC INTERNATIONAL IMAGING LTD),1006128,5970
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,DMCII (DMC INTERNATIONAL IMAGING LTD),1005932,25320
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,DOCTOR SAM HARBISON,1006158,787.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,EEE COMPONENTS QUALITY AND RELIABILITY CONSULTANCY LTD,1007513,10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,EOCI,1006314,831.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,RICHARD TURNER CONSULTANTS LTD,1007013,800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,SCIENCE AND TECHNOLOGY FACILITIES  COUNCIL,1006790,200000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Overseas Advances,Corporate Payments,"Personal Expense, Name Witheld",10272791,-100
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Overseas Advances,Corporate Payments,"Personal Expense, Name Witheld",10273000,600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,DEPARTMENT FOR EDUCATION,1006223,-1317175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,DEPARTMENT FOR EDUCATION,1006223,-282675.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,-189376
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Strategic Policy Analysis - Strategic Policy Analysis,DEPARTMENT FOR EDUCATION,1006223,-40870
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,-12620
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,12620
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,14828.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Strategic Policy Analysis - Strategic Policy Analysis,DEPARTMENT FOR EDUCATION,1006223,40870
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Strategic Policy Analysis - Strategic Policy Analysis,DEPARTMENT FOR EDUCATION,1006223,40870
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,189376
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,189376
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,DEPARTMENT FOR EDUCATION,1006223,282675.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,DEPARTMENT FOR EDUCATION,1006223,282675.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Payment for Shared Services,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1007450,349372
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,DEPARTMENT FOR EDUCATION,1006223,1317175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services - Programme,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,-123266
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services - Programme,Finance & Commercial Group - Finance Group,DEPARTMENT FOR EDUCATION,1006223,-71947.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services - Programme,Finance & Commercial Group - Finance Group,DEPARTMENT FOR EDUCATION,1006223,71947.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services - Programme,Finance & Commercial Group - Finance Group,DEPARTMENT FOR EDUCATION,1006223,80000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services - Programme,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,123266
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment for Shared Services - Programme,Finance & Commercial Group - Information and Workplace Strategies,DEPARTMENT FOR EDUCATION,1006223,123266
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1007048,518.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1007043,1350.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1007047,1410.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1007046,1780.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1007044,3545.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1007051,11208.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1007050,88080.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Payment-Recovery of Overpayment re Exits,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",CABINET OFFICE,1007049,464010.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,1006615,165957.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1006804,-315.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1006843,1616.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1005726,19944.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,CARLSON WAGONLIT TRAVEL UK LTD,1006804,25785.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1006055,3643.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1005737,4917.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1006585,5190.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1007144,6652.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1007606,8085.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1005829,686.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1005803,5899.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1005802,29736.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Payments to Treasury Solicitors and Treasury Counsel,"Legal, People & Communications Group - Legal",THE TREASURY SOLICITORS DEPARTMENT,1006344,7050
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Payments to Treasury Solicitors and Treasury Counsel,"Legal, People & Communications Group - Legal",THE TREASURY SOLICITORS DEPARTMENT,1006816,-53813.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Payments to Treasury Solicitors and Treasury Counsel,"Legal, People & Communications Group - Legal",THE TREASURY SOLICITORS DEPARTMENT,1006816,53787.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Payments to Treasury Solicitors and Treasury Counsel,"Legal, People & Communications Group - Legal",THE TREASURY SOLICITORS DEPARTMENT,1006816,53813.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Payroll Services,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",LOGICA UK LTD,1006383,3607.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Payroll Services,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",LOGICA UK LTD,1006381,6079.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Payroll Services,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",LOGICA UK LTD,1006387,9017.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Payroll Services,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",LOGICA UK LTD,1006390,11462.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Postage,Finance & Commercial Group - Information and Workplace Strategies,ROYAL MAIL,1006278,3091.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Postage,Finance & Commercial Group - Information and Workplace Strategies,ROYAL MAIL,1006586,3091.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Postage,"Legal, People & Communications Group - Legal",TNT UK LTD,1006717,-21.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,PR & Marketing Advice & Services,Universities and Skills Group - Higher Education,GRADUATE PROSPECTS LTD,1007234,2250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Press Office Facilities,"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007085,29000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Press Office Facilities,"Legal, People & Communications Group - Communications Directorate",ENERGY DATA SERVICES LTD T/A PRECISE,1006285,9392.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Printing,Shareholder Executive - Shareholder Executive,THE STATIONERY OFFICE LTD,1006991,1552.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Professional Searches,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",TOWERS WATSON UK LTD,1007500,1621.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Programme and Projects Service,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005973,5472.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Programme and Projects Service,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1007717,7031.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Project Management Costs (Programme),"Innovation, Enterprise & Better Regulation Executive - Innovation",COI COMMUNICATIONS,1006123,-2268
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Project Management Costs (Programme),"Innovation, Enterprise & Better Regulation Executive - Innovation",COI COMMUNICATIONS,1006123,2268
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Project Management Costs (Programme),"Innovation, Enterprise & Better Regulation Executive - Innovation",COI COMMUNICATIONS,1006123,2268
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007054,-840
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007065,-733.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007058,529.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007065,733.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007065,773.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007054,840
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007054,840
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007055,2052.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007069,3804.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007071,5189.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007064,5968.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007070,6004.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007056,7431.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007076,7599.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007060,7741.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Project Management Costs (Programme),"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1007063,9993.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,Project Management Costs (Programme),Universities and Skills Group - Higher Education,THE BRITISH COUNCIL,1006918,94263
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Publications,Strategic Policy Analysis - Strategic Policy Analysis,JONES YARRELL LEADENHALL,1006042,-22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Publications,"Business Group - Solutions for Business, Low Carbon & Services",JONES YARRELL LEADENHALL,1006386,-16.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Publications,"Legal, People & Communications Group - Legal",LEXISNEXIS BUTTERWORTHS,1006084,552.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Publications,"Legal, People & Communications Group - Legal",LEXISNEXIS BUTTERWORTHS,1006707,646.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Publications,"Legal, People & Communications Group - Legal",LEXISNEXIS BUTTERWORTHS,1006593,670.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Publications,"Legal, People & Communications Group - Legal",LEXISNEXIS BUTTERWORTHS,1006089,828.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Publications,"Legal, People & Communications Group - Legal",LEXISNEXIS BUTTERWORTHS,1007367,958.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Publications,"Legal, People & Communications Group - Legal",SWETS INFORMATION SERVICES,1006709,-95.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Publications,SCIENCE & RESEARCH GROUP - UK Space Agency,SWETS INFORMATION SERVICES,1006273,537.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Publications,Business Group - Business Environment and Growth Directorate,THE STATIONERY OFFICE LTD,1006969,1294
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Publications,Finance & Commercial Group - Finance Group,THE STATIONERY OFFICE LTD,1005025,20999.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Publications,"Legal, People & Communications Group - Legal",THOMSON REUTERS (LEGAL) LTD T/A SWEET AND MAXWELL,1005781,-157.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Publications,"Legal, People & Communications Group - Legal",THOMSON REUTERS (LEGAL) LTD T/A SWEET AND MAXWELL,1005781,-138
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Publications,"Legal, People & Communications Group - Legal",THOMSON REUTERS (LEGAL) LTD T/A SWEET AND MAXWELL,1005781,-112.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Purchase of  Advertising and Publicity (Programme),Fair Markets Group Summary - Employment Relations,BOUNTY UK LTD,1006277,9350
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Purchase of Completed Research,Business Group - Advanced Manufacturing Industries,ENTEC UK LTD,1007768,4503.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Purchase of Completed Research,Business Group - Advanced Manufacturing Industries,ENTEC UK LTD,1006095,5648.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Purchase of Completed Research,Business Group - Advanced Manufacturing Industries,ISSB LTD,1007411,1250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Purchase of Completed Research,Strategy Group - Strategy Directorate,NATIONAL CENTRE FOR SOCIAL RESEARCH(NATCEN),1005719,800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Purchase of Completed Research,Universities and Skills Group - Skills Directorate,NFER TRADING LTD,1007912,338820
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Purchase of Completed Research,Business Group - Economic Development Directorate,OFFICE FOR NATIONAL STATISTICS,1006053,5110
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Purchase of Completed Research,Universities and Skills Group - Skills Directorate,OFFICE FOR NATIONAL STATISTICS,1006203,-1120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Purchase of Completed Research,Universities and Skills Group - Skills Directorate,OFFICE FOR NATIONAL STATISTICS,1006203,1120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Purchase of Completed Research,Universities and Skills Group - Skills Directorate,OFFICE FOR NATIONAL STATISTICS,1006203,1120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Purchase of Completed Research,Universities and Skills Group - Skills Directorate,THE INSTITUTE FOR FISCAL STUDIES,1006561,21605.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Purchase of Office Machinery,"Legal, People & Communications Group - Legal",LYRECO UK LTD,1007194,716.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Rates,Finance & Commercial Group - Information and Workplace Strategies,DWP (DEPARTMENT FOR WORK AND PENSIONS),1006145,3028.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Rates,Finance & Commercial Group - Information and Workplace Strategies,NATIONAL MEASUREMENT OFFICE,1007208,19126.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Recoverable VAT Input,Corporate Payments,FUJITSU SERVICES LTD,1007745,-0.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Recoveries Account,Corporate Payments,DEPARTMENT FOR TRANSPORT,1007590,27099.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Recoveries Account,Corporate Payments,DEPARTMENT FOR WORK AND PENSIONS (DWP),1006758,91692.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Recoveries Account,Corporate Payments,Department of Energy & Climate Change,1006352,1800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Recoveries Account,Corporate Payments,UK TRADE & INVESTMENT,1005816,1175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Recruitment Consultancy Costs,Shareholder Executive - Shareholder Executive,SAXTON BAMPFYLDE HEVER plc,1005783,-10500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Recruitment Consultancy Costs,Shareholder Executive - Shareholder Executive,SAXTON BAMPFYLDE HEVER plc,1005586,-1260
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Recruitment Consultancy Costs,Shareholder Executive - Shareholder Executive,SAXTON BAMPFYLDE HEVER plc,1005586,-1260
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Recruitment Consultancy Costs,Shareholder Executive - Shareholder Executive,SAXTON BAMPFYLDE HEVER plc,1005586,1260
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Recruitment Consultancy Costs,Fair Markets Group Summary - Consumer and Competition Policy,SAXTON BAMPFYLDE HEVER plc,1006304,8400
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Recruitment Consultancy Costs,Shareholder Executive - Shareholder Executive,SAXTON BAMPFYLDE HEVER plc,1005782,10500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Recruitment Consultancy Costs,Shareholder Executive - Shareholder Executive,SAXTON BAMPFYLDE HEVER plc,1005783,10500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Recruitment Consultancy Costs,Shareholder Executive - Shareholder Executive,SAXTON BAMPFYLDE HEVER plc,1005783,10500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Recruitment Consultancy Costs,Shareholder Executive - Shareholder Executive,SAXTON BAMPFYLDE HEVER plc,1005587,11760
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Recruitment Consultancy Costs,Fair Markets Group Summary - Corporate Law and Governance,THE FINANCIAL REPORTING COUNCIL,1006337,-10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Recruitment Consultancy Costs,Fair Markets Group Summary - Corporate Law and Governance,THE FINANCIAL REPORTING COUNCIL,1006337,10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Recruitment Consultancy Costs,Fair Markets Group Summary - Corporate Law and Governance,THE FINANCIAL REPORTING COUNCIL,1006337,10000
