Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,STOCKPORT MBC,5000151443,"-13,470.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,STOCKPORT MBC,5000151444,"-825,281.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,STOCKTON ON TEES BC,5000151447,"-688,163.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,STOKE ON TRENT CITY COUNCIL,5000151452,"-762,279.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,SUNDERLAND DC,5000151469,"-792,361.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,SUTTON LB,5000151478,"-490,248.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,SWALE BC,5000151481,"-372,874.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,SWINDON BC,5000151486,"-1,022,461.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TAMESIDE MBC,5000151488,"-536,467.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TEIGNBRIDGE DC,5000151501,"-265,408.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TELFORD & WREKIN DC,5000151504,"-626,502.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TENDRING DC,5000151507,"-238,263.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,THANET DC,5000151519,"-290,862.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,THURROCK  BOROUGH COUNCIL,5000151523,"-946,837.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TORBAY BC,5000151531,"-322,378.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TORRIDGE DC,5000151532,"-89,594.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TOWER HAMLETS LB,5000151535,"-2,607,019.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TOWER HAMLETS LB,5000151538,"-157,580.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TRAFFORD MBC,5000151539,"-1,367,481.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,TRAFFORD MBC,5000151542,"-40,482.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WALSALL MBC,5000151558,"-636,103.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WALTHAM FOREST LB,5000151560,"-492,855.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WANDSWORTH LB,5000151565,"-866,891.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WARRINGTON BC,5000151568,"-979,695.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WAVENEY DISTRICT COUNCIL,5000151579,"-241,871.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WEST DEVON BC,5000151599,"-92,526.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WEST LANCASHIRE BC,5000151604,"-283,794.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WEST LINDSEY DC,5000151607,"-148,604.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WEST SOMERSET DC,5000151619,"2,239,040.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WEST SOMERSET DC,5000151622,"-1,798,238.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WEST SOMERSET DC,5000151623,"1,923,249.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WEYMOUTH & PORTLAND BC,5000151637,"-142,840.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WEYMOUTH & PORTLAND BC,5000151638,"-4,514.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WIGAN MBC,5000151641,"-740,427.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WILTSHIRE COUNCIL,5000151715,"-1,236,957.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WINCHESTER CITY CNCL,5000151646,"811,632.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WINCHESTER CITY CNCL,5000151649,"-2,229,917.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WINCHESTER CITY CNCL,5000151650,"2,384,938.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WINCHESTER CITY CNCL,5000151651,"-9,333.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WIRRAL MBC,5000151655,"-634,681.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WOLVERHAMPTON MBC,5000151662,"-692,887.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,WYRE BC,5000151684,"-210,886.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,YORK CITY CNCL,5000150668,"-811,899.00",Yes
Communities & Local Government,DCLG,03/02/2011,NNDR Billing Authorities Receipts,Treasury,YORK CITY CNCL,5000150670,"-22,092.00",Yes
Communities & Local Government,DCLG,03/02/2011,Office Machinery (<£5000),Finance & Corporate Services,DANWOOD GROUP LTD,5106156181,536.71,
Communities & Local Government,DCLG,03/02/2011,Office Machinery (<£5000),Finance & Corporate Services,DANWOOD GROUP LTD,5106156340,554.5,
Communities & Local Government,DCLG,03/02/2011,Post,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,5106156001,"6,284.00",
Communities & Local Government,DCLG,03/02/2011,Post,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,5106156020,"1,723.50",
Communities & Local Government,DCLG,03/02/2011,Post,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106156182,"6,870.07",
Communities & Local Government,DCLG,03/02/2011,Post,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106156190,"25,717.54",
Communities & Local Government,DCLG,03/02/2011,Professional services,Neighbourhoods,VALUATION OFFICE AGENCY,5106156093,"14,584.00",
Communities & Local Government,DCLG,03/02/2011,Publishing,Neighbourhoods,TEMPO GRAPHIC DESIGN LTD,5106156259,554,
Communities & Local Government,DCLG,03/02/2011,Recruitment,Neighbourhoods,CAPITA RESOURCING LTD,5106156224,"1,044.00",
Communities & Local Government,DCLG,03/02/2011,Recruitment,Neighbourhoods,CAPITA RESOURCING LTD,5106156230,"1,318.37",
Communities & Local Government,DCLG,03/02/2011,Research,Neighbourhoods,ELEMENT ENERGY LTD,5106156287,"9,253.13",
Communities & Local Government,DCLG,03/02/2011,Research,Neighbourhoods,ELEMENT ENERGY LTD,5106156290,"40,096.88",
Communities & Local Government,DCLG,03/02/2011,Research,Neighbourhoods,KING STURGE LLP,5106156295,"1,468.75",
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ADUR DC,5000150464,"106,741.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ALLERDALE BOROUGH COUNCIL,5000150466,"259,530.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,AMBER VALLEY BC,5000150469,"225,468.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ARUN DC,5000150472,"218,885.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ASHFIELD DC,5000150476,"279,996.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,AVON & SOMERSET POLICE AUTHORITY,5000150481,"1,444,004.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,AVON FIRE AUTHORITY,5000150482,"567,819.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BARKING & DAGENHAM LB,5000150490,"2,508,812.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BARNET LBC,5000150494,"1,588,603.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BARNSLEY MBC,5000150497,"2,508,125.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BARROW BC,5000150501,"221,731.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BASSETLAW DC,5000150510,"276,101.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BATH & NORTH EAST SOMERSET DC,5000150513,"513,778.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BEDFORD BOROUGH COUNCIL,5000151718,"788,848.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BEDFORDSHIRE POLICE AUTH,5000150516,"694,753.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,5000150514,"220,161.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BEXLEY LB,5000150523,"1,268,299.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BIRMINGHAM CITY CNCL,5000150525,"16,549,339.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BLABY DC,5000150529,"136,453.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BLACKBURN WITH DARWEN BC,5000150534,"1,863,152.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BLACKPOOL BC,5000150536,"1,866,892.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BOLSOVER DC,5000150540,"180,920.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BOLTON MBC,5000150544,"2,912,060.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BOSTON BC,5000150548,"177,243.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BOURNEMOUTH DC,5000150549,"1,063,986.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BRACKNELL FOREST DC,5000150554,"438,748.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BRADFORD MBC,5000150557,"6,638,272.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BRECKLAND DC,5000150563,"276,037.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BRENT LB,5000150567,"4,014,918.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BRIGHTON & HOVE CITY COUNCIL,5000150571,"2,318,919.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BRISTOL CITY CNCL,5000150576,"3,544,735.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BROADLAND DC,5000150577,"193,471.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BROMLEY LB,5000150581,"949,975.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BROXTOWE BC,5000150591,"202,264.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BUCKS & MILTON KEYNES FIRE AUTH,5000150594,"221,433.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BURNLEY BC,5000150598,"290,090.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,BURY MBC,5000150602,"1,404,692.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CALDERDALE MBC,5000150605,"1,731,139.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CAMBRIDGESHIRE COUNTY CNCL,5000150614,"1,619,370.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CAMBRIDGESHIRE POLICE AUT,5000150612,"645,859.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,5000150610,"306,758.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CAMDEN LONDON BOROUGH,5000150617,"4,082,411.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CASTLE POINT BC,5000150628,"141,243.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CENTRAL BEDFORDSHIRE COUNCIL,5000151690,"739,496.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CHARNWOOD BC,5000150631,"285,607.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CHESHIRE EAST COUNCIL,5000151694,"1,348,371.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CHESHIRE FIRE AUTHORITY,5000150645,"360,066.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CHESHIRE POLICE AUTHORITY,5000150647,"1,289,660.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CHESHIRE WEST AND CHESTER,5000151697,"2,133,593.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CHESTERFIELD BC,5000150648,"247,740.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CHORLEY DC,5000150660,"193,698.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CITY OF WAKEFIELD MDC,5000151555,"3,223,427.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CLEVELAND FIRE AUTHORITY,5000150672,"546,303.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CLEVELAND POLICE AUTHORITY,5000150674,"1,219,275.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CO DURHAM & DARLINGTON FIRE SERVICE,5000150752,"308,580.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CORNWALL COUNCIL,5000151702,"4,131,264.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,COVENTRY CITY CNCL,5000150688,"3,492,585.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CROYDON LB,5000150697,"2,517,514.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CUMBRIA COUNTY CNCL,5000150701,"2,427,779.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,CUMBRIA POLICE AUTHORITY,5000150702,"832,458.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DARLINGTON BC,5000150708,"824,720.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DERBY CITY CNCL,5000150719,"2,502,573.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DERBYSHIRE COUNTYCOUNCIL,5000150725,"2,699,799.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DERBYSHIRE FIRE AUTHORITY,5000150722,"417,850.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DERBYSHIRE POLICE AUTHORITY,5000150723,"1,042,717.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DEVON & CORNWALL POLICE A,5000150731,"1,696,847.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,5000150736,"604,175.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DEVON COUNTY CNCL,5000150733,"1,991,967.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DONCASTER MBC,5000150738,"3,268,735.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DORSET FIRE AUTHORITY,5000150743,"212,726.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DORSET POLICE AUTHORITY,5000150744,"366,854.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DOVER DC,5000150746,"249,321.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DUDLEY MBC,5000150750,"2,866,118.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DURHAM COUNTY COUNCIL,5000151705,"4,913,340.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,DURHAM POLICE AUTHORITY,5000150754,"1,160,258.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EALING LB,5000150756,"3,296,739.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EAST CAMBRIDGESHIRE DC,5000150760,"154,173.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EAST LINDSEY DC,5000150774,"440,693.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EAST NORTHAMPTONSHIRE COUNCIL,5000150778,"152,021.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EAST RIDING OF YORKS,5000150782,"1,702,481.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EAST SUSSEX COUNTY CNCL,5000150789,"793,420.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EAST SUSSEX FIRE AUTHORITY,5000150791,"246,513.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EASTBOURNE BC,5000150792,"237,822.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ENFIELD LB,5000150804,"2,589,408.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,EREWASH BC,5000150815,"236,416.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ESSEX COUNTY CNCL,5000150817,"2,346,109.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ESSEX FIRE AUTHORITY,5000150819,"625,943.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ESSEX POLICE AUTHORITY,5000150820,"1,516,483.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,FENLAND DC,5000150829,"219,604.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,FOREST HEATH DISTRICT COUNCIL,5000150831,"136,566.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,FOREST OF DEAN DC,5000150837,"156,272.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,FYLDE BC,5000150842,"133,714.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GATESHEAD MBC,5000150843,"2,415,046.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GEDLING BC,5000150846,"225,861.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GLOUCESTERSHIRE COUNTY CNCL,5000150854,"1,445,889.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GLOUCESTERSHIRE POLICE AUTHORITY,5000150857,"421,057.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GOSPORT BOROUGH COUNCIL,5000150858,"166,530.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GRAVESHAM BC,5000150861,"205,987.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GREAT YARMOUTH BC,5000150866,"263,180.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GREATER LONDON AUTHORITY,5000150850,"20,837,462.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GREATER LONDON AUTHORITY-FIRE,5000151688,"5,924,393.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GREATER MANCHESTER FIRE,5000151078,"1,838,802.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GREATER MANCHESTER POL AUTH,5000151079,"5,542,817.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,GREENWICH LB,5000150867,"4,070,928.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HALTON BC,5000150879,"1,459,986.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HAMMERSMITH & FULHAM LB,5000150885,"2,951,527.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,5000150888,"565,910.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HAMPSHIRE POLICE AUTHORITY,5000150890,"1,862,435.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HARINGEY LB,5000150896,"3,300,844.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HARROW LB,5000150905,"1,138,472.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HARTLEPOOL BOROUGH COUNCIL,5000150911,"1,175,917.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HASTINGS BC,5000150915,"254,744.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HAVANT BC,5000150917,"225,917.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HAVERING LB,5000150922,"806,569.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HEREFORD WORCESTER FIRE BRIGADE,5000150925,"179,232.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HEREFORDSHIRE DISTRICT COUNCIL,5000150929,"967,445.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HERTFORDSHIRE CONTY CNCL,5000150933,"669,356.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HERTFORDSHIRE POLICE AUTH,5000150931,"917,052.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HIGH PEAK BC,5000150939,"163,119.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HOUNSLOW LB,5000150950,"1,942,242.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HULL CITY COUNCIL,5000150999,"3,709,203.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,5000150954,"620,213.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HUMBERSIDE POLICE,5000150956,"1,409,882.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,HYNDBURN BC,5000150962,"248,275.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ISLE OF WIGHT CNCL,5000150966,"1,187,201.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ISLES OF SCILLY COUNCIL,5000150971,"55,676.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,ISLINGTON LB,5000150975,"3,911,298.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,5000150987,"572,283.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,KENT COUNTY CNCL,5000150986,"3,408,592.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,KENT POLICE AUTHORITY,5000150990,"1,724,002.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,KETTERING BC,5000150992,"166,122.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,KINGS LYNN & WEST NORFOLK BC,5000150998,"375,671.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,KINGSTON UPON THAMES,5000151002,"459,925.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,KIRKLEES MBC,5000151009,"3,337,023.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,KNOWSLEY MBC,5000151010,"2,891,788.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,5000151019,"744,226.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LANCASHIRE COUNTY CNCL,5000151016,"5,075,526.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LANCASHIRE POLICE AUTHORITY,5000151020,"2,364,492.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LANCASTER CITY CNCL,5000151022,"399,744.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LEEDS CITY CNCL,5000151029,"6,925,645.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LEICESTER CITY CNCL,5000151031,"4,451,371.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LEICESTERSHIRE COUNTY CNCL,5000151038,"797,767.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LEICESTERSHIRE POLICE AUTHORITY,5000151035,"1,218,454.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,5000151034,"429,989.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LEWISHAM LB,5000151044,"4,398,851.00",Yes
Communities & Local Government,DCLG,03/02/2011,Revenue Support grant payable,Localism,LINCOLNSHIRE COUNTY CNCL,5000151055,"3,713,954.00",Yes
