Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,Transaction number,Amount in Sterling,Grant?,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Localism,VODAFONE UK,,2100203471,166.55,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Localism,VODAFONE UK,,2100203471,309.02,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Localism,VODAFONE UK,,2100203471,69.04,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Localism,VODAFONE UK,,2100203471,57.41,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Localism,VODAFONE UK,,2100203471,551.86,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Localism,VODAFONE UK,,2100203471,109.62,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Neighbourhoods,VODAFONE UK,,2100203471,55.16,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Neighbourhoods,VODAFONE UK,,2100203471,26.52,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Neighbourhoods,VODAFONE UK,,2100203471,101.88,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Neighbourhoods,VODAFONE UK,,2100203471,54.31,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Neighbourhoods,VODAFONE UK,,2100203471,54.74,,
Communities & Local Government,DCLG,09/05/2011,Cmmunication Telecom Costs,Strategic Performance Team,VODAFONE UK,,2100203471,335.78,,
Communities & Local Government,DCLG,09/05/2011,Grant in Aid to NDPBs (non budget),Localism,COMMISSION LOCAL ADMINISTRATION,,2100203468,"1,050,326.00",Yes,
Communities & Local Government,DCLG,09/05/2011,IT - Service Contracts,Finance & Corporate Services,SPEECH CENTRE,,5106155455,"1,320.00",,
Communities & Local Government,DCLG,09/05/2011,Legal Fees,Finance & Corporate Services,MR SAUL MARGO,,5106162596,"1,404.00",,
Communities & Local Government,DCLG,09/05/2011,Licence Fees/Levies,Finance & Corporate Services,COPYRIGHT LICENSING AGENCY LTD,,5106162594,"50,349.60",,
Communities & Local Government,DCLG,09/05/2011,Licence Fees/Levies,Finance & Corporate Services,ORDNANCE SURVEY,,2100203443,"1,400,000.00",,
Communities & Local Government,DCLG,09/05/2011,Office Machinery (<£5000),Finance & Corporate Services,ADVANCED BUSINESS EQUIPMENT LTD,,5106162586,552.00,,
Communities & Local Government,DCLG,09/05/2011,Office machinery consumables,Strategic Performance Team,COMPUTACENTER (UK) LTD,,5106162524,524.63,,
Communities & Local Government,DCLG,09/05/2011,Office machinery consumables,Strategic Performance Team,COMPUTACENTER (UK) LTD,,5106162524,137.78,,
Communities & Local Government,DCLG,09/05/2011,Office machinery consumables,Strategic Performance Team,COMPUTACENTER (UK) LTD,,5106162524,197.76,,
Communities & Local Government,DCLG,09/05/2011,Publications,Neighbourhoods,LEXIS-NEXIS UK,,5106162576,845.00,,
Communities & Local Government,DCLG,09/05/2011,Services provided by other Govt Orgs,Finance & Corporate Services,DEFENCE VETTING AGENCY,,5106162456,515.10,Yes,
Communities & Local Government,DCLG,09/05/2011,Services provided by other Govt Orgs,Finance & Corporate Services,DEFENCE VETTING AGENCY,,5106162606,"2,139.72",Yes,
Communities & Local Government,DCLG,09/05/2011,Steady State Service Provision,Finance & Corporate Services,AR DWP SHARED SERVICES,,5106162578,"8,153.88",,
Communities & Local Government,DCLG,09/05/2011,Steady State Service Provision,Finance & Corporate Services,AR DWP SHARED SERVICES,,5106162600,"33,115.32",,
Communities & Local Government,DCLG,09/05/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100203467,"3,079.27",,
Communities & Local Government,DCLG,09/05/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100203466,774.78,,
Communities & Local Government,DCLG,09/05/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100203466,910.89,,
Communities & Local Government,DCLG,09/05/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100203466,613.55,,
Communities & Local Government,DCLG,09/05/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100203466,814.68,,
Communities & Local Government,DCLG,09/05/2011,Water,Finance & Corporate Services,THAMES WATER UTILITIES,,5106162547,"5,924.00",,
Communities & Local Government,DCLG,09/05/2011,Water,Finance & Corporate Services,THAMES WATER UTILITIES,,5106162561,"2,379.16",,
Communities & Local Government,DCLG,09/05/2011,Web Services,Treasury,WTG TECHNOLOGIES LTD,,5106162534,"1,785.00",,
Communities & Local Government,DCLG,10/05/2011,Capl paymt betwn central governt bodies,Neighbourhoods,BUSINESS INNOVATION & SKILLS,,2100203509,"67,000,000.00",Yes,
Communities & Local Government,DCLG,10/05/2011,Conferences and Meeting Facilities,Neighbourhoods,WHITEHALL & INDUSTRY GROUP,,5106162616,"1,220.00",,
Communities & Local Government,DCLG,10/05/2011,Domestic Services,Finance & Corporate Services,MITIE SECURITY LTD,,5106162379,"1,094.38",,
Communities & Local Government,DCLG,10/05/2011,Fixed Maintenance,Localism,BABCOCK CRITICAL SERVICES LTD,,5106162105,"515,631.52",,
Communities & Local Government,DCLG,10/05/2011,Grant in Aid Resource DEL RAB A,Neighbourhoods,BUSINESS INNOVATION & SKILLS,,2100203509,"79,350,000.00",Yes,
Communities & Local Government,DCLG,10/05/2011,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,5106162645,"7,365.60",,
Communities & Local Government,DCLG,10/05/2011,IT - Software Maintenance,Finance & Corporate Services,TRUSTMARQUE SOLUTIONS LTD,,5106162658,"2,492.45",,
Communities & Local Government,DCLG,10/05/2011,IT - Software Maintenance,Finance & Corporate Services,TRUSTMARQUE SOLUTIONS LTD,,5106162658,"12,959.42",,
Communities & Local Government,DCLG,10/05/2011,IT Maintenance,Finance & Corporate Services,DOTTED EYES LTD,,5106162615,600.00,,
Communities & Local Government,DCLG,10/05/2011,IT Maintenance,Treasury,LA INT COMPUTER CONSULTANTS LTD,,5106162644,"8,790.80",,
Communities & Local Government,DCLG,10/05/2011,Legal Fees,Finance & Corporate Services,NATALIE LIEVEN,,5106162542,648.00,,
Communities & Local Government,DCLG,10/05/2011,Management Consultancy,Neighbourhoods,CEL GROUP,,5106162437,"96,265.72",,
Communities & Local Government,DCLG,10/05/2011,Publishing,Finance & Corporate Services,TUDORSEED LIMITED,,5106162611,"1,375.00",,
Communities & Local Government,DCLG,10/05/2011,Research,Finance & Corporate Services,STERIA LIMITED,,5106162609,"8,423.20",,
Communities & Local Government,DCLG,10/05/2011,Research,Finance & Corporate Services,STERIA LIMITED,,5106162609,"4,313.07",,
Communities & Local Government,DCLG,10/05/2011,Research,Finance & Corporate Services,STERIA LIMITED,,5106162609,"18,355.41",,
Communities & Local Government,DCLG,10/05/2011,Security,Finance & Corporate Services,MITIE SECURITY LTD,,5106162377,"4,246.40",,
Communities & Local Government,DCLG,10/05/2011,Steady State Service Provision,Finance & Corporate Services,PENNA PLC,,5106162569,"42,336.00",,
Communities & Local Government,DCLG,10/05/2011,Steady State Service Provision,Finance & Corporate Services,STERIA LIMITED,,5106162646,"2,946.24",,
Communities & Local Government,DCLG,10/05/2011,Steady State Service Provision,Finance & Corporate Services,STERIA LIMITED,,5106162647,"10,502.80",,
Communities & Local Government,DCLG,10/05/2011,Steady State Service Provision,Finance & Corporate Services,STERIA LIMITED,,5106162662,"-10,311.84",,
Communities & Local Government,DCLG,10/05/2011,Steady State Service Provision,Finance & Corporate Services,STERIA LIMITED,,5106162663,"-11,160.00",,
Communities & Local Government,DCLG,10/05/2011,Storage,Finance & Corporate Services,CAMBERTOWN LTD,,5106161400,"7,910.26",,
Communities & Local Government,DCLG,10/05/2011,Telephone call costs,Treasury,DCLG GOVERNMENT PROCUREMENT CARD,,1000003178,597.91,,
Communities & Local Government,DCLG,10/05/2011,Training,Finance & Corporate Services,BPP PROFESSIONAL EDUCATION LTD,,5106162608,"1,219.46",,
Communities & Local Government,DCLG,10/05/2011,Training,Localism,DCLG GOVERNMENT PROCUREMENT CARD,,1000003180,549.60,,
Communities & Local Government,DCLG,10/05/2011,Training,Neighbourhoods,SOCIA LTD,,5106162526,900.00,,
Communities & Local Government,DCLG,10/05/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100203511,631.80,,
Communities & Local Government,DCLG,10/05/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100203511,618.91,,
Communities & Local Government,DCLG,10/05/2011,Travel and Subsistence Account,Finance & Corporate Services,REDFERN TRAVEL LIMITED,,2100203511,790.18,,
Communities & Local Government,DCLG,10/05/2011,Travel and Subsistence Account,Localism,HEATHROW TRAVEL-CARE,Yes,5106162623,"5,359.89",,
Communities & Local Government,DCLG,10/05/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100203511,555.35,,
Communities & Local Government,DCLG,10/05/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100203511,"1,014.13",,
Communities & Local Government,DCLG,10/05/2011,Travel and Subsistence Account,Localism,REDFERN TRAVEL LIMITED,,2100203511,685.55,,
Communities & Local Government,DCLG,10/05/2011,Travel and Subsistence Account,Neighbourhoods,REDFERN TRAVEL LIMITED,,2100203511,"1,667.73",,
Communities & Local Government,DCLG,11/05/2011,Agency Staff,Finance & Corporate Services,CAPITA RESOURCING LTD,,5106162677,"6,064.09",,
Communities & Local Government,DCLG,11/05/2011,Agency Staff,Localism,REED SPECIALIST RECRUITMENT LTD,,5106162692,"1,451.16",,
Communities & Local Government,DCLG,11/05/2011,Agency Staff,Localism,REED SPECIALIST RECRUITMENT LTD,,5106162695,"1,088.38",,
Communities & Local Government,DCLG,11/05/2011,Agency Staff,Localism,REED SPECIALIST RECRUITMENT LTD,,5106162726,"1,813.96",,
Communities & Local Government,DCLG,11/05/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106162676,"2,328.26",,
Communities & Local Government,DCLG,11/05/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106162676,59.04,,
Communities & Local Government,DCLG,11/05/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,,5106162678,939.60,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,106.53,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,188.58,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,0.05,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,113.80,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,199.12,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,53.11,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,69.51,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,88.36,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,117.71,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,29.57,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.94,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,304.98,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,20.95,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,35.73,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,81.30,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,0.10,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,18.40,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,94.30,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.45,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,0.08,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,22.93,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,23.32,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,0.29,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,24.04,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,123.25,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,35.88,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,52.16,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,35.02,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,121.35,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,19.31,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,26.85,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,611.07,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,91.56,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),,2100203544,0.97,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,45.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,26.00,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.94,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,27.13,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,18.62,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,113.43,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,39.74,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,27.17,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,27.09,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,43.42,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,111.29,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,1.52,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,70.88,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.38,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,1.04,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,47.39,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,165.13,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,37.61,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,93.70,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,91.53,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,97.78,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,10.61,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,181.50,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,1.44,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,3.66,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,20.07,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,48.86,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,89.45,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),,2100203544,93.26,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.36,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,0.56,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,443.16,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,58.05,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,76.82,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,43.16,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,38.03,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,11.73,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,122.41,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,40.48,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,9.23,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,93.64,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,82.36,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,28.52,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,9.61,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,24.05,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,35.00,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,19.43,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,1.60,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,42.91,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.45,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,0.57,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.38,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),,2100203544,71.18,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),,2100203544,17.34,,
Communities & Local Government,DCLG,11/05/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),,2100203544,30.06,,
Communities & Local Government,DCLG,11/05/2011,Courier Services,Treasury,PITNEY BOWES PURCHASE POWER,,5106162736,"1,515.00",,
Communities & Local Government,DCLG,11/05/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,TENANT SERVICES AUTHORIT Y,,2100203529,"1,000,000.00",Yes,
Communities & Local Government,DCLG,11/05/2011,IT - Software Maintenance,Finance & Corporate Services,ORACLE CORPORATION UK LTD,,5106162688,"2,279.70",,
Communities & Local Government,DCLG,11/05/2011,IT - Software Maintenance,Localism,ESI ACQUISITION INC,,5106162735,"5,461.20",,
Communities & Local Government,DCLG,11/05/2011,IT Maintenance,Neighbourhoods,STERIA LIMITED,,5106162648,960.04,,
Communities & Local Government,DCLG,11/05/2011,Legal Fees,Finance & Corporate Services,TREASURY SOLICITORS DEPT,,5106162762,"51,084.12",,
Communities & Local Government,DCLG,11/05/2011,Legal Fees,Finance & Corporate Services,TREASURY SOLICITORS DEPT,,5106162762,749.65,,
Communities & Local Government,DCLG,11/05/2011,Legal Fees,Finance & Corporate Services,TREASURY SOLICITORS DEPT,,5106162762,7.00,,
Communities & Local Government,DCLG,11/05/2011,Medals,Localism,ROYAL MINT,,5106162720,"1,425.60",,
Communities & Local Government,DCLG,11/05/2011,NNDR Billing Authorities Receipts,Treasury,OFFICE OF THE PAYMASTER GENERAL (NN,,2100203532,"1,420,096,898.00",Yes,
Communities & Local Government,DCLG,11/05/2011,NNDR Central List Receipts,Treasury,OFFICE OF THE PAYMASTER GENERAL (NN,,2100203532,"123,226,395.00",Yes,
Communities & Local Government,DCLG,11/05/2011,Office Machinery (<£5000),Finance & Corporate Services,DANWOOD GROUP LTD,,5106162584,461.60,,
Communities & Local Government,DCLG,11/05/2011,Printing,Treasury,OCE FINANCE,,5106162722,"1,049.50",,
Communities & Local Government,DCLG,11/05/2011,Printing,Treasury,OCE FINANCE,,5106162725,"1,310.39",,
Communities & Local Government,DCLG,11/05/2011,Printing,Treasury,OCE FINANCE,,5106162728,"1,310.69",,
Communities & Local Government,DCLG,11/05/2011,Research,Localism,MARKET & OPINION RESEARCH INT LTD,,5106162686,"509,343.30",,
Communities & Local Government,DCLG,11/05/2011,Software Licences,Localism,SYMANTEC LTD,,5106162679,"1,990.00",,
Communities & Local Government,DCLG,11/05/2011,Storage,Neighbourhoods,IRON MOUNTAIN (UK) LIMITED,,5106162711,"1,108.91",,
