Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,22/08/2011,Medical treatment & stores and welfare services,Central TLB,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,GU16 7UJ,834487,960118.67
Ministry of Defence,Ministry of Defence,03/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,827134,956492.2
Ministry of Defence,Ministry of Defence,01/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,826600,952253.41
Ministry of Defence,Ministry of Defence,03/08/2011,Grants to NDPBs,Navy Command,SEA CADET CORPS,SE1 7JF,827525,940998
Ministry of Defence,Ministry of Defence,18/08/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,833423,931307.4
Ministry of Defence,Defence Science and Technology Laboratory,05/08/2011,IS Support Service,Infrastructure,STERIA LIMITED,,V - 9000134961 - 00114677,922072.26
Ministry of Defence,Ministry of Defence,09/08/2011,Grants to NDPBs,Land Forces,ROYAL HOSPITAL,SW3 4SR,829790,916750
Ministry of Defence,Ministry of Defence,04/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,827749,908354.6
Ministry of Defence,Ministry of Defence,05/08/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,828701,893346.11
Ministry of Defence,Ministry of Defence,22/08/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,834614,833495.99
Ministry of Defence,Defence Science and Technology Laboratory,26/08/2011,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000135576 - 00116661,822844.79
Ministry of Defence,Ministry of Defence,24/08/2011,General services and support,Land Forces,FBS LIMITED,RG24 8AG,835636,810662.45
Ministry of Defence,Ministry of Defence,31/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,838182,802436.11
Ministry of Defence,Ministry of Defence,03/08/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,827397,799505.4
Ministry of Defence,Ministry of Defence,09/08/2011,Purchase of information and communications technology,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,2000012401,783320.86
Ministry of Defence,Ministry of Defence,02/08/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,827011,780395.76
Ministry of Defence,Ministry of Defence,31/08/2011,IT and communication services,Defence Equipment & Support,CAPGEMINI UK PLC,GU21 6DB,837885,765811.94
Ministry of Defence,Ministry of Defence,17/08/2011,"Purchase of munitions, other inventory or fuel",Air Command,BP INTERNATIONAL LIMITED,HP2 4UL,2000012488,761270.32
Ministry of Defence,Ministry of Defence,19/08/2011,Rental of plant and machinery,Defence Equipment & Support,BARLOWORLD HANDLING LTD,WA3 3JD,833777,758945.29
Ministry of Defence,Ministry of Defence,01/08/2011,Medical treatment & stores and welfare services,Land Forces,SSAFA GSTT CARE LLP,SE1 2LP,826598,755917.69
Ministry of Defence,Ministry of Defence,19/08/2011,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,833857,753861.74
Ministry of Defence,Ministry of Defence,16/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,H M REVENUE & CUSTOMS,M50 3XN,832252,752828.07
Ministry of Defence,Ministry of Defence,30/08/2011,Design services and minor equipment purchases,Air Command,T.G. POWER LTD,G51 3EQ,837725,748765.28
Ministry of Defence,Defence Science and Technology Laboratory,05/08/2011,Repairs & Maintenance,Infrastructure,SERCO LIMITED,,V - 9000134990 - 00114604,740209.53
Ministry of Defence,Ministry of Defence,19/08/2011,Property leases,Defence Infrastructure Organisation ,TRICOMM HOUSING LIMITED,EH3 7HL,834238,736237.27
Ministry of Defence,Ministry of Defence,22/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,834614,735170.21
Ministry of Defence,Ministry of Defence,01/08/2011,Fees for professional services,Defence Equipment & Support,LOCKHEED MARTIN UK LIMITED,GU14 6TQ,2000012328,731408.13
