Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,14/05/2010,Property leases,Defence Estates,VEOLIA WATER NEVIS LIMITED,634690,1128033.82
Ministry of Defence,Ministry of Defence,14/05/2010,Property leases,Land Forces,VEOLIA WATER PROJECTS LTD,634691,61825.14
Ministry of Defence,United Kingdom Hydrographic Office,19/05/2010,Computer maint&hire,Information Management & Technology,Vialtus Solutuions,5100077793,25662.50
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Land Forces,VIGIL SECURITY MANAGEMENT  LIMITED,634692,23270.28
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Air Command,VINCI CONSTRUCTION UK LTD,634694,335.23
Ministry of Defence,Ministry of Defence,20/05/2010,Estate management,Air Command,VINCI CONSTRUCTION UK LTD,637510,107765.17
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Central TLB,VIRGIN ATLANTIC AIRWAYS LIMITED,640385,4331.00
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Air Command,VIRGIN ATLANTIC AIRWAYS LIMITED,640385,867.00
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Navy Command,VIRGIN ATLANTIC AIRWAYS LIMITED,640385,957.00
Ministry of Defence,Ministry of Defence,26/05/2010,"Transporation of personnel, freight and travel expenses",Central TLB,VIRGIN ATLANTIC AIRWAYS LIMITED,641179,3742.00
Ministry of Defence,Ministry of Defence,26/05/2010,"Transporation of personnel, freight and travel expenses",Air Command,VIRGIN ATLANTIC AIRWAYS LIMITED,641179,593.00
Ministry of Defence,Ministry of Defence,26/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,VIRGIN ATLANTIC AIRWAYS LIMITED,641179,319.00
Ministry of Defence,Ministry of Defence,26/05/2010,"Transporation of personnel, freight and travel expenses",Navy Command,VIRGIN ATLANTIC AIRWAYS LIMITED,641179,274.00
Ministry of Defence,Defence Science and Technology Laboratory,28/05/2010,Sub Contracted Work,Operations,VISUAL AUTOMATION LIMITED,V - 9000123267 - 00078563,23908.00
Ministry of Defence,Defence Science and Technology Laboratory,14/05/2010,Communications,Infrastructure,VODAFONE CORPORATE LIMITED,V - 9000122790 - 00080058,34033.54
Ministry of Defence,Ministry of Defence,13/05/2010,Design services and minor equipment purchases,Air Command,VT AEROSPACE LIMITED,633910,209520.92
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Air Command,VT AEROSPACE LIMITED,634696,1523011.00
Ministry of Defence,Ministry of Defence,18/05/2010,Externally delivered education and training.,Navy Command,VT FLAGSHIP LTD,636124,216594.00
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Navy Command,VT FLAGSHIP LTD,636124,828.00
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Navy Command,VT FLAGSHIP LTD,636860,94058.10
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Air Command,VT FLAGSHIP LTD,640388,676955.78
Ministry of Defence,Ministry of Defence,25/05/2010,Miscellaneous Administration Costs,Navy Command,VT FLAGSHIP LTD,640388,7103276.33
Ministry of Defence,Ministry of Defence,25/05/2010,Design services and minor equipment purchases,Air Command,VT FLAGSHIP LTD,640388,377997.37
Ministry of Defence,Ministry of Defence,12/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,8422.07
Ministry of Defence,Ministry of Defence,12/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,5339.25
Ministry of Defence,Ministry of Defence,12/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,32213.62
Ministry of Defence,Ministry of Defence,12/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,3001.95
Ministry of Defence,Ministry of Defence,12/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,1220.47
Ministry of Defence,Ministry of Defence,12/05/2010,Design services and minor equipment purchases,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,2496.49
Ministry of Defence,Ministry of Defence,12/05/2010,Design services and minor equipment purchases,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,633178,17010.52
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,6408.26
Ministry of Defence,Ministry of Defence,14/05/2010,Transport hire charges,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,7380.10
