"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OF4","67032","77617","RG","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OF4","67032","77617","RN","5","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OF5","81310","89408","Army","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR1-3","17265","28940","Army","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR1-3","17265","28940","RAF","17","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR1-3","17265","28940","RG","131","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR1-3","17265","28940","RM","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR1-3","17265","28940","RN","21","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR4","26405","33182","Army","5","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR4","26405","33182","RAF","31","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR4","26405","33182","RG","37","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR4","26405","33182","RN","35","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR5-6","30013","36929","Army","6","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR5-6","30013","36929","RAF","12","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR5-6","30013","36929","RG","22","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR5-6","30013","36929","RM","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR5-6","30013","36929","RN","13","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR7-8","33223","43252","Army","7","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR7-8","33223","43252","RAF","6","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR7-8","33223","43252","RG","18","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR7-8","33223","43252","RN","12","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR9","38600","46753","Army","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR9","38600","46753","RAF","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR9","38600","46753","RG","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1119832","OR9","38600","46753","RN","3","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","B2","47942","59535","Senior Policy Adviser","1","Policy"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","C1","35648","44268","SHEF","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","C1","35648","44268","Policy Adviser","1","Policy"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","C2","29258","36333","Business Manager","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","C2","29258","36333","Commercial","1","Procurement"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","C2","29258","36333","SHEF","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","C2","29258","36333","Finance Officer","1","Finance"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","C2","29258","36333","Port Operations","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","D","23427","29092","Business Manager","1","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","D","23427","29092","Finance Officer","1","Finance"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","D","23427","29092","Internal Auditor","1","Internal Audit"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","D","23427","29092","Knowledge Information Management Manager","1","Information Technology"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","E1","18370","22124","Finance Support Officer","1","Finance"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","E1","18370","22124","HR Support Officer","1","Human Resources"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","Locally Employed Civilian (LEC)","0","0","Locally Employed Civilians","5","Other"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF1","24615","32703","RAF","13","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF2","37916","45090","Army","15","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF2","37916","45090","RAF","31","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF2","37916","45090","RN","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF3","47760","57200","Army","11","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF3","47760","57200","RAF","22","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF3","47760","57200","RN","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF4","67032","77617","Army","2","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF4","67032","77617","RAF","4","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF4","67032","77617","RN","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OF5","81310","89408","RAF","1","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR1-3","17265","28940","Army","100","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR1-3","17265","28940","RAF","272","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR1-3","17265","28940","RN","15","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR4","26405","33182","Army","70","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR4","26405","33182","RAF","167","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR4","26405","33182","RN","21","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR5-6","30013","36929","Army","42","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR5-6","30013","36929","RAF","95","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR5-6","30013","36929","RN","7","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR7-8","33223","43252","Army","19","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR7-8","33223","43252","RAF","28","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR7-8","33223","43252","RN","8","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR9","38600","46753","Army","9","Military"
"Ministry of Defence","Ministry of Defence","Permanent Joint Headquarters","1029456","OR9","38600","46753","RAF","14","Military"
