post_date,Publishable Label,trans_amnt,,Publishable label is provided by Bank and is industry standard.  May not however give true indication of purchase- additional comment provided as necessary,,,,
24/10/2011,Airlines,3094.9,,,,,,
24/10/2011,Airlines,1140.8,,,,,,
24/10/2011,Travel Agencies,1541.67,,,,,,
24/10/2011,Airlines,9581.73,,,,,,
24/10/2011,Fast Food Restaurants,964.44,,FCO Internal Catering,,,,
24/10/2011,Electronics Stores,636.07,,,,,,
25/10/2011,Airlines,-1771.72,,,,,,
25/10/2011,Airlines,682.43,,,,,,
25/10/2011,Airlines,818.3,,,,,,
25/10/2011,Airlines,2468.53,,,,,,
25/10/2011,Airlines,1871.73,,,,,,
25/10/2011,Airlines,2468.53,,,,,,
25/10/2011,Airlines,737.32,,,,,,
25/10/2011,Airlines,737.32,,,,,,
25/10/2011,Airlines,737.32,,,,,,
25/10/2011,Airlines,-1194.33,,,,,,
25/10/2011,Airlines,-995.13,,,,,,
25/10/2011,Airlines,616.59,,,,,,
25/10/2011,Airlines,1619.22,,,,,,
25/10/2011,Airlines,882.32,,,,,,
25/10/2011,Airlines,651.1,,,,,,
25/10/2011,Airlines,1707.93,,,,,,
25/10/2011,Airlines,1707.93,,,,,,
25/10/2011,Travel Agencies,925.1,,,,,,
25/10/2011,Travel Agencies,925.1,,,,,,
25/10/2011,Travel Agencies,925.1,,,,,,
25/10/2011,Travel Agencies,3232,,,,,,
25/10/2011,Travel Agencies,3723.6,,,,,,
25/10/2011,Travel Agencies,2410.83,,,,,,
25/10/2011,Travel Agencies,556.73,,,,,,
25/10/2011,Travel Agencies,1312.87,,,,,,
25/10/2011,Travel Agencies,760.73,,,,,,
25/10/2011,Travel Agencies,515.1,,,,,,
25/10/2011,Computer Program/Sys Design,678.81,,,,,,
25/10/2011,Computer Program/Sys Design,576.1,,,,,,
25/10/2011,Computer Program/Sys Design,536.05,,,,,,
25/10/2011,Computer Program/Sys Design,576.1,,,,,,
25/10/2011,Computer Program/Sys Design,570.82,,,,,,
25/10/2011,Combination Catalog & Retail,727.48,,,,,,
25/10/2011,Hotels/Motels/Resorts,600,,,,,,
25/10/2011,Airlines,682.43,,,,,,
25/10/2011,Airlines,682.43,,,,,,
25/10/2011,Hotels/Motels/Resorts,2075.2,,,,,,
25/10/2011,Hotels/Motels/Resorts,552.8,,,,,,
25/10/2011,Travel Agencies,538.79,,,,,,
25/10/2011,Travel Agencies,538.79,,,,,,
25/10/2011,Travel Agencies,-538.79,,,,,,
26/10/2011,Travel Agencies,3226.66,,,,,,
26/10/2011,Airlines,500,,,,,,
26/10/2011,Computer Program/Sys Design,529.62,,,,,,
26/10/2011,Travel Agencies,1286.02,,,,,,
26/10/2011,Airlines,-3975.23,,,,,,
26/10/2011,Airlines,-804.7,,,,,,
26/10/2011,Airlines,1264.63,,,,,,
26/10/2011,Airlines,1264.63,,,,,,
26/10/2011,Airlines,1264.63,,,,,,
26/10/2011,Airlines,1264.63,,,,,,
26/10/2011,Airlines,3219.63,,,,,,
26/10/2011,Airlines,3219.63,,,,,,
26/10/2011,Airlines,2468.03,,,,,,
26/10/2011,Airlines,1717.03,,,,,,
26/10/2011,Airlines,1448.31,,,,,,
26/10/2011,Airlines,903.28,,,,,,
26/10/2011,Travel Agencies,3232,,,,,,
26/10/2011,Travel Agencies,1602.73,,,,,,
26/10/2011,Travel Agencies,519.5,,,,,,
26/10/2011,Travel Agencies,2543.14,,,,,,
26/10/2011,Travel Agencies,659.05,,,,,,
26/10/2011,Travel Agencies,2609.66,,,,,,
26/10/2011,Travel Agencies,-858.9,,,,,,
26/10/2011,Travel Agencies,-1155.3,,,,,,
26/10/2011,Business Services - Default,1098,,,,,,
26/10/2011,Other Direct Marketers,2785.75,,,,,,
26/10/2011,Other Direct Marketers,1830.06,,,,,,
26/10/2011,Other Direct Marketers,1751.86,,,,,,
26/10/2011,Other Direct Marketers,582.07,,,,,,
26/10/2011,Other Direct Marketers,1768.83,,,,,,
26/10/2011,Other Direct Marketers,1400.09,,,,,,
27/10/2011,Artist/Craft Shops,720,,Purchase of images for 1948 London Olympics exhibition. ,,,,
27/10/2011,Member Organizations - Def,2030.4,,,,,,
27/10/2011,Stationery Stores,546.72,,,,,,
27/10/2011,Airlines,2023.63,,,,,,
27/10/2011,Travel Agencies,659.05,,,,,,
27/10/2011,Travel Agencies,778.4,,,,,,
27/10/2011,Travel Agencies,558,,,,,,
27/10/2011,Travel Agencies,2979.22,,,,,,
27/10/2011,Travel Agencies,1691.41,,,,,,
27/10/2011,Travel Agencies,2812.6,,,,,,
27/10/2011,Travel Agencies,3170.57,,,,,,
27/10/2011,Travel Agencies,3170.57,,,,,,
27/10/2011,Travel Agencies,4715.65,,,,,,
27/10/2011,Airlines,1008.43,,,,,,
27/10/2011,Airlines,5064.73,,,,,,
27/10/2011,Airlines,5064.73,,,,,,
27/10/2011,Airlines,5064.73,,,,,,
27/10/2011,Commercial Furniture,1047.06,,,,,,
27/10/2011,Commercial Furniture,1047.06,,,,,,
27/10/2011,Airlines,1134.91,,,,,,
27/10/2011,Airlines,1069.52,,,,,,
27/10/2011,Airlines,-1018.73,,,,,,
27/10/2011,Airlines,1693.03,,,,,,
27/10/2011,Airlines,-1630.1,,,,,,
27/10/2011,Airlines,822.43,,,,,,
27/10/2011,Computer Program/Sys Design,540,,,,,,
27/10/2011,Hotels/Motels/Resorts,1125.24,,,,,,
27/10/2011,Travel Agencies,-1076.63,,,,,,
27/10/2011,Airlines,623.3,,,,,,
27/10/2011,Hotels/Motels/Resorts,1169.8,,,,,,
28/10/2011,Airlines,706.33,,,,,,
28/10/2011,Airlines,706.33,,,,,,
28/10/2011,Automobile Rental Agency,1383.08,,,,,,
28/10/2011,Automobile Rental Agency,1039.48,,,,,,
28/10/2011,Automobile Rental Agency,1604.12,,,,,,
28/10/2011,Computer Program/Sys Design,929.17,,,,,,
28/10/2011,Computer Program/Sys Design,776.62,,,,,,
28/10/2011,Computer Program/Sys Design,924,,,,,,
28/10/2011,Computer Program/Sys Design,562.27,,,,,,
28/10/2011,Combination Catalog & Retail,762,,,,,,
28/10/2011,Hotels/Motels/Resorts,555,,,,,,
28/10/2011,Hotels/Motels/Resorts,2919.04,,,,,,
28/10/2011,Hotels/Motels/Resorts,727.9,,,,,,
28/10/2011,Airlines,2833.83,,,,,,
28/10/2011,Airlines,2582.8,,,,,,
28/10/2011,Airlines,649.6,,,,,,
28/10/2011,Airlines,2582.8,,,,,,
28/10/2011,Airlines,5377.73,,,,,,
28/10/2011,Airlines,3725.73,,,,,,
28/10/2011,Airlines,1719.8,,,,,,
28/10/2011,Airlines,1719.8,,,,,,
28/10/2011,Airlines,-545.63,,,,,,
28/10/2011,Airlines,-4573.13,,,,,,
28/10/2011,Airlines,1134.91,,,,,,
28/10/2011,Airlines,913.61,,,,,,
28/10/2011,Airlines,630.6,,,,,,
28/10/2011,Travel Agencies,1051.39,,,,,,
28/10/2011,Travel Agencies,1056.99,,,,,,
28/10/2011,Airlines,555,,,,,,
28/10/2011,Airlines,1582.13,,,,,,
28/10/2011,Airlines,1691.2,,,,,,
28/10/2011,Airlines,2369.73,,,,,,
28/10/2011,Airlines,1691.2,,,,,,
28/10/2011,Airlines,2369.73,,,,,,
28/10/2011,Airlines,1582.13,,,,,,
28/10/2011,Airlines,1941.03,,,,,,
28/10/2011,Airlines,818.13,,,,,,
28/10/2011,Stationery Stores,703.85,,,,,,
28/10/2011,Airlines,526.99,,,,,,
28/10/2011,Airlines,526.99,,,,,,
28/10/2011,Airlines,722.3,,,,,,
28/10/2011,Household Appliance Stores,1305.66,,,,,,
28/10/2011,Other Direct Marketers,2038.83,,,,,,
28/10/2011,Other Direct Marketers,510.04,,,,,,
28/10/2011,Other Direct Marketers,1328.81,,,,,,
28/10/2011,Other Direct Marketers,530.05,,,,,,
28/10/2011,Other Direct Marketers,501.1,,,,,,
28/10/2011,Other Direct Marketers,648.07,,,,,,
28/10/2011,Other Direct Marketers,1463,,,,,,
28/10/2011,Other Direct Marketers,1066.49,,,,,,
28/10/2011,Other Direct Marketers,508.25,,,,,,
28/10/2011,Other Direct Marketers,558.05,,,,,,
31/10/2011,Member Organizations - Def,516.4,,,,,,
31/10/2011,Airlines,543.43,,,,,,
31/10/2011,Airlines,542.3,,,,,,
31/10/2011,Airlines,1461.72,,,,,,
31/10/2011,Airlines,-555.09,,,,,,
31/10/2011,Airlines,662.89,,,,,,
31/10/2011,Airlines,662.89,,,,,,
31/10/2011,Airlines,1010.33,,,,,,
31/10/2011,Airlines,893.73,,,,,,
31/10/2011,Airlines,-1029.73,,,,,,
31/10/2011,Airlines,-2237.73,,,,,,
31/10/2011,Airlines,609.59,,,,,,
31/10/2011,Airlines,628.6,,,,,,
31/10/2011,Airlines,1445.6,,,,,,
31/10/2011,Airlines,992.43,,,,,,
31/10/2011,Airlines,992.43,,,,,,
31/10/2011,Airlines,6043.33,,,,,,
31/10/2011,Airlines,1409.93,,,,,,
31/10/2011,Airlines,2302.33,,,,,,
31/10/2011,Airlines,552.4,,,,,,
31/10/2011,Airlines,1347.03,,,,,,
31/10/2011,Airlines,1613.03,,,,,,
31/10/2011,Airlines,1335.93,,,,,,
31/10/2011,Airlines,997.43,,,,,,
31/10/2011,Airlines,1707.43,,,,,,
31/10/2011,Hotels/Motels/Resorts,835,,,,,,
31/10/2011,Hotels/Motels/Resorts,600,,,,,,
31/10/2011,Hotels/Motels/Resorts,600,,,,,,
31/10/2011,Hotels/Motels/Resorts,600,,,,,,
31/10/2011,Hotels/Motels/Resorts,600,,,,,,
31/10/2011,Computer Program/Sys Design,650.07,,,,,,
31/10/2011,Computer Program/Sys Design,650.07,,,,,,
31/10/2011,Travel Agencies,-514,,,,,,
31/10/2011,Travel Agencies,-2928.8,,,,,,
31/10/2011,Travel Agencies,-2928.8,,,,,,
31/10/2011,Travel Agencies,-956.83,,,,,,
31/10/2011,Travel Agencies,2959.79,,,,,,
31/10/2011,Travel Agencies,2170.9,,,,,,
31/10/2011,Travel Agencies,1245.81,,,,,,
31/10/2011,Travel Agencies,1245.81,,,,,,
31/10/2011,Travel Agencies,3716.93,,,,,,
31/10/2011,Travel Agencies,1162.03,,,,,,
31/10/2011,Travel Agencies,600.83,,,,,,
31/10/2011,Travel Agencies,765.91,,,,,,
31/10/2011,Travel Agencies,765.91,,,,,,
31/10/2011,Hotels/Motels/Resorts,1941.85,,,,,,
31/10/2011,Hotels/Motels/Resorts,555.6,,,,,,
