Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment provided as necessary",,
13/02/12,Airlines,605.43,,,
13/02/12,Airlines,514.29,,,
13/02/12,Airlines,1077.90,,,
13/02/12,Airlines,1211.43,,,
14/02/12,Airlines,626.10,,,
14/02/12,Airlines,626.10,,,
14/02/12,Airlines,601.73,,,
14/02/12,Airlines,1103.63,,,
14/02/12,Airlines,953.46,,,
14/02/12,Airlines,3616.20,,,
14/02/12,Airlines,3378.20,,,
14/02/12,Airlines,689.60,,,
14/02/12,Airlines,535.02,,,
14/02/12,Airlines,1072.78,,,
14/02/12,Airlines,1072.78,,,
14/02/12,Airlines,2399.93,,,
14/02/12,Airlines,3457.73,,,
14/02/12,Airlines,2140.68,,,
14/02/12,Airlines,2103.76,,,
14/02/12,Airlines,1259.96,,,
14/02/12,Airlines,871.63,,,
14/02/12,Airlines,4690.50,,,
14/02/12,Airlines,1689.63,,,
14/02/12,Airlines,2135.33,,,
14/02/12,Airlines,2735.01,,,
14/02/12,Airlines,-2492.33,,,
14/02/12,Airlines,758.73,,,
14/02/12,Airlines,1838.00,,,
15/02/12,Airlines,-1030.53,,,
15/02/12,Airlines,685.20,,,
15/02/12,Airlines,1435.70,,,
15/02/12,Airlines,2507.88,,,
15/02/12,Airlines,-2507.88,,,
15/02/12,Airlines,563.00,,,
15/02/12,Airlines,1013.00,,,
15/02/12,Airlines,739.86,,,
15/02/12,Airlines,707.76,,,
15/02/12,Airlines,791.88,,,
15/02/12,Airlines,2210.03,,,
15/02/12,Airlines,2305.03,,,
15/02/12,Airlines,2305.03,,,
15/02/12,Airlines,2210.03,,,
15/02/12,Airlines,2210.03,,,
15/02/12,Airlines,2549.03,,,
15/02/12,Airlines,2549.03,,,
15/02/12,Airlines,2210.03,,,
15/02/12,Airlines,2549.03,,,
15/02/12,Airlines,2549.03,,,
15/02/12,Airlines,2549.03,,,
16/02/12,Airlines,550.40,,,
16/02/12,Airlines,583.43,,,
16/02/12,Airlines,692.03,,,
16/02/12,Airlines,597.80,,,
16/02/12,Airlines,548.53,,,
16/02/12,Airlines,1469.50,,,
16/02/12,Airlines,-2502.98,,,
16/02/12,Airlines,-2499.04,,,
16/02/12,Airlines,1342.18,,,
16/02/12,Airlines,1392.33,,,
16/02/12,Airlines,669.32,,,
16/02/12,Airlines,655.50,,,
17/02/12,Airlines,2090.13,,,
17/02/12,Airlines,2090.13,,,
17/02/12,Airlines,2090.13,,,
17/02/12,Airlines,2090.13,,,
17/02/12,Airlines,2949.43,,,
17/02/12,Airlines,2037.56,,,
17/02/12,Airlines,776.13,,,
17/02/12,Airlines,4484.73,,,
17/02/12,Airlines,1889.43,,,
17/02/12,Airlines,2108.43,,,
17/02/12,Airlines,2108.43,,,
17/02/12,Airlines,860.32,,,
17/02/12,Airlines,634.53,,,
17/02/12,Airlines,2045.63,,,
17/02/12,Airlines,2045.63,,,
17/02/12,Airlines,2045.63,,,
17/02/12,Airlines,1324.53,,,
17/02/12,Airlines,868.40,,,
17/02/12,Airlines,868.40,,,
17/02/12,Airlines,1475.80,,,
17/02/12,Airlines,1496.13,,,
17/02/12,Airlines,1496.13,,,
17/02/12,Airlines,1496.13,,,
17/02/12,Airlines,1876.83,,,
20/02/12,Airlines,548.53,,,
20/02/12,Airlines,684.00,,,
20/02/12,Airlines,531.86,,,
20/02/12,Airlines,620.73,,,
20/02/12,Airlines,638.23,,,
20/02/12,Airlines,517.20,,,
20/02/12,Airlines,701.73,,,
20/02/12,Airlines,701.73,,,
20/02/12,Airlines,816.28,,,
20/02/12,Airlines,752.20,,,
20/02/12,Airlines,1824.50,,,
20/02/12,Airlines,598.73,,,
20/02/12,Airlines,978.26,,,
20/02/12,Airlines,2764.43,,,
20/02/12,Airlines,599.16,,,
20/02/12,Airlines,978.26,,,
20/02/12,Airlines,765.63,,,
20/02/12,Airlines,523.63,,,
20/02/12,Airlines,978.26,,,
20/02/12,Airlines,-2505.22,,,
20/02/12,Airlines,-2482.55,,,
20/02/12,Airlines,-2482.55,,,
20/02/12,Airlines,1685.10,,,
20/02/12,Airlines,2218.63,,,
20/02/12,Airlines,784.10,,,
20/02/12,Airlines,686.72,,,
20/02/12,Airlines,4440.92,,,
20/02/12,Airlines,3283.73,,,
21/02/12,Airlines,576.00,,,
21/02/12,Airlines,1062.43,,,
21/02/12,Airlines,1650.53,,,
21/02/12,Airlines,1881.53,,,
21/02/12,Airlines,2664.10,,,
21/02/12,Airlines,2784.10,,,
21/02/12,Airlines,2784.10,,,
21/02/12,Airlines,632.51,,,
21/02/12,Airlines,1632.83,,,
21/02/12,Airlines,680.50,,,
21/02/12,Airlines,2318.13,,,
21/02/12,Airlines,632.51,,,
21/02/12,Airlines,1711.78,,,
21/02/12,Airlines,740.43,,,
21/02/12,Airlines,931.10,,,
21/02/12,Airlines,830.40,,,
21/02/12,Airlines,588.21,,,
21/02/12,Airlines,588.21,,,
21/02/12,Airlines,1634.03,,,
21/02/12,Airlines,1028.33,,,
22/02/12,Airlines,3351.07,,,
22/02/12,Airlines,1454.23,,,
22/02/12,Airlines,620.03,,,
22/02/12,Airlines,808.73,,,
22/02/12,Airlines,904.52,,,
22/02/12,Airlines,1072.03,,,
22/02/12,Airlines,752.20,,,
22/02/12,Airlines,752.20,,,
22/02/12,Airlines,1757.23,,,
22/02/12,Airlines,1307.78,,,
22/02/12,Airlines,2764.43,,,
22/02/12,Airlines,3094.43,,,
22/02/12,Airlines,1141.30,,,
22/02/12,Airlines,838.43,,,
22/02/12,Airlines,1441.48,,,
22/02/12,Airlines,1143.11,,,
22/02/12,Airlines,1454.43,,,
22/02/12,Airlines,1454.43,,,
22/02/12,Airlines,541.20,,,
22/02/12,Airlines,709.00,,,
22/02/12,Airlines,709.00,,,
22/02/12,Airlines,709.00,,,
22/02/12,Airlines,1591.43,,,
22/02/12,Airlines,-946.73,,,
22/02/12,Airlines,1601.73,,,
22/02/12,Airlines,1601.73,,,
22/02/12,Airlines,1601.73,,,
22/02/12,Airlines,2159.53,,,
22/02/12,Airlines,2850.03,,,
22/02/12,Airlines,-765.23,,,
22/02/12,Airlines,509.82,,,
23/02/12,Airlines,557.82,,,
23/02/12,Airlines,3124.32,,,
23/02/12,Airlines,860.32,,,
23/02/12,Airlines,1982.80,,,
23/02/12,Airlines,1556.43,,,
23/02/12,Airlines,691.46,,,
23/02/12,Airlines,1991.50,,,
23/02/12,Airlines,1139.53,,,
23/02/12,Airlines,1991.50,,,
23/02/12,Airlines,-4031.20,,,
23/02/12,Airlines,-4031.20,,,
23/02/12,Airlines,-4031.20,,,
23/02/12,Airlines,5269.73,,,
23/02/12,Airlines,3008.43,,,
23/02/12,Airlines,1950.10,,,
23/02/12,Airlines,1070.83,,,
24/02/12,Airlines,548.10,,,
24/02/12,Airlines,548.10,,,
24/02/12,Airlines,1363.63,,,
24/02/12,Airlines,919.52,,,
24/02/12,Airlines,2501.23,,,
24/02/12,Airlines,4602.53,,,
24/02/12,Airlines,1010.50,,,
24/02/12,Airlines,2492.43,,,
24/02/12,Airlines,1018.26,,,
24/02/12,Airlines,1304.10,,,
24/02/12,Airlines,553.83,,,
24/02/12,Airlines,838.33,,,
24/02/12,Airlines,2497.29,,,
24/02/12,Airlines,2501.23,,,
24/02/12,Airlines,2501.23,,,
24/02/12,Airlines,2501.23,,,
24/02/12,Airlines,2501.23,,,
24/02/12,Airlines,1856.03,,,
24/02/12,Airlines,1856.03,,,
24/02/12,Airlines,1856.03,,,
24/02/12,Airlines,1062.33,,,
27/02/12,Airlines,1265.61,,,
27/02/12,Airlines,735.63,,,
27/02/12,Airlines,735.63,,,
27/02/12,Airlines,1463.40,,,
27/02/12,Airlines,525.72,,,
27/02/12,Airlines,2354.40,,,
27/02/12,Airlines,1030.60,,,
27/02/12,Airlines,5269.73,,,
27/02/12,Airlines,-2194.80,,,
27/02/12,Airlines,523.13,,,
27/02/12,Airlines,633.31,,,
27/02/12,Airlines,2452.43,,,
27/02/12,Airlines,2452.33,,,
27/02/12,Airlines,1334.40,,,
27/02/12,Airlines,749.43,,,
27/02/12,Airlines,-1335.41,,,
27/02/12,Airlines,1495.80,,,
27/02/12,Airlines,1588.32,,,
27/02/12,Airlines,1138.80,,,
27/02/12,Airlines,629.70,,,
27/02/12,Airlines,629.70,,,
27/02/12,Airlines,614.05,,,
27/02/12,Airlines,790.80,,,
27/02/12,Airlines,632.20,,,
27/02/12,Airlines,521.30,,,
27/02/12,Airlines,-1827.83,,,
27/02/12,Airlines,-2501.03,,,
27/02/12,Airlines,-3556.63,,,
27/02/12,Airlines,-1135.03,,,
27/02/12,Airlines,1223.89,,,
27/02/12,Airlines,601.53,,,
27/02/12,Airlines,1544.33,,,
27/02/12,Airlines,609.96,,,
27/02/12,Airlines,2701.33,,,
27/02/12,Airlines,1464.33,,,
27/02/12,Airlines,1116.00,,,
27/02/12,Airlines,1139.53,,,
27/02/12,Airlines,933.00,,,
27/02/12,Airlines,667.33,,,
