Department family,Entity,Date,Expense type,Expense area,Supplier,Post Code,Transaction number,Total
Ministry of Defence,Ministry of Defence,13/07/2011,Food and clothing,Central TLB,SODEXO LTD,M50 0AL,819119,"116,221.92"
Ministry of Defence,Ministry of Defence,08/07/2011,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,BFPO 53,4000005457,"116,205.15"
Ministry of Defence,Ministry of Defence,11/07/2011,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,BFPO 53,4000005460,"115,721.13"
Ministry of Defence,Ministry of Defence,07/07/2011,Rent and rates,Defence Infrastructure Organisation ,LONDON BOROUGH OF HILLINGDON,UB8 1UW,816405,"114,926.65"
Ministry of Defence,Ministry of Defence,28/07/2011,Estate management,Central TLB,SERCO LIMITED,RG27 9UY,825414,"114,858.37"
Ministry of Defence,Ministry of Defence,19/07/2011,Rent and rates,Defence Infrastructure Organisation ,COLCHESTER BOROUGH COUNCIL,CO1 1QY,821091,"114,553.45"
Ministry of Defence,Ministry of Defence,21/07/2011,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,822673,"114,479.27"
Ministry of Defence,Ministry of Defence,18/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,CONWAY PACKING SERVICES LTD,DY4 7UD,820482,"113,913.94"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Defence Infrastructure Organisation ,OBERFINANZDIREKTION NIEDERSACHSEN,,5000059141,"113,476.23"
Ministry of Defence,Ministry of Defence,07/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,VSM ESTATES LIMITED,B32 1AF,816728,"113,419.20"
Ministry of Defence,Ministry of Defence,20/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,THALES UK LIMITED,RH10 9HA,822109,"113,281.80"
Ministry of Defence,Ministry of Defence,20/07/2011,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,821802,"113,093.68"
Ministry of Defence,Ministry of Defence,27/07/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,PALLETWAYS (U K) LTD,WS13 8NE,824770,"112,663.56"
Ministry of Defence,Ministry of Defence,21/07/2011,Research and development,Defence Equipment & Support,GKN AEROSPACE SERVICES LIMITED,PO3 5PE,822377,"112,242.00"
Ministry of Defence,Ministry of Defence,20/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,PCA ELECTRONIC TEST LIMITED,NG23 5JR,821955,"111,807.04"
Ministry of Defence,Ministry of Defence,20/07/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,821857,"110,323.23"
Ministry of Defence,Ministry of Defence,19/07/2011,"Transporation of personnel, freight and travel expenses",Land Forces,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,821388,"109,541.10"
Ministry of Defence,Ministry of Defence,05/07/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,815354,"109,200.00"
Ministry of Defence,Ministry of Defence,11/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,KY11 9JT,817967,"109,063.70"
Ministry of Defence,Ministry of Defence,12/07/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,818122,"108,799.62"
Ministry of Defence,Ministry of Defence,26/07/2011,Food and clothing,Land Forces,NAVY ARMY AND AIR FORCE INSTITUES (THE),DL1 1YN,5000060117,"108,795.33"
Ministry of Defence,Ministry of Defence,05/07/2011,Fuel for military use,Air Command,ARVAL UK LTD,SN5 6PE,814413,"108,666.20"
Ministry of Defence,Ministry of Defence,13/07/2011,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,818863,"108,583.02"
Ministry of Defence,Ministry of Defence,04/07/2011,IT and communication services,Defence Equipment & Support,CA LIMITED,SL3 9LL,161288,"108,120.00"
Ministry of Defence,Ministry of Defence,20/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,SMIT TRANSPORT BELGIUM NV,,3000005736,"107,919.48"
Ministry of Defence,Ministry of Defence,11/07/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,818008,"107,687.30"
Ministry of Defence,Ministry of Defence,26/07/2011,Rent and rates,Central TLB,GVA GRIMLEY LIMITED,B1 2JB,824113,"107,499.60"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Central TLB,SODEXO LTD,M50 0AL,817993,"107,092.49"
Ministry of Defence,Ministry of Defence,19/07/2011,Fuel for military use,Air Command,SHELL U.K.LIMITED,G1 3NR,821423,"106,361.29"
Ministry of Defence,Ministry of Defence,20/07/2011,Fuel for military use,Air Command,ARVAL UK LTD,SN5 6PE,821535,"106,114.22"
Ministry of Defence,Ministry of Defence,29/07/2011,Administration,Central TLB,COPYRIGHT LICENSING AGENCY  LIMITED (THE),EC1N 8TS,825660,"105,921.00"
Ministry of Defence,Ministry of Defence,28/07/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,ENERSYS LTD.,,825099,"105,768.00"
Ministry of Defence,United Kingdon Hydrographic Office,27/07/2011,Projects - Large Purchases,C&F Programmes Business Group,Maritime Information Systems AS,,1500012507,"105,321.13"
Ministry of Defence,Ministry of Defence,15/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,JOHN GRAHAM (DROMORE) LIMITED,PE19 8ER,820016,"105,284.44"
Ministry of Defence,Ministry of Defence,25/07/2011,Payment of utilities,Defence Infrastructure Organisation ,TOTAL GAS & POWER LIMITED,RH1 1RX,823867,"105,264.02"
Ministry of Defence,Ministry of Defence,04/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,ITT DEFENCE LIMITED,RG22 4BA,814017,"105,010.00"
Ministry of Defence,Ministry of Defence,27/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,CRANFIELD UNIVERSITY,MK43 0AL,824540,"105,000.00"
Ministry of Defence,Ministry of Defence,22/07/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,822757,"104,893.60"
Ministry of Defence,Ministry of Defence,20/07/2011,Rent and rates,Defence Infrastructure Organisation ,SHROPSHIRE COUNCIL,SY2 6ND,822054,"104,751.46"
Ministry of Defence,Ministry of Defence,22/07/2011,Externally delivered education and training,Land Forces,THE BRITISH SCHOOL OF MOTORING LIMITED,BS32 4TR,161957,"104,431.08"
Ministry of Defence,Ministry of Defence,26/07/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,823937,"104,289.75"
Ministry of Defence,Ministry of Defence,21/07/2011,Food and clothing,Defence Equipment & Support,ITURRI SA,OX16 3TA,3000005742,"103,973.26"
Ministry of Defence,Ministry of Defence,07/07/2011,Estate management,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,816362,"103,313.15"
Ministry of Defence,Ministry of Defence,21/07/2011,Food and clothing,Central TLB,ISS MEDICLEAN LIMITED,GU21 5RW,822410,"102,481.21"
Ministry of Defence,Ministry of Defence,04/07/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,814263,"101,954.26"
Ministry of Defence,Ministry of Defence,08/07/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,816930,"101,916.55"
Ministry of Defence,Ministry of Defence,13/07/2011,Estate management,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000059283,"101,736.15"
Ministry of Defence,Ministry of Defence,19/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,821477,"101,424.11"
Ministry of Defence,Ministry of Defence,13/07/2011,Medical treatment & stores and welfare services,Land Forces,GUY'S & ST THOMAS NHS FOUNDATION TRUST,SE1 9RT,5000059323,"101,193.95"
Ministry of Defence,Ministry of Defence,21/07/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822226,"101,102.08"
Ministry of Defence,Ministry of Defence,18/07/2011,Fees for professional services,Air Command,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,820627,"100,928.24"
Ministry of Defence,Ministry of Defence,25/07/2011,Fuel for military use,Air Command,SHELL U.K. OIL PRODUCTS LTD,G1 3RN,823796,"100,873.33"
Ministry of Defence,Ministry of Defence,12/07/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,FUCHS LUBRICANTS (UK) PLC,ST1 5HU,818269,"100,457.52"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,818050,"100,235.81"
Ministry of Defence,Ministry of Defence,07/07/2011,Food and clothing,Central TLB,ISS MEDICLEAN LIMITED,GU21 5RW,816362,"100,062.66"
Ministry of Defence,Ministry of Defence,08/07/2011,International contributions,Central TLB,UNITED NATIONS DEVELOPMENT PROGRAMME SOMALIA,,3000005696,"100,000.00"
Ministry of Defence,Ministry of Defence,07/07/2011,Rent and rates,Defence Infrastructure Organisation ,NORTH KESTEVEN DISTRICT COUNCIL,NG34 4GL,816507,"99,952.99"
Ministry of Defence,Ministry of Defence,08/07/2011,Purchase of inventory and services ,Defence Equipment & Support,NHS BLOOD AND TRANSPLANT,LS15 7TW,817151,"99,643.00"
Ministry of Defence,Ministry of Defence,19/07/2011,Rent and rates,Defence Infrastructure Organisation ,CENTRAL BEDFORDSHIRE COUNCIL,LU6 9HE,821070,"99,600.85"
Ministry of Defence,Ministry of Defence,05/07/2011,Estate management,Defence Infrastructure Organisation ,LENGELING SERVICE GMBH,,5000058741,"99,282.26"
Ministry of Defence,Ministry of Defence,25/07/2011,IT and communication services,Defence Equipment & Support,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,823603,"98,665.46"
Ministry of Defence,Ministry of Defence,07/07/2011,Rent and rates,Defence Infrastructure Organisation ,HAMBLETON DISTRICT COUNCIL,DL6 2UU,816323,"98,317.70"
Ministry of Defence,Ministry of Defence,20/07/2011,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,821537,"97,904.76"
Ministry of Defence,Ministry of Defence,21/07/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,822640,"97,820.47"
Ministry of Defence,Ministry of Defence,19/07/2011,Payment of utilities,Defence Infrastructure Organisation ,DEPARTMENT FOR REGIONAL DEVELOPMENT,BT1 9DJ,32894,"97,261.51"
Ministry of Defence,Ministry of Defence,08/07/2011,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,816920,"96,882.99"
Ministry of Defence,Ministry of Defence,07/07/2011,Rent and rates,Defence Infrastructure Organisation ,HART DISTRICT COUNCIL,GU51 4AE,816327,"96,522.37"
Ministry of Defence,Ministry of Defence,29/07/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,825581,"96,419.72"
Ministry of Defence,Ministry of Defence,14/07/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,ROYAL MAIL GROUP LIMITED,PE4 5PG,819622,"96,116.35"
Ministry of Defence,Ministry of Defence,12/07/2011,Estate management,Central TLB,ARAMARK LTD,LS16 6QY,818122,"95,628.96"
Ministry of Defence,United Kingdon Hydrographic Office,20/07/2011,Computer maintenance & hire,ICT Delivery Business Group,HP Enterprise Services UK Ltd,,2000055117,"95,440.00"
Ministry of Defence,Ministry of Defence,22/07/2011,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,823209,"95,340.85"
Ministry of Defence,Ministry of Defence,21/07/2011,Administration,Central TLB,HOGG ROBINSON (TRAVEL) LIMITED,GU14 7NJ,822398,"95,096.07"
Ministry of Defence,Defence Support Group,27/07/2011,Audit Fees,Corporate,National Audit Office,,10132355,"95,000.00"
Ministry of Defence,Ministry of Defence,05/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,ITW LIMITED,TN23 1DZ,814801,"94,945.52"
Ministry of Defence,Ministry of Defence,28/07/2011,Transport hire charges,Defence Infrastructure Organisation ,RYDER DEUTSCHLAND GMBH,,5000060294,"94,931.23"
Ministry of Defence,Ministry of Defence,26/07/2011,Purchase of inventory and services ,Defence Equipment & Support,AUSTIN HAYES LTD,LS19 7BD,823943,"94,586.16"
Ministry of Defence,Ministry of Defence,18/07/2011,Fees for professional services,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,820494,"94,246.20"
Ministry of Defence,Ministry of Defence,13/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,SOARING (OXFORD) LTD,NG23 5NG,819118,"94,141.41"
Ministry of Defence,Ministry of Defence,22/07/2011,Transport hire charges,Central TLB,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,822778,"92,857.41"
Ministry of Defence,Ministry of Defence,26/07/2011,Medical treatment & stores and welfare services,Land Forces,NHS FIFE,KY11 2BJ,824216,"92,814.52"
Ministry of Defence,Ministry of Defence,14/07/2011,Estate management,Defence Infrastructure Organisation ,LENGELING SERVICE GMBH,,5000059454,"92,770.89"
Ministry of Defence,Ministry of Defence,15/07/2011,IT and communication services,Land Forces,VEGA CONSULTING SERVICES LTD,AL7 1TW,820327,"92,592.00"
Ministry of Defence,Ministry of Defence,13/07/2011,"Public relations, including marketing and advertising.",Navy Command,CENTRAL OFFICE OF INFORMATION,SE1 7DU,818719,"92,591.02"
Ministry of Defence,Ministry of Defence,27/07/2011,Food and clothing,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,824456,"92,286.03"
Ministry of Defence,Ministry of Defence,13/07/2011,Research and development,Central TLB,QINETIQ LIMITED,PO12 2AG,819064,"92,072.00"
Ministry of Defence,Ministry of Defence,05/07/2011,Property leases,Defence Infrastructure Organisation ,WESTERN CHALLENGE HOUSING ASSOCIATION LIMITED,BH23 4GE,815394,"91,990.95"
Ministry of Defence,United Kingdon Hydrographic Office,13/07/2011,Project External Costs,"Marketing, CS & Channel Management",COI Communications,,2000055018,"91,445.00"
Ministry of Defence,Ministry of Defence,08/07/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,JACOBS U.K. LTD,G2 7HX,817058,"91,172.00"
Ministry of Defence,Ministry of Defence,11/07/2011,Estate management,Air Command,VT FLAGSHIP LTD,PO6 4PR,818080,"91,054.50"
Ministry of Defence,Ministry of Defence,20/07/2011,Rent and rates,Defence Infrastructure Organisation ,SOUTH OXFORDSHIRE DISTRICT  COUNCIL,OX10 8HQ,822068,"90,822.60"
Ministry of Defence,Ministry of Defence,08/07/2011,Property leases,Defence Infrastructure Organisation ,WESTERN CHALLENGE HOUSING ASSOCIATION LIMITED,BH23 4GE,817449,"90,335.38"
Ministry of Defence,Ministry of Defence,14/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,STELLA-META  LIMITED,SO53 4DP,819678,"90,289.32"
Ministry of Defence,Ministry of Defence,18/07/2011,Fees for professional services,Land Forces,CENTRAL OFFICE OF INFORMATION,SE1 7DU,820470,"89,775.25"
Ministry of Defence,Ministry of Defence,20/07/2011,Rent and rates,Defence Infrastructure Organisation ,PORTSMOUTH CITY COUNCIL,PO1 2BE,821968,"89,681.18"
Ministry of Defence,Ministry of Defence,20/07/2011,IT and communication services,Navy Command,QINETIQ LTD,,July 2011 GPC 016,"89,541.98"
Ministry of Defence,Ministry of Defence,14/07/2011,Fuel for military use,Land Forces,UNITED AVIATION SERVICES,,2000012187,"89,374.83"
Ministry of Defence,Ministry of Defence,05/07/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,815236,"89,249.78"
Ministry of Defence,Ministry of Defence,15/07/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,JACOBS U.K. LTD,G2 7HX,820010,"89,174.00"
Ministry of Defence,Ministry of Defence,22/07/2011,Estate management,Air Command,AVENANCE PLC,SK11 6ET,822767,"89,027.23"
Ministry of Defence,Ministry of Defence,27/07/2011,Medical treatment & stores and welfare services,Land Forces,NHS FIFE,KY11 2BJ,824705,"89,014.16"
Ministry of Defence,Ministry of Defence,05/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,PO6 3AE,814782,"88,716.00"
Ministry of Defence,Ministry of Defence,07/07/2011,Rent and rates,Defence Infrastructure Organisation ,CITY OF EDINBURGH COUNCIL,EH1 1UF,816193,"88,571.73"
Ministry of Defence,Ministry of Defence,28/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,OFFSHORE SYSTEMS LTD,V5G 4LS,825340,"88,567.20"
Ministry of Defence,Ministry of Defence,05/07/2011,Fees for professional services,Land Forces,ENTEC U K LTD,SY2 5DE,814676,"88,148.43"
Ministry of Defence,Ministry of Defence,22/07/2011,Estate management,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,822767,"87,894.32"
Ministry of Defence,Ministry of Defence,26/07/2011,Grants to NDPBs,Land Forces,ARMY FAMILIES FEDERATION,SN9 6BE,823940,"87,500.00"
Ministry of Defence,Ministry of Defence,08/07/2011,Medical treatment & stores and welfare services,Central TLB,SOUTH STAFFORDSHIRE & SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,ST16 3SR,2E+11,"87,202.00"
Ministry of Defence,Ministry of Defence,11/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,817629,"86,985.60"
Ministry of Defence,Ministry of Defence,12/07/2011,Estate management,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,818131,"86,132.23"
Ministry of Defence,Ministry of Defence,18/07/2011,Estate management,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,820391,"86,115.08"
Ministry of Defence,Ministry of Defence,08/07/2011,Rent and rates,Defence Infrastructure Organisation ,TEST VALLEY BOROUGH COUNCIL,SP10 3AJ,817378,"86,113.63"
Ministry of Defence,Ministry of Defence,05/07/2011,General services and support,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,814869,"86,054.21"
Ministry of Defence,Ministry of Defence,22/07/2011,Externally delivered education and training,Navy Command,UNIVERSITY OF PLYMOUTH,PL4 8AA,823267,"85,944.00"
Ministry of Defence,Ministry of Defence,11/07/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,PACE FUELCARE LIMITED,TW20 9AB,817914,"85,502.40"
Ministry of Defence,Ministry of Defence,04/07/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,814231,"84,929.70"
Ministry of Defence,Ministry of Defence,06/07/2011,IT and communication services,Navy Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,815570,"84,566.17"
Ministry of Defence,Ministry of Defence,21/07/2011,Food and clothing,Defence Equipment & Support,ARAMARK LTD,LS16 6QY,822211,"84,497.81"
Ministry of Defence,Ministry of Defence,19/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,821445,"83,869.00"
Ministry of Defence,Ministry of Defence,25/07/2011,IT and communication services,Defence Equipment & Support,VEGA CONSULTING SERVICES LTD,AL7 1TW,823888,"83,771.50"
Ministry of Defence,Ministry of Defence,20/07/2011,"Purchase of major spares armaments, medical & general stores",Defence Equipment & Support,PRIMAGRAPHICS LTD,SL6 9PN,161885,"83,725.20"
Ministry of Defence,Ministry of Defence,18/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,MARSHALL SPECIALIST VEHICLES  LIMITED,CB5 8RX,820649,"83,333.00"
Ministry of Defence,Ministry of Defence,06/07/2011,Estate management,Air Command,SODEXO LTD,M50 0AL,815945,"83,085.32"
Ministry of Defence,Ministry of Defence,25/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,RACAL ACOUSTICS LIMITED,HA1 4TR,823758,"82,810.00"
Ministry of Defence,Ministry of Defence,29/07/2011,Fuel for military use,Air Command,SHELL U.K. OIL PRODUCTS LTD,G1 3RN,826015,"82,621.71"
Ministry of Defence,Ministry of Defence,07/07/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,816101,"82,600.61"
Ministry of Defence,Ministry of Defence,27/07/2011,Fees for professional services,Land Forces,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,824648,"82,295.00"
Ministry of Defence,Ministry of Defence,21/07/2011,Purchase of inventory and services ,Defence Equipment & Support,NHS BUSINESS SERVICES AUTHORITY,ME16 0LW,2E+11,"82,125.00"
Ministry of Defence,Ministry of Defence,18/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,MUIRHEAD AEROSPACE LIMITED,CM24 1RB,820699,"81,777.70"
Ministry of Defence,Ministry of Defence,22/07/2011,IT and communication services,Land Forces,EXPRESS AUTOMATION,,350,"81,494.13"
Ministry of Defence,Ministry of Defence,02/07/2011,Estate management,Defence Infrastructure Organisation ,Lower Saxony,,FBES000539,"81,205.36"
Ministry of Defence,Ministry of Defence,20/07/2011,Medical treatment & stores and welfare services,Land Forces,GUY'S & ST THOMAS NHS FOUNDATION TRUST,SE1 9RT,5000059729,"81,140.36"
Ministry of Defence,Ministry of Defence,26/07/2011,Fees for professional services,Air Command,CARILLIONENTERPRISE LIMITED,B75 7RL,824004,"81,044.48"
Ministry of Defence,Ministry of Defence,27/07/2011,Food and clothing,Defence Equipment & Support,COMPASS GROUP PLC,B45 9PZ,824532,"80,826.22"
Ministry of Defence,Ministry of Defence,06/07/2011,Estate management,Defence Infrastructure Organisation ,SERCO LIMITED,RG27 9UY,815933,"80,394.16"
Ministry of Defence,Ministry of Defence,18/07/2011,Property leases,Defence Infrastructure Organisation ,WESTERN CHALLENGE HOUSING ASSOCIATION LIMITED,BH23 4GE,820945,"80,262.36"
Ministry of Defence,Ministry of Defence,21/07/2011,Medical treatment & stores and welfare services,Central TLB,DR MARTIN ERRINGTON T/A ERRINGTON ASSOCIATES,EH13 0DT,822333,"80,155.00"
Ministry of Defence,Ministry of Defence,26/07/2011,Rent and rates,Land Forces,JONES LANG LASALLE LIMITED,E14 5EG,824153,"79,817.39"
Ministry of Defence,Ministry of Defence,06/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,KY11 9JT,815909,"79,564.24"
Ministry of Defence,Ministry of Defence,12/07/2011,Estate management,Defence Infrastructure Organisation ,LENGELING SERVICE GMBH,,5000059225,"79,515.17"
Ministry of Defence,Reserve Forces and Cadets Associations,07/07/2011,Rent and rates,Infrastructure,POWYS COUNTY COUNCIL,,1585,"78,982.73"
Ministry of Defence,Ministry of Defence,12/07/2011,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE HAMELN,,5000059258,"78,964.29"
Ministry of Defence,Ministry of Defence,14/07/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,819234,"78,900.07"
Ministry of Defence,Ministry of Defence,31/03/2011,IT and communication services,Central TLB,EASBRICOM,,134,"78,163.21"
Ministry of Defence,Ministry of Defence,12/07/2011,Payment of utilities,Defence Infrastructure Organisation ,NVV AG,,5000059237,"77,978.20"
Ministry of Defence,Ministry of Defence,13/07/2011,Estate management,Defence Equipment & Support,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,818733,"77,878.53"
Ministry of Defence,Ministry of Defence,07/07/2011,Rent and rates,Defence Infrastructure Organisation ,HARROGATE BOROUGH COUNCIL,HG1 2SG,816325,"77,659.68"
Ministry of Defence,Ministry of Defence,14/07/2011,Payment of utilities,Defence Infrastructure Organisation ,PHOENIX NATURAL GAS LTD,BT3 9ED,32867,"77,651.04"
Ministry of Defence,Ministry of Defence,13/07/2011,Payment of utilities,Navy Command,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,819131,"77,387.98"
Ministry of Defence,Ministry of Defence,20/07/2011,Rent and rates,Defence Infrastructure Organisation ,RUTLAND COUNTY COUNCIL  DISTRICT COUNCIL,LE15 6HP,822022,"77,169.16"
Ministry of Defence,Ministry of Defence,19/07/2011,Research and development,Land Forces,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,821107,"77,003.49"
Ministry of Defence,Ministry of Defence,14/07/2011,Design services and minor equipment purchases,Defence Equipment & Support,HELITUNE LTD,EX38 7HP,819410,"76,814.50"
Ministry of Defence,Ministry of Defence,05/07/2011,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,815409,"76,782.35"
Ministry of Defence,Ministry of Defence,25/07/2011,Fuel for military use,Land Forces,UNITED AVIATION SERVICES,,2000012282,"76,564.37"
Ministry of Defence,Ministry of Defence,15/07/2011,Estate management,Central TLB,MODUS SERVICES LIMITED,SW1A 2HB,820070,"76,202.43"
Ministry of Defence,Ministry of Defence,19/07/2011,Purchase of buildings and military equipment ,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,821477,"76,162.55"
Ministry of Defence,Ministry of Defence,26/07/2011,Estate management,Defence Infrastructure Organisation ,GEM MBH,,5000060096,"75,892.86"
Ministry of Defence,Ministry of Defence,27/06/2011,Externally delivered education and training,Land Forces,BKYC,,11,"75,652.17"
Ministry of Defence,Ministry of Defence,22/07/2011,Research and development,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,823161,"75,558.00"
Ministry of Defence,Ministry of Defence,06/07/2011,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,815576,"75,460.91"
Ministry of Defence,Ministry of Defence,28/07/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,824982,"75,438.39"
Ministry of Defence,Ministry of Defence,04/07/2011,Fees for professional services,Central TLB,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,814004,"75,290.00"
Ministry of Defence,Ministry of Defence,21/07/2011,Fees for professional services,Central TLB,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,822404,"75,290.00"
Ministry of Defence,Ministry of Defence,14/07/2011,Externally delivered education and training,Land Forces,G4S FSI LIMITED,SM1 4LD,819386,"75,112.32"
Ministry of Defence,Ministry of Defence,27/07/2011,Transport hire charges,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,824466,"75,103.99"
Ministry of Defence,Ministry of Defence,08/07/2011,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,817326,"75,009.25"
Ministry of Defence,Ministry of Defence,08/07/2011,Rent and rates,Defence Infrastructure Organisation ,SURREY HEATH BOROUGH COUNCIL,GU15 3HD,817359,"74,867.36"
Ministry of Defence,Ministry of Defence,14/07/2011,Research and development,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,819338,"74,789.88"
Ministry of Defence,Ministry of Defence,20/07/2011,IT and communication services,Navy Command,BLUE ARROW,,July 2011 GPC 015,"74,701.44"
Ministry of Defence,Ministry of Defence,14/07/2011,IT and communication services,Central TLB,SERCO LIMITED,RG27 9UY,819645,"74,672.86"
