Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,19300,A1,16135,17166,Policy Adviser,8,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,19300,A2,18525,21696,Policy Adviser,25,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,19300,B3,21432,27385,Policy Adviser,16,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,19300,C4,26102,32509,Policy Adviser,14,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,19300,C5,32748,40500,Policy Adviser,2,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,19300,D6,43084,55782,Policy Adviser,10,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,19300,D7,54340,67861,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Central Units,19300,SMS1,58200,117750,Policy Adviser,1,Policy
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Economics Directorate,19400,A2,18525,21696,Economist,4,Economics
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Economics Directorate,19400,C4,26102,32509,Economist,7,Economics
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Economics Directorate,19400,D6,43084,55782,Economist,2,Economics
Foreign and Commonwealth Office,Foreign and Commonwealth Office,Economics Directorate,19400,D7,54340,67861,Economist,1,Economics
