UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC144,16-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,678.88,144
MODGPC145,29-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,961.72,145
MODGPC146,06-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,605.33,146
MODGPC147,15-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,870.01,147
MODGPC148,15-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,543.64,148
MODGPC149,07-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,808.96,149
MODGPC150,11-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,125.06",150
MODGPC151,10-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,237.86",151
MODGPC152,22-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,283.10",152
MODGPC153,06-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,926.65",153
MODGPC154,06-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,681.5,154
MODGPC155,27-Apr-10,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,944.7,155
MODGPC156,16-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"3,447.69",156
MODGPC157,27-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"2,088.93",157
MODGPC158,27-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,206.06",158
MODGPC159,29-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"4,949.40",159
MODGPC160,30-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"4,448.38",160
MODGPC161,04-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,191.44",161
MODGPC162,06-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,709.12,162
MODGPC163,23-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,753.74,163
MODGPC164,05-May-10,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"1,344.20",164
MODGPC165,19-Apr-10,Building Materials                 , PLUMBING/HEATING EQUIPMENT,"4,896.81",165
MODGPC166,27-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"2,261.88",166
MODGPC167,16-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"4,019.30",167
MODGPC168,21-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,729.68,168
MODGPC169,27-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,739.92",169
MODGPC170,30-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,218.66",170
MODGPC171,30-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"1,000.00",171
MODGPC172,16-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,896.53,172
MODGPC173,29-Apr-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"2,717.81",173
MODGPC174,12-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,646.25,174
MODGPC175,12-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,646.25,175
MODGPC176,30-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"4,250.92",176
MODGPC177,20-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,517.47,177
MODGPC178,20-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,726.33",178
MODGPC179,07-May-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"4,378.41",179
MODGPC180,12-May-10,Building Materials                 , CONSTRUCTION MATERIALS - DEF,655.69,180
MODGPC181,30-Apr-10,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"4,799.88",181
MODGPC182,07-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,587.5,182
MODGPC183,11-May-10,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"2,048.73",183
