Post Date,Publishable Label,Transaction Amount,"Publishable Label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary",,
23/07/12,Airlines,-726.30,,,
23/07/12,Airlines,-1470.13,,,
23/07/12,Airlines,-1470.13,,,
23/07/12,Airlines,-1472.13,,,
23/07/12,Airlines,-1472.13,,,
23/07/12,Airlines,795.79,,,
23/07/12,Airlines,-690.90,,,
23/07/12,Airlines,908.38,,,
23/07/12,Airlines,747.38,,,
23/07/12,Airlines,747.38,,,
23/07/12,Airlines,510.00,,,
24/07/12,Airlines,4057.09,,,
24/07/12,Airlines,-729.10,,,
24/07/12,Airlines,-1580.28,,,
24/07/12,Airlines,1098.81,,,
24/07/12,Airlines,586.89,,,
24/07/12,Airlines,1499.49,,,
25/07/12,Airlines,-1995.89,,,
25/07/12,Airlines,-1800.49,,,
25/07/12,Airlines,708.36,,,
25/07/12,Airlines,828.09,,,
25/07/12,Airlines,967.09,,,
25/07/12,Airlines,630.45,,,
25/07/12,Airlines,609.25,,,
25/07/12,Airlines,609.25,,,
25/07/12,Airlines,609.25,,,
25/07/12,Airlines,609.25,,,
25/07/12,Airlines,-2549.03,,,
25/07/12,Airlines,-799.31,,,
25/07/12,Airlines,2547.89,,,
25/07/12,Airlines,774.09,,,
25/07/12,Airlines,737.02,,,
25/07/12,Airlines,-1478.80,,,
26/07/12,Airlines,-2681.69,,,
26/07/12,Airlines,1763.69,,,
26/07/12,Airlines,3690.09,,,
26/07/12,Airlines,657.20,,,
26/07/12,Airlines,2608.50,,,
26/07/12,Airlines,-1453.91,,,
26/07/12,Airlines,2297.09,,,
26/07/12,Airlines,4660.89,,,
26/07/12,Airlines,1408.59,,,
26/07/12,Airlines,1418.59,,,
26/07/12,Airlines,2546.39,,,
26/07/12,Airlines,2546.39,,,
26/07/12,Airlines,-4008.99,,,
26/07/12,Airlines,961.43,,,
26/07/12,Airlines,667.69,,,
27/07/12,Airlines,1114.89,,,
27/07/12,Airlines,1485.00,,,
27/07/12,Airlines,701.81,,,
27/07/12,Airlines,667.02,,,
27/07/12,Airlines,1189.49,,,
27/07/12,Airlines,3405.98,,,
30/07/12,Airlines,1129.00,,,
30/07/12,Airlines,1783.71,,,
30/07/12,Airlines,1581.59,,,
30/07/12,Airlines,1578.55,,,
30/07/12,Airlines,795.99,,,
30/07/12,Airlines,3690.09,,,
30/07/12,Airlines,704.79,,,
30/07/12,Airlines,1352.49,,,
30/07/12,Airlines,540.09,,,
30/07/12,Airlines,-2397.60,,,
30/07/12,Airlines,1524.29,,,
30/07/12,Airlines,763.99,,,
30/07/12,Airlines,798.89,,,
30/07/12,Airlines,1409.09,,,
30/07/12,Airlines,1409.09,,,
30/07/12,Airlines,882.89,,,
30/07/12,Airlines,703.30,,,
30/07/12,Airlines,4767.89,,,
30/07/12,Airlines,-985.39,,,
30/07/12,Airlines,515.39,,,
31/07/12,Airlines,2176.79,,,
31/07/12,Airlines,1199.59,,,
31/07/12,Airlines,1199.59,,,
31/07/12,Airlines,2083.81,,,
31/07/12,Airlines,919.79,,,
31/07/12,Airlines,-3195.18,,,
16/07/12,Car Hire,9566.15,Transport for Guest of Government visit,,
16/07/12,Car Hire,8096.54,Transport for VIP visit,,
30/07/12,Car Hire,540.00,Transport for VIP visit,,
30/07/12,Car Hire,540.00,,,
20/07/12,Cash,608.59,Fuel for flag car at post,,
02/07/12,Catalogue,900.13,,,
09/07/12,Catalogue,818.40,,,
11/07/12,Catalogue,608.44,,,
13/07/12,Catalogue,1142.24,Catering equipment for use at official events,,
16/07/12,Catalogue,539.96,,,
18/07/12,Catalogue,657.12,,,
18/07/12,Catalogue,2974.42,,,
18/07/12,Catalogue,623.40,Official mobile phone provider charges,,
18/07/12,Catalogue,2465.82,,,
18/07/12,Catalogue,3607.58,,,
18/07/12,Catalogue,3607.58,,,
18/07/12,Catalogue,3607.57,Official mobile phone provider charges,,
18/07/12,Catalogue,2176.49,,,
18/07/12,Catalogue,1786.38,,,
18/07/12,Catalogue,2432.02,,,
19/07/12,Catalogue,858.08,Official mobile phone provider charges,,
19/07/12,Catalogue,764.47,,,
19/07/12,Catalogue,702.39,,,
19/07/12,Catalogue,610.55,,,
19/07/12,Catalogue,1162.12,Official mobile phone provider charges,,
19/07/12,Catalogue,664.24,,,
19/07/12,Catalogue,839.79,,,
19/07/12,Catalogue,1470.14,,,
19/07/12,Catalogue,509.70,Official mobile phone provider charges,,
19/07/12,Catalogue,557.42,,,
23/07/12,Catalogue,954.75,,,
25/07/12,Catalogue,1003.84,,,
02/07/12,Diy & Household Stores,2840.40,White goods for use at official functions,,
05/07/12,Diy & Household Stores,613.76,,,
06/07/12,Diy & Household Stores,681.96,,,
06/07/12,Diy & Household Stores,852.24,,,
09/07/12,Diy & Household Stores,854.93,,,
10/07/12,Diy & Household Stores,972.00,Goods for use at official functions,,
12/07/12,Diy & Household Stores,1419.60,,,
16/07/12,Diy & Household Stores,727.89,,,
16/07/12,Diy & Household Stores,1637.02,White goods for use at official functions,,
17/07/12,Diy & Household Stores,1674.00,,,
18/07/12,Diy & Household Stores,840.79,,,
24/07/12,Diy & Household Stores,4811.97,,,
30/07/12,Diy & Household Stores,829.00,,,
31/07/12,Diy & Household Stores,526.53,,,
02/07/12,Entertainment,572.99,,,
02/07/12,Entertainment,997.02,,,
02/07/12,Entertainment,610.08,,,
02/07/12,Entertainment,596.52,Official contracted catering company,,
03/07/12,Entertainment,878.16,,,
09/07/12,Entertainment,550.90,,,
11/07/12,Entertainment,824.83,Official contracted catering company,,
19/07/12,Entertainment,643.20,,,
19/07/12,Entertainment,1044.30,,,
20/07/12,Entertainment,568.14,,,
25/07/12,Entertainment,1349.72,Official dinner for visiting VIP,,
25/07/12,Entertainment,605.00,,,
27/07/12,Entertainment,556.43,,,
02/07/12,Hotels,864.96,Official travel expenses,,
02/07/12,Hotels,1163.15,,,
02/07/12,Hotels,960.67,,,
02/07/12,Hotels,630.53,,,
02/07/12,Hotels,624.09,,,
02/07/12,Hotels,593.08,,,
02/07/12,Hotels,540.00,,,
02/07/12,Hotels,850.45,,,
02/07/12,Hotels,-611.45,,,
02/07/12,Hotels,-718.94,,,
02/07/12,Hotels,-718.94,,,
02/07/12,Hotels,-718.94,,,
02/07/12,Hotels,613.06,,,
02/07/12,Hotels,570.38,,,
03/07/12,Hotels,1337.05,,,
03/07/12,Hotels,2462.81,,,
04/07/12,Hotels,1468.85,,,
04/07/12,Hotels,574.64,,,
05/07/12,Hotels,1357.07,,,
05/07/12,Hotels,1038.70,,,
06/07/12,Hotels,504.10,,,
06/07/12,Hotels,1149.39,,,
06/07/12,Hotels,1151.37,,,
06/07/12,Hotels,1227.25,,,
06/07/12,Hotels,670.65,,,
06/07/12,Hotels,698.94,,,
09/07/12,Hotels,708.70,,,
09/07/12,Hotels,507.57,,,
09/07/12,Hotels,7720.00,,,
09/07/12,Hotels,629.31,,,
09/07/12,Hotels,780.47,,,
09/07/12,Hotels,780.47,,,
09/07/12,Hotels,780.47,,,
09/07/12,Hotels,780.47,,,
09/07/12,Hotels,531.03,,,
10/07/12,Hotels,1520.00,,,
10/07/12,Hotels,1052.23,,,
11/07/12,Hotels,4486.95,,,
11/07/12,Hotels,868.47,,,
11/07/12,Hotels,518.66,,,
11/07/12,Hotels,1433.75,,,
12/07/12,Hotels,547.42,,,
12/07/12,Hotels,743.63,,,
13/07/12,Hotels,697.34,,,
16/07/12,Hotels,908.69,,,
16/07/12,Hotels,620.00,,,
16/07/12,Hotels,504.00,,,
16/07/12,Hotels,695.28,,,
17/07/12,Hotels,1165.60,,,
19/07/12,Hotels,1046.15,,,
19/07/12,Hotels,1508.20,,,
19/07/12,Hotels,727.54,,,
19/07/12,Hotels,1351.61,,,
20/07/12,Hotels,1226.95,,,
20/07/12,Hotels,976.06,,,
20/07/12,Hotels,1398.79,,,
20/07/12,Hotels,1426.46,,,
20/07/12,Hotels,616.00,,,
20/07/12,Hotels,1916.50,,,
23/07/12,Hotels,548.21,,,
23/07/12,Hotels,533.24,,,
23/07/12,Hotels,729.15,,,
23/07/12,Hotels,1061.99,,,
23/07/12,Hotels,660.19,,,
23/07/12,Hotels,503.53,,,
23/07/12,Hotels,763.19,,,
23/07/12,Hotels,1475.35,,,
23/07/12,Hotels,542.21,,,
24/07/12,Hotels,678.65,,,
24/07/12,Hotels,698.89,,,
25/07/12,Hotels,2210.00,,,
25/07/12,Hotels,569.79,,,
26/07/12,Hotels,770.33,,,
26/07/12,Hotels,642.62,,,
26/07/12,Hotels,755.59,,,
26/07/12,Hotels,755.59,,,
26/07/12,Hotels,755.59,,,
26/07/12,Hotels,981.88,,,
27/07/12,Hotels,661.51,,,
27/07/12,Hotels,726.26,,,
30/07/12,Hotels,625.43,,,
30/07/12,Hotels,4669.00,,,
30/07/12,Hotels,1111.86,,,
30/07/12,Hotels,2161.29,,,
30/07/12,Hotels,1451.75,,,
30/07/12,Hotels,1807.92,,,
30/07/12,Hotels,1639.10,,,
30/07/12,Hotels,723.36,,,
30/07/12,Hotels,854.58,,,
31/07/12,Hotels,1067.73,,,
31/07/12,Hotels,2496.37,,,
31/07/12,Hotels,1137.57,,,
31/07/12,Hotels,2396.51,,,
31/07/12,Hotels,1071.02,,,
03/07/12,Insurance,521.71,,,
03/07/12,Motoring,1149.61,Parts for flag car at post,,
13/07/12,Motoring,660.33,Annual photocopier maintenance contract at post,,
02/07/12,Other Retailers,1041.21,,,
02/07/12,Other Retailers,4393.20,Crockery for Government Hospitality event use,,
06/07/12,Other Retailers,527.54,,,
11/07/12,Other Retailers,929.48,,,
11/07/12,Other Retailers,506.52,Stationery,,
12/07/12,Other Retailers,720.00,,,
12/07/12,Other Retailers,1440.00,Charges for inventory & valuation of Government Hospitality silver stock,,
12/07/12,Other Retailers,1469.60,Disposable cups/cutlery/plates for cafeteria catering use during the British Business Event,,
13/07/12,Other Retailers,847.53,,,
17/07/12,Other Retailers,811.34,,,
19/07/12,Other Retailers,750.00,,,
19/07/12,Other Retailers,741.12,,,
