Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,DORSET FIRE AUTHORITY,,Large,,5000170042,Grant Payable by Exchequer,"44,639.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,DORSET FIRE AUTHORITY,,Large,,5000170043,Grant Payable by Exchequer,"666,334.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,DORSET POLICE AUTHORITY (RSG),,,,5000169952,Grant Payable by Exchequer,"133,052.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,DOVER DC,,,,5000169602,Grant Payable by Exchequer,"15,989.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,DUDLEY MBC,,,,5000169795,Grant Payable by Exchequer,"276,604.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,DURHAM POLICE AUTHORITY,,,,5000169630,Grant Payable by Exchequer,"72,799.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,DURHAM UNITARY AUTHORITY,,,,5000169551,Grant Payable by Exchequer,"497,176.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EALING LB,,,,5000169796,Grant Payable by Exchequer,"314,935.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST CAMBRIDGESHIRE DC,,,,5000169604,Grant Payable by Exchequer,"10,016.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST DEVON DC,,,,5000169606,Grant Payable by Exchequer,"17,377.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST DORSET DC,,,,5000169797,Grant Payable by Exchequer,"18,418.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST HAMPSHIRE DC,,,,5000169609,Grant Payable by Exchequer,"15,869.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST HERTFORDSHIRE DC,,,,5000169611,Grant Payable by Exchequer,"23,123.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST LINDSEY DC,,,,5000169613,Grant Payable by Exchequer,"13,450.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST NORTHAMPTONSHIRE COUNCIL,,,,5000169615,Grant Payable by Exchequer,"9,109.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST RIDING OF YORKS (HSG),,,,5000169617,Grant Payable by Exchequer,"360,650.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST STAFFORDSHIRE BC,,,,5000169619,Grant Payable by Exchequer,"17,445.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX COUNTY CNCL,,,,5000169798,Grant Payable by Exchequer,"598,039.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX FIRE AUTHORITY,,Large,,5000168961,Grant Payable by Exchequer,"6,571.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX FIRE AUTHORITY,,Large,,5000169526,Grant Payable by Exchequer,"3,718,400.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX FIRE AUTHORITY,,Large,,5000169527,Grant Payable by Exchequer,"557,222.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX FIRE AUTHORITY,,Large,,5000169528,Grant Payable by Exchequer,"61,686.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EASTBOURNE BC,,,,5000169799,Grant Payable by Exchequer,"20,602.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EASTLEIGH BOROUGH COUNCIL,,,,5000169800,Grant Payable by Exchequer,"14,946.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EDEN DC (HSG),,,,5000169621,Grant Payable by Exchequer,"8,984.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ELMBRIDGE BC (HSG),,,,5000169623,Grant Payable by Exchequer,"31,281.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ENFIELD LB,,,,5000169801,Grant Payable by Exchequer,"303,183.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EPPING FOREST DC,,,,5000169802,Grant Payable by Exchequer,"20,310.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EPSOM & EWELL BC,,,,5000169803,Grant Payable by Exchequer,"12,976.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EREWASH BC,,,,5000169804,Grant Payable by Exchequer,"14,685.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX COUNTY CNCL,,,,5000169805,Grant Payable by Exchequer,"1,446,714.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX FIRE AUTHORITY,,Large,,5000168941,Grant Payable by Exchequer,"92,149.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX FIRE AUTHORITY,,Large,,5000169988,Grant Payable by Exchequer,"6,238,400.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX FIRE AUTHORITY,,Large,,5000169989,Grant Payable by Exchequer,"3,832,800.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX FIRE AUTHORITY,,Large,,5000169990,Grant Payable by Exchequer,"107,230.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX POLICE AUTHORITY,,,,5000169632,Grant Payable by Exchequer,"213,298.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,EXETER CITY CNCL,,,,5000169806,Grant Payable by Exchequer,"11,842.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,FAREHAM BC,,,,5000169625,Grant Payable by Exchequer,"15,002.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,FENLAND DC,,,,5000169627,Grant Payable by Exchequer,"18,583.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,FOREST HEATH DISTRICT COUNCIL,,,,5000169629,Grant Payable by Exchequer,"6,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,FOREST OF DEAN DC,,,,5000169631,Grant Payable by Exchequer,"11,882.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,FYLDE BC,,,,5000169807,Grant Payable by Exchequer,"14,048.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GATESHEAD MBC,,,,5000169808,Grant Payable by Exchequer,"213,745.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GEDLING BC,,,,5000169809,Grant Payable by Exchequer,"13,890.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTER CITY CNCL,,,,5000169810,Grant Payable by Exchequer,"17,655.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE CONSTABULARY (RS,,,,5000169953,Grant Payable by Exchequer,"111,675.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE COUNTY CNCL,,,,5000169811,Grant Payable by Exchequer,"609,855.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE COUNTY COUNCIL,,,,5000168969,Grant Payable by Exchequer,"9,791.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE COUNTY COUNCIL,,,,5000169581,Grant Payable by Exchequer,"1,418,439.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE COUNTY COUNCIL,,,,5000169583,Grant Payable by Exchequer,"93,535.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GMRB,,,,5000169772,Grant Payable by Exchequer,"188,688.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GOSPORT BOROUGH COUNCIL,,,,5000169812,Grant Payable by Exchequer,"13,992.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GRAVESHAM BC,,,,5000169813,Grant Payable by Exchequer,"14,641.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREAT YARMOUTH BC,,,,5000169814,Grant Payable by Exchequer,"11,529.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER LONDON AUTHORITY,,,,5000169668,Grant Payable by Exchequer,"2,337,223.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER LONDON AUTHORITY (RSG),,Large,,5000168932,Grant Payable by Exchequer,"717,803.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER FIRE (RSG),,,,5000168933,Grant Payable by Exchequer,"166,186.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER FIRE (RSG),,,,5000169954,Grant Payable by Exchequer,"4,216,175.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER FIRE (RSG),,,,5000169955,Grant Payable by Exchequer,"17,796,000.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER FIRE (RSG),,,,5000169956,Grant Payable by Exchequer,"105,788.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREATER MANCHESTER POL AUTH (RSG,,,,5000169957,Grant Payable by Exchequer,"289,996.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GREENWICH LB,,,,5000169815,Grant Payable by Exchequer,"195,232.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,GUILDFORD BC,,,,5000169633,Grant Payable by Exchequer,"20,588.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HALTON BC (HSG),,,,5000169635,Grant Payable by Exchequer,"108,671.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMBLETON DC (HSG),,,,5000169637,Grant Payable by Exchequer,"8,080.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMMERSMITH & FULHAM LB,,,,5000169817,Grant Payable by Exchequer,"161,948.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE COUNTY COUNCIL,,,,5000169818,Grant Payable by Exchequer,"1,316,067.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,Large,,5000168958,Grant Payable by Exchequer,"95,938.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,Large,,5000170045,Grant Payable by Exchequer,"5,319,972.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE FIRE & RESCUE AUTHORITY,,Large,,5000170046,Grant Payable by Exchequer,"97,253.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE POLICE AUTHORITY,,,,5000169634,Grant Payable by Exchequer,"251,994.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HARBOROUGH DC (HSG),,,,5000169639,Grant Payable by Exchequer,"13,960.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HARINGEY LB,,,,5000169819,Grant Payable by Exchequer,"256,250.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HARLOW DISTRICT COUNCIL,,,,5000169820,Grant Payable by Exchequer,"18,021.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HARROGATE BC,,,,5000169641,Grant Payable by Exchequer,"34,154.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HARROW LB,,,,5000169821,Grant Payable by Exchequer,"258,513.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HART DC,,,,5000169822,Grant Payable by Exchequer,"14,412.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HARTLEPOOL BOROUGH COUNCIL,,,,5000169823,Grant Payable by Exchequer,"99,172.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HASTINGS BC,,,,5000169824,Grant Payable by Exchequer,"17,371.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAVANT BC,,,,5000169825,Grant Payable by Exchequer,"20,688.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HAVERING LB,,,,5000169826,Grant Payable by Exchequer,"268,019.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORD WORCESTER FIRE BRIGADE,,Large,,5000168952,Grant Payable by Exchequer,"97,411.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORD WORCESTER FIRE BRIGADE,,Large,,5000170024,Grant Payable by Exchequer,"1,749,070.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORD WORCESTER FIRE BRIGADE,,Large,,5000170025,Grant Payable by Exchequer,"51,890.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORD WORCESTER FIRE BRIGADE,,Large,,5000170026,Grant Payable by Exchequer,"2,429,600.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORDSHIRE COUNCIL,,,,5000169643,Grant Payable by Exchequer,"215,307.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE CC,,,,5000168970,Grant Payable by Exchequer,"11,853.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE CC,,,,5000169585,Grant Payable by Exchequer,"4,272,960.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE CC,,,,5000169587,Grant Payable by Exchequer,"806,569.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE COUNTY CNCL,,,,5000169827,Grant Payable by Exchequer,"1,256,657.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE POLICE AUTHORITY,,,,5000169636,Grant Payable by Exchequer,"166,030.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTSMERE BC,,,,5000169828,Grant Payable by Exchequer,"16,465.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HIGH PEAK BC,,,,5000169645,Grant Payable by Exchequer,"13,953.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HILLINGDON LB,,,,5000169829,Grant Payable by Exchequer,"275,779.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HINCKLEY & BOSWORTH BC,,,,5000169647,Grant Payable by Exchequer,"10,492.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HORSHAM DC,,,,5000169649,Grant Payable by Exchequer,"20,317.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HOUNSLOW LB,,,,5000169830,Grant Payable by Exchequer,"236,775.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HULL CITY COUNCIL,,,,5000169839,Grant Payable by Exchequer,"192,850.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,,,5000168944,Grant Payable by Exchequer,"7,246.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,,,5000169998,Grant Payable by Exchequer,"653,521.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,,,5000169999,Grant Payable by Exchequer,"5,649,462.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE FIRE & RESCUE SERVICE,,,,5000170000,Grant Payable by Exchequer,"56,143.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HUMBERSIDE POLICE,,,,5000169638,Grant Payable by Exchequer,"119,945.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HUNTINGDONSHIRE DC,,,,5000169651,Grant Payable by Exchequer,"18,458.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,HYNDBURN BC,,,,5000169831,Grant Payable by Exchequer,"13,551.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,IPSWICH BC,,,,5000169832,Grant Payable by Exchequer,"32,363.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF SCILLY FIRE AND RESCUE SERV,,,,5000168964,Grant Payable by Exchequer,917.00,Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF WIGHT CNCL,,,,5000169833,Grant Payable by Exchequer,"178,776.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF WIGHT COUNCIL,,,,5000168971,Grant Payable by Exchequer,"4,061.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF WIGHT COUNCIL,,,,5000169591,Grant Payable by Exchequer,"393,371.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLES OF SCILLY COUNCIL,,,,5000169834,Grant Payable by Exchequer,"3,059.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLINGTON LB,,,,5000169835,Grant Payable by Exchequer,"211,535.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,Large,,5000168945,Grant Payable by Exchequer,"98,718.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,Large,,5000170001,Grant Payable by Exchequer,"107,966.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,Large,,5000170002,Grant Payable by Exchequer,"5,137,647.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT & MEDWAY TOWNS FIRE AUTHORITY,,Large,,5000170003,Grant Payable by Exchequer,"2,683,567.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT COUNTY CNCL,,,,5000169837,Grant Payable by Exchequer,"1,434,222.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT POLICE AUTHORITY,,,,5000169958,Grant Payable by Exchequer,"220,349.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KETTERING BC,,,,5000169838,Grant Payable by Exchequer,"15,971.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KINGS LYNN & WEST NORFOLK BC,,,,5000169653,Grant Payable by Exchequer,"15,744.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KINGSTON UPON THAMES  (HSG),,,,5000169655,Grant Payable by Exchequer,"212,560.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KIRKLEES COUNCIL (HSG),,,,5000169657,Grant Payable by Exchequer,"388,720.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,KNOWSLEY MBC,,,,5000169840,Grant Payable by Exchequer,"131,256.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,Large,,5000168954,Grant Payable by Exchequer,"91,829.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,Large,,5000170031,Grant Payable by Exchequer,"3,409,390.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,Large,,5000170032,Grant Payable by Exchequer,"74,590.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COMBINED FIRE AUTHORITY,,Large,,5000170033,Grant Payable by Exchequer,"6,402,880.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COUNTY CNCL,,,,5000169842,Grant Payable by Exchequer,"1,061,826.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE POLICE AUTHORITY,,,,5000169640,Grant Payable by Exchequer,"171,410.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASTER CITY CNCL,,,,5000169659,Grant Payable by Exchequer,"20,883.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEEDS CITY CNCL,,,,5000169843,Grant Payable by Exchequer,"669,170.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICESTER CITY CNCL (HSG),,,,5000169661,Grant Payable by Exchequer,"234,225.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICESTERSHIRE COUNTY CNCL,,,,5000169844,Grant Payable by Exchequer,"597,052.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICESTERSHIRE POLICE AUTHORITY,,,,5000169642,Grant Payable by Exchequer,"134,947.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,,,5000168960,Grant Payable by Exchequer,"213,706.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,,,5000170051,Grant Payable by Exchequer,"3,174,731.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,,,5000170052,Grant Payable by Exchequer,"42,466.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICS LEICESTERSHIRE RUTLAND CFA,,,,5000170053,Grant Payable by Exchequer,"2,113,964.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEWES DC,,,,5000169663,Grant Payable by Exchequer,"18,528.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LEWISHAM LB (HSG),,,,5000169665,Grant Payable by Exchequer,"230,533.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LICHFIELD DC,,,,5000169845,Grant Payable by Exchequer,"13,474.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE CC,,,,5000168972,Grant Payable by Exchequer,"101,119.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE CC,,,,5000169597,Grant Payable by Exchequer,"1,580,800.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE CC,,,,5000169599,Grant Payable by Exchequer,"1,425,643.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE COUNTY CNCL,,,,5000169847,Grant Payable by Exchequer,"629,300.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE POLICE AUTHORITY,,,,5000169644,Grant Payable by Exchequer,"105,866.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LIVERPOOL CITY COUNCIL,,,,5000169848,Grant Payable by Exchequer,"406,818.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,LONDON BOROUGH OF HACKNEY,,,,5000169816,Grant Payable by Exchequer,"189,937.00",Yes
