Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Net Total 
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,M J FERGUSON LTD,1018447,1815.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Leased Buildings - Clearing,Finance & Commercial Group - Information and Workplace Strategies,M J FERGUSON LTD,1018448,65736.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Grant in Aid - Current -Other,Business & Skills Group - Enterprise Directorate,CAPITAL FOR ENTERPRISE LTD,1018128,8.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,CARDIFF COUNTY COUNCIL,1018421,114998.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Departmental Sponsored Training (Programme),Knowledge and Innovation Group - Learners,MINISTRY OF DEFENCE,1018422,2838
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Departmental Sponsored Training (Programme),Knowledge and Innovation Group - Learners,MINISTRY OF DEFENCE,1018424,2450
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Non-Grant in Aid Funding of Bodies (Departmental and Non-Departmental),Market and Frameworks Group - Insolvency Service,THE INSOLVENCY SERVICE,1018413,2000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",KJB Partners Ltd,1018427,2341.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",KJB Partners Ltd,1018430,2902.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",MENDIP MEDIA GROUP LTD,1018445,791.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",MENDIP MEDIA GROUP LTD,1018446,350
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",FCO SERVICES,1018451,574.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,E-ON ENERGY LTD,1018423,992.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,E-ON ENERGY LTD,1018423,194.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,E-ON ENERGY LTD,1018428,737.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,E-ON ENERGY LTD,1018428,144.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Service Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,CB RICHARD ELLIS,1018463,64715.15
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Service Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,CB RICHARD ELLIS,1018465,61903.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,IT Services (Programme),"Legal, People & Communications Group - Communications Directorate",DOUGLAS LANG T/A NETDOTNET,1018355,135
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,IT Services (Programme),"Legal, People & Communications Group - Communications Directorate",FUJITSU SERVICES LTD,1018468,60
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,IT Services (Programme),"Legal, People & Communications Group - Communications Directorate",FUJITSU SERVICES LTD,1018473,60
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Interest on Post Office Working Captial Loans,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1018452,-4421.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1018452,100000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Advanced Manufacturing Industries,O2,1018367,14.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Line Rental,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1018396,87.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Line Rental,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1018396,48.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1018277,4.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Telecommunications,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1018277,52.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Professional Subscriptions,Business & Skills Group - Advanced Manufacturing Industries,"Personal Expense, Name Witheld.",10275531,300
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Call Charges,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1018398,3.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Call Charges,Business & Skills Group - Advanced Manufacturing Industries,VODAFONE LTD,1018398,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Economic Development Directorate,VODAFONE LTD,1017688,0.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Economic Development Directorate,VODAFONE LTD,1017688,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Economic Development Directorate,VODAFONE LTD,1017691,2.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Economic Development Directorate,VODAFONE LTD,1017691,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Economic Development Directorate,VODAFONE LTD,1018309,97.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Economic Development Directorate,VODAFONE LTD,1018309,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1018106,765.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1018108,532.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Corporate Management Consultancy,Business & Skills Group - Enterprise Directorate,KEMPSHOTT RESEARCH MANAGEMENT,1018458,2242.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Enterprise Directorate,VODAFONE LTD,1018395,0.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Enterprise Directorate,VODAFONE LTD,1018395,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Rail Fares,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275524,112
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hotels Overseas,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275524,58.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Subsistence Payments Overseas,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275524,27.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Other Overseas Travel & Subsistence,Business & Skills Group - Information Economy,"Personal Expense, Name Witheld.",10275524,10.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018368,6.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018368,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018372,8.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018372,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018375,3.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018375,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018377,0.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018377,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018381,1.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018381,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018384,0.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018384,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018400,0.27
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018400,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018401,6.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Business & Skills Group - Information Economy,VODAFONE LTD,1018401,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Chief Economic Advisor &BRE Group - Better Regulation Executive (BRE),ADECCO UK LTD,1017502,774.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Other Accommodation Charges,Chief Economic Advisor &BRE Group - IEBRE Central Support,COMPETITION COMMISSION,1018482,888.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Finance Training,Finance & Commercial Group - Finance Group,NATIONAL SCHOOL OF GOVERNMENT (CMPS),1017855,925
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Finance & Commercial Group - Information and Workplace Strategies,BROOK STREET (UK) LTD,1018408,823.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Professional Subscriptions,Finance & Commercial Group - Information and Workplace Strategies,"Personal Expense, Name Witheld.",10275532,189
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Professional Subscriptions,Finance & Commercial Group - Information and Workplace Strategies,"Personal Expense, Name Witheld.",10275533,189
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Professional Subscriptions,Finance & Commercial Group - Information and Workplace Strategies,"Personal Expense, Name Witheld.",10275534,189
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Professional Subscriptions,Finance & Commercial Group - Information and Workplace Strategies,"Personal Expense, Name Witheld.",10275535,189
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1018321,62.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Secondees (not paid directly),Knowledge and Innovation Group - Government Office For Science,DSTL,1018459,7595.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Secondees (not paid directly),Knowledge and Innovation Group - Government Office For Science,DSTL,1018460,8612.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10275523,6.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hotels Overseas,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10275523,77.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Government Office For Science,"Personal Expense, Name Witheld.",10275523,10.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Publications,Knowledge and Innovation Group - Higher Education Admin,JONES YARRELL LEADENHALL,1018429,15.44
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Rail Fares,Knowledge and Innovation Group - Office of the Knowledge & Innovation DG,"Personal Expense, Name Witheld.",10275538,8.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Subsistence Payments,Knowledge and Innovation Group - Office of the Knowledge & Innovation DG,"Personal Expense, Name Witheld.",10275538,3.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Taxis Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275522,39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275522,321.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10275522,43.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Publications,Knowledge and Innovation Group - Research Base,THE PARLIAMENTARY AND SCIENTIFIC COMMITTEE,1018382,70
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Publications,"Legal, People & Communications Group - Communications Directorate",JONES YARRELL LEADENHALL,1018331,68.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Publications,"Legal, People & Communications Group - Communications Directorate",JONES YARRELL LEADENHALL,1018454,409.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Taxis,"Legal, People & Communications Group - Communications Directorate",ADDISON LEE plc,1018456,348.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",BROOK STREET (UK) LTD,1018404,423.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",BROOK STREET (UK) LTD,1018406,411.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Publications,"Legal, People & Communications Group - Legal",LEXISNEXIS BUTTERWORTHS,1018327,370.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Computer Consumables,Market and Frameworks Group - ECO,XMA LTD,1018330,89.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Market and Frameworks Group - Fair Markets Director General's Office,VODAFONE LTD,1018276,6.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mobile Phones,Market and Frameworks Group - Fair Markets Director General's Office,VODAFONE LTD,1018276,6.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Reprographic Equipment,Market and Frameworks Group - Fair Markets Director General's Office,COPIERTEC LTD,1018466,99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1018126,485.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1017620,-11.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1017620,-5.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1018126,230.62
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Publications,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,JONES YARRELL LEADENHALL,1018449,706.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,HAYS SPECIALIST RECRUITMENT LTD,1018434,531
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,HAYS SPECIALIST RECRUITMENT LTD,1018436,424.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,HAYS SPECIALIST RECRUITMENT LTD,1018437,460.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Publications,Office of Manpower Economics - Office of Manpower Economics,JONES YARRELL LEADENHALL,1018316,94.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,BROOK STREET (UK) LTD,1018407,1012.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,BROOK STREET (UK) LTD,1018412,753.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Entertaining UK,Shareholder Executive - Shareholder Executive,SEARCY TANSLEY & CO LTD,1018442,120
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Professional Training,Shareholder Executive - Shareholder Executive,THE WHITEHALL AND INDUSTRY GROUP,1018477,450
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1018470,186.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,CAPGEMINI UK plc,1018201,130.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Standard Desktop Plus Services,Finance & Commercial Group - Information and Workplace Strategies,CAPGEMINI UK plc,1018203,99794.64
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1018231,1973.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Flexible Computing Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1018353,53522.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1018369,44.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1018374,1849.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1018376,292.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,ICT Infrastructure Specific Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1018378,1753.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,CAPGEMINI UK plc,1018202,1915.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Maintenance,Finance & Commercial Group - Information and Workplace Strategies,BAXTERSTOREY LTD,1016690,1118
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Utilities,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS plc,1018242,227.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Utilities,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS plc,1018242,97.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Utilities,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS plc,1018242,32.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Utilities,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS plc,1018242,130
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Utilities,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS plc,1018242,32.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Courier Services,Finance & Commercial Group - Information and Workplace Strategies,TNT INTERNATIONAL UK,1018431,59.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Courier Services,Finance & Commercial Group - Information and Workplace Strategies,TNT UK LTD,1018435,82.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Storage and Distribution,Finance & Commercial Group - Information and Workplace Strategies,DRAGON FIRE & SECURITY SYSTEMS LTD,1018467,30
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Economic Consultancy and Research,Business & Skills Group - Enterprise Directorate,INSTITUTE FOR EMPLOYMENT STUDIES,1018388,4000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Economic Consultancy and Research,Business & Skills Group - Enterprise Directorate,INSTITUTE FOR EMPLOYMENT STUDIES,1018385,10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Capital Grants - Other,Business & Skills Group - Business Competitiveness - Secretariat/GRU,SCIENCE & TECHNOLOGY FACILITIES COUNCIL,1018294,2974027.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Grants - Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,CENEX,1018399,13360.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Capital Grants - Other,Knowledge and Innovation Group - Research Base,DEPARTMENT FOR EMPLOYMENT AND LEARNING,1018433,1293150
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Grants - Statutory - Current - Other,Knowledge and Innovation Group - Research Base,Department of Energy & Climate Change,1018464,33000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Subsistence Payments (Programme),Knowledge and Innovation Group - Research Base,UNIVERSITY OF HULL,1018306,3333.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ESCOTT HUNT LTD,1018370,1430
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,STAIRWAY COMMUNICATIONS LTD,1018386,360
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Hire of Agency Staff (NDPB use only),Shareholder Executive - Shareholder Executive,BROOK STREET (UK) LTD,1018371,372.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Grant in Aid - Current -Other,Business & Skills Group - Skills Directorate,UK COMMISSION FOR EMPLOYMENT AND SKILLS (UKCES),1018409,4978000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Further Education,PRISONERS EDUCATION TRUST,1018475,11615
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Further Education,PRISONERS EDUCATION TRUST,1018475,48076
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Grants - Non Statutory - Current - Other,Business & Skills Group - Further Education,PRISONERS EDUCATION TRUST,1018475,31326
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mileage Allowances (Programme),Business & Skills Group - Government Skills,"Personal Expense, Name Witheld.",10275536,230.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Subsistence Payments (Programme),Business & Skills Group - Government Skills,"Personal Expense, Name Witheld.",10275536,102.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Others UK T&S (Programme),Business & Skills Group - Government Skills,"Personal Expense, Name Witheld.",10275536,107
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Mileage Allowances (Programme),Business & Skills Group - Government Skills,"Personal Expense, Name Witheld.",10275537,230.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Subsistence Payments (Programme),Business & Skills Group - Government Skills,"Personal Expense, Name Witheld.",10275537,110.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/02/2011,Others UK T&S (Programme),Business & Skills Group - Government Skills,"Personal Expense, Name Witheld.",10275537,107
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/02/2011,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1018272,19680
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/02/2011,Grants - Statutory - Current - Other,Knowledge and Innovation Group - UK Space Agency,CALLINGTON COMMUNITY COLLEGE,1018544,1100
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/02/2011,Capital Grants - Other,Business & Skills Group - Economic Development Directorate,YORKSHIRE FORWARD,1018506,488358
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/02/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",MORECROFTS LLP,1018510,386.14
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/02/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",FABER & CO,1018512,167.32
