Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary."
21/05/12,Airlines,2202.29,
21/05/12,Airlines,-1231.90,
21/05/12,Airlines,-1231.90,
21/05/12,Airlines,667.40,
21/05/12,Airlines,983.40,
21/05/12,Airlines,983.40,
21/05/12,Airlines,1084.89,
21/05/12,Airlines,943.29,
21/05/12,Airlines,943.29,
21/05/12,Airlines,1788.79,
22/05/12,Airlines,3610.53,
22/05/12,Airlines,1313.49,
22/05/12,Airlines,771.50,
22/05/12,Airlines,1583.99,
22/05/12,Airlines,4327.56,
22/05/12,Airlines,803.79,
22/05/12,Airlines,803.79,
22/05/12,Airlines,1145.19,
22/05/12,Airlines,2001.20,
22/05/12,Airlines,524.90,
22/05/12,Airlines,1497.20,
22/05/12,Airlines,2262.90,
22/05/12,Airlines,565.39,
22/05/12,Airlines,565.39,
23/05/12,Airlines,824.89,
23/05/12,Airlines,794.89,
23/05/12,Airlines,2947.10,
23/05/12,Airlines,1577.49,
23/05/12,Airlines,1235.30,
23/05/12,Airlines,1235.30,
23/05/12,Airlines,1350.99,
23/05/12,Airlines,1350.99,
23/05/12,Airlines,-1715.50,
23/05/12,Airlines,587.99,
23/05/12,Airlines,587.99,
23/05/12,Airlines,587.99,
23/05/12,Airlines,587.99,
23/05/12,Airlines,669.76,
23/05/12,Airlines,876.90,
23/05/12,Airlines,829.45,
23/05/12,Airlines,1213.29,
23/05/12,Airlines,1083.59,
23/05/12,Airlines,1171.59,
23/05/12,Airlines,950.59,
23/05/12,Airlines,943.29,
23/05/12,Airlines,943.29,
23/05/12,Airlines,1495.09,
23/05/12,Airlines,2521.40,
23/05/12,Airlines,597.19,
23/05/12,Airlines,527.40,
23/05/12,Airlines,527.40,
23/05/12,Airlines,527.40,
24/05/12,Airlines,627.00,
24/05/12,Airlines,517.79,
24/05/12,Airlines,1094.89,
24/05/12,Airlines,1164.99,
24/05/12,Airlines,669.76,
24/05/12,Airlines,879.89,
24/05/12,Airlines,879.89,
24/05/12,Airlines,2804.49,
24/05/12,Airlines,658.79,
24/05/12,Airlines,772.99,
24/05/12,Airlines,910.71,
24/05/12,Airlines,817.31,
24/05/12,Airlines,-1465.20,
24/05/12,Airlines,841.00,
24/05/12,Airlines,841.00,
24/05/12,Airlines,824.89,
24/05/12,Airlines,634.79,
25/05/12,Airlines,1278.99,
25/05/12,Airlines,1482.19,
25/05/12,Airlines,945.70,
25/05/12,Airlines,1876.30,
25/05/12,Airlines,696.29,
25/05/12,Airlines,696.29,
25/05/12,Airlines,863.89,
25/05/12,Airlines,721.79,
25/05/12,Airlines,899.09,
25/05/12,Airlines,880.99,
25/05/12,Airlines,644.96,
25/05/12,Airlines,2782.43,
28/05/12,Airlines,518.49,
28/05/12,Airlines,-2784.15,
28/05/12,Airlines,-2784.15,
28/05/12,Airlines,740.50,
28/05/12,Airlines,840.69,
28/05/12,Airlines,948.99,
28/05/12,Airlines,517.39,
28/05/12,Airlines,1140.99,
28/05/12,Airlines,718.99,
28/05/12,Airlines,980.99,
28/05/12,Airlines,842.69,
28/05/12,Airlines,870.69,
28/05/12,Airlines,870.69,
28/05/12,Airlines,-1136.49,
28/05/12,Airlines,925.32,
28/05/12,Airlines,578.81,
28/05/12,Airlines,2794.19,
28/05/12,Airlines,-2151.49,
28/05/12,Airlines,680.87,
28/05/12,Airlines,1795.19,
28/05/12,Airlines,949.00,
28/05/12,Airlines,935.49,
28/05/12,Airlines,2448.19,
28/05/12,Airlines,1216.79,
28/05/12,Airlines,1150.79,
28/05/12,Airlines,577.69,
28/05/12,Airlines,-2804.49,
28/05/12,Airlines,-1482.19,
28/05/12,Airlines,-2793.19,
28/05/12,Airlines,968.30,
28/05/12,Airlines,1478.80,
28/05/12,Airlines,1505.39,
28/05/12,Airlines,1458.39,
29/05/12,Airlines,1994.53,
29/05/12,Airlines,2231.99,
29/05/12,Airlines,1424.09,
29/05/12,Airlines,591.10,
29/05/12,Airlines,591.10,
29/05/12,Airlines,3749.11,
29/05/12,Airlines,506.31,
29/05/12,Airlines,1647.09,
29/05/12,Airlines,5086.45,
29/05/12,Airlines,5086.45,
29/05/12,Airlines,-528.20,
29/05/12,Airlines,-528.20,
30/05/12,Airlines,3254.97,
30/05/12,Airlines,821.11,
30/05/12,Airlines,528.00,
30/05/12,Airlines,566.36,
30/05/12,Airlines,1015.79,
30/05/12,Airlines,2391.69,
30/05/12,Airlines,550.75,
30/05/12,Airlines,3330.19,
30/05/12,Airlines,3330.19,
30/05/12,Airlines,817.10,
30/05/12,Airlines,3063.79,
30/05/12,Airlines,936.19,
30/05/12,Airlines,4818.99,
30/05/12,Airlines,725.90,
30/05/12,Airlines,2740.39,
31/05/12,Airlines,3138.39,
31/05/12,Airlines,690.90,
31/05/12,Airlines,1788.29,
31/05/12,Airlines,996.11,
31/05/12,Airlines,502.00,
31/05/12,Airlines,537.02,
31/05/12,Airlines,569.90,
03/05/12,Car Hire,1380.20,Transport for participants in bilateral Roundtable
14/05/12,Car Hire,2070.30,
16/05/12,Car Hire,4148.02,Transport for Guest of Government visit
16/05/12,Car Hire,1293.84,
21/05/12,Car Hire,5296.01,Transport for Guest of Government visit
23/05/12,Car Hire,1137.12,
15/05/12,Catalogue,551.88,
18/05/12,Catalogue,-1040.64,
23/05/12,Catalogue,674.95,Official mobile phone provider charges
23/05/12,Catalogue,4291.25,Official mobile phone provider charges
23/05/12,Catalogue,2282.33,Official mobile phone provider charges
24/05/12,Catalogue,688.63,Official mobile phone provider charges
24/05/12,Catalogue,1593.87,Official mobile phone provider charges
24/05/12,Catalogue,682.03,Official mobile phone provider charges
24/05/12,Catalogue,859.09,Official mobile phone provider charges
24/05/12,Catalogue,1595.87,Official mobile phone provider charges
24/05/12,Catalogue,525.30,Official mobile phone provider charges
24/05/12,Catalogue,506.87,Official mobile phone provider charges
24/05/12,Catalogue,4430.89,Official mobile phone provider charges
24/05/12,Catalogue,4430.90,Official mobile phone provider charges
24/05/12,Catalogue,1721.83,Official mobile phone provider charges
24/05/12,Catalogue,1416.40,Official mobile phone provider charges
24/05/12,Catalogue,3128.83,Official mobile phone provider charges
24/05/12,Catalogue,631.41,Official mobile phone provider charges
24/05/12,Catalogue,736.03,Official mobile phone provider charges
24/05/12,Catalogue,597.06,Official mobile phone provider charges
30/05/12,Catalogue,1079.27,Purchase of flight for official travel
30/05/12,Catalogue,1079.27,Purchase of flight for official travel
30/05/12,Catalogue,1079.27,Purchase of flight for official travel
03/05/12,Clothing,1322.50,Uniform (& alterations) for Government Hospitality butler
17/05/12,Department Stores,1258.21,Furniture for staff accommodation overseas
21/05/12,Department Stores,872.25,Furniture for staff accommodation overseas
01/05/12,Diy & Household Stores,764.22,
04/05/12,Diy & Household Stores,609.60,Lighting for compound overseas
14/05/12,Diy & Household Stores,1187.70,
17/05/12,Diy & Household Stores,513.29,Domestic equipment for accommodation overseas
21/05/12,Diy & Household Stores,1218.39,
23/05/12,Diy & Household Stores,1433.59,Goods for Olympics public diplomacy event
28/05/12,Diy & Household Stores,946.70,
30/05/12,Diy & Household Stores,628.80,
03/05/12,Entertainment,911.10,Officially contracted catering company
03/05/12,Entertainment,810.00,
03/05/12,Entertainment,810.00,
03/05/12,Entertainment,730.25,Officially contracted catering company
03/05/12,Entertainment,560.40,
07/05/12,Entertainment,516.00,
18/05/12,Entertainment,633.60,Official lunch for VIP visitor
21/05/12,Entertainment,886.05,
28/05/12,Entertainment,529.93,
25/05/12,Food & Drink,917.34,Stock for wine cellar
01/05/12,Hotels,885.81,
01/05/12,Hotels,-1030.16,
01/05/12,Hotels,962.00,
02/05/12,Hotels,560.00,
04/05/12,Hotels,768.04,
04/05/12,Hotels,531.90,
07/05/12,Hotels,502.95,
07/05/12,Hotels,1575.77,
07/05/12,Hotels,771.45,
07/05/12,Hotels,1204.40,
07/05/12,Hotels,986.50,
07/05/12,Hotels,863.70,
07/05/12,Hotels,600.00,
07/05/12,Hotels,628.85,
07/05/12,Hotels,686.42,
07/05/12,Hotels,739.71,
07/05/12,Hotels,834.00,
07/05/12,Hotels,734.63,
07/05/12,Hotels,900.00,
07/05/12,Hotels,1136.80,
08/05/12,Hotels,3202.86,
09/05/12,Hotels,791.01,
09/05/12,Hotels,500.00,
09/05/12,Hotels,1094.11,
09/05/12,Hotels,752.76,
10/05/12,Hotels,920.00,
10/05/12,Hotels,920.00,
10/05/12,Hotels,920.00,
11/05/12,Hotels,1575.78,
11/05/12,Hotels,566.81,
11/05/12,Hotels,544.73,
14/05/12,Hotels,521.74,
14/05/12,Hotels,714.00,
14/05/12,Hotels,1259.80,
14/05/12,Hotels,730.00,
14/05/12,Hotels,550.83,
14/05/12,Hotels,599.91,
14/05/12,Hotels,598.52,
15/05/12,Hotels,590.82,
15/05/12,Hotels,1095.00,
15/05/12,Hotels,1095.00,
15/05/12,Hotels,637.50,
15/05/12,Hotels,525.06,
16/05/12,Hotels,503.95,
16/05/12,Hotels,1111.25,
17/05/12,Hotels,1210.79,
17/05/12,Hotels,572.40,
17/05/12,Hotels,1452.00,
18/05/12,Hotels,1422.79,
18/05/12,Hotels,785.84,
18/05/12,Hotels,913.37,
18/05/12,Hotels,5000.00,
18/05/12,Hotels,5000.00,
18/05/12,Hotels,5000.00,
18/05/12,Hotels,5000.00,
18/05/12,Hotels,5000.00,
18/05/12,Hotels,1202.44,
21/05/12,Hotels,994.70,
21/05/12,Hotels,1408.55,
21/05/12,Hotels,785.25,
21/05/12,Hotels,1255.00,
21/05/12,Hotels,1297.78,
21/05/12,Hotels,888.00,
21/05/12,Hotels,10000.00,
21/05/12,Hotels,7000.00,
21/05/12,Hotels,5559.93,
21/05/12,Hotels,1282.02,
22/05/12,Hotels,937.71,
22/05/12,Hotels,716.60,
22/05/12,Hotels,762.81,
23/05/12,Hotels,1263.46,
23/05/12,Hotels,1263.46,
28/05/12,Hotels,573.60,
28/05/12,Hotels,659.17,
28/05/12,Hotels,784.31,
28/05/12,Hotels,2997.16,
28/05/12,Hotels,528.61,
28/05/12,Hotels,535.73,
28/05/12,Hotels,742.31,
28/05/12,Hotels,625.99,
28/05/12,Hotels,4142.94,
28/05/12,Hotels,978.24,
28/05/12,Hotels,726.43,
28/05/12,Hotels,2403.95,
28/05/12,Hotels,594.37,
28/05/12,Hotels,740.25,
28/05/12,Hotels,2270.93,
28/05/12,Hotels,2234.91,
28/05/12,Hotels,2112.00,
29/05/12,Hotels,691.54,
30/05/12,Hotels,1327.84,
09/05/12,Motoring,1009.47,Purchase of new summer tyres for flag car at post
23/05/12,Motoring,605.91,
03/05/12,Other Retailers,2596.70,Stationery
04/05/12,Other Retailers,630.00,
04/05/12,Other Retailers,510.25,Training course
07/05/12,Other Retailers,643.00,
09/05/12,Other Retailers,1461.12,Stationery
10/05/12,Other Retailers,911.03,Stationery
10/05/12,Other Retailers,-570.00,
11/05/12,Other Retailers,616.00,
