Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,E1,,,,232
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1143483,E1,,,,55
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,E2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,E2,,,,39
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1143483,E2,,,,25
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,LEC Ind,,,,48
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,LEC NI,,,,43
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,OF1,,,,22
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1143483,OF1,,,,7
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058711,OF2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,OF2,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,OF2,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,OF2,,,,4
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,OF2,,,,125
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1143483,OF2,,,,30
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105515,OF3,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058719,OF3,,,,2
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,OF3,,,,19
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,OF3,,,,32
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058715,OF3,,,,5
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058725,OF3,,,,16
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058158,OF3,,,,89
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1143483,OF3,,,,26
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058719,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105516,OF4,,,,1
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,105517,OF4,,,,8
Ministry of Defence ,Ministry of Defence ,Central Top Level Budget,1058715,OF4,,,,5
